title,abstract,database,database_id,doi
modeling intelligibility of hearingaid compression circuits,"The active filtering effect in the inner ear is disrupted with sensorineural hearing impairment. This causes a loss of frequency selectivity and dynamic range. Compression is often used in hearing-aids in an attempt to re-establish the normal dynamic range of the cochlear response. While some studies show increased speech intelligibility with artificial noise sources for compressive hearing-aids, most show little (< 1 dB versus linear aids) or no advantage in competing speech. In this paper we explore a quantitative model to explain the empirical performance of compressive hearing-aids in competing speech. By combining an accurate cochlear model with a model of higher auditory feature analysis based on spectral-temporal clustering of onsets, we provide an explanation for the failure of hearing-aid compression algorithms to increase intelligibility. Our proposed spectral-temporal intelligibility model suggests that increasing intelligibility for a hearing impaired person in competing speech requires both spectral and temporal suppression.",scopus,2-s2.0-4143149413,
deephear a multimodal subtitle positioning system dedicated to deaf and hearingimpaired people,"In this paper, we introduce the DEEP-HEAR framework, a multimodal dynamic subtitle positioning system designed to increase the accessibility of deaf and hearing impaired people (HIP) to multimedia documents. The proposed system exploits both computer vision algorithms and deep convolutional neural networks specifically designed and tuned in order to detect and recognize the identity of the active speaker. The main contributions of the paper concern: a novel method dedicated to recognizing various characters existent in the video stream. A video temporal segmentation algorithm that divides the video sequence into semantic units, based on face tracks and visual consistency. Finally, the core of our approach concerns a novel active speaker recognition method relying on the multimodal information fusion from the text, audio, and video streams. The experimental results carried out on a large scale dataset of more than 30 videos, validate the proposed methodology with average accuracy and recognition rates superior to 90%. Moreover, the method shows robustness to important object/camera motion and face pose variation, yielding gains of more than 8% in precision and recall rates when compared with state-of-the-art techniques. The subjective evaluation of the proposed dynamic subtitle positioning system demonstrates the effectiveness of our approach.",ieee,2169-3536,10.1109/ACCESS.2019.2925806
a systematic review on systemsbased sensory gloves for sign language pattern recognition an update from 2017 to 2022,"Sign language is the predominant mode of communication for the Hearing impaired community. For the millions of people who suffer from hearing loss around the world, interaction with people who have the ability to hear and do not suffer from hearing impairment or loss is considered as complicated. In line with this issue, technology is perceived as a crucial factor in being an enabler of providing solutions to enhance the quality of life of the hearing impairment by increasing accessibility. This research aims to review and analyze articles related to sign language recognition based on the sensor- based glove system, in order to identify academic motivations, challenges, and recommendations related to this field. The search for the relevant review materials and articles was performed on four major databases ranging from 2017 to 2022: Science Direct, Web of Science, IEEE Xplore, and Scopus. The articles were chosen based on our inclusion and exclusion criteria. The literature findings of this paper indicate the dataset size to be open issues and challenges for hand gesture recognition. Furthermore, the majority of research on sign language recognition based on data glove was performed on static, single hand, and isolated gestures. Moreover, recognition accuracy typically achieved results higher than 90%. However, most experiments were carried out with a limited number of gestures. Overall, it is hoped that this study will serve as a roadmap for future research and raise awareness among researchers in the field of sign language recognition.",ieee,2169-3536,10.1109/ACCESS.2022.3219430
functional mri study of auditory cortical responses in normal subjects and unilateral sensorineural hearing loss subjects,"515. Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2010 Nov;24(22):1018-22.[Functional MRI study of auditory cortical responses in normal subjects and unilateral sensorineural hearing loss subjects].[Article in Chinese]Ji H(1), Huang Z, Yang M, Feng X, Meng L.Author information:(1)Department of Otorhinolaryngology, Zhongda Hospital of Southeast University, Nanjing, 210009, China.OBJECTIVE: Amplitude modulation of auditory cortical responses was evaluated with functional MRI (fMRI) in subjects of unilateral sensorineural hearing loss (USNHL) and those of normal hearing (NH).METHOD: Twenty-one subjects with USNHL and 11 with normal hearing were examined with fMRI in response to amplitude modulation tones of 500 Hz with the modulation frequency at 8 Hz. An event related design was combined with a sparse clustered volume acquisitioning paradigm in data collection in order to reduce the influence of acoustic scanner noise. SPM2 software was used for offline data analyzing.RESULT: Significant activation, including volume and intensity, were found in the temporal lobe of control subjects, and significant differences in the volume and intensity were noted between the contralateral and ipsilateral activated auditory cortexes in them, exhibiting clearly contralateral predominance. When the normal ear with unilateral sensorineural hearing loss received signals, while significant activations in bilateral auditory cortexes, greater activation in the contralateral auditory cortexes was found in the normal ear.CONCLUSION: The difference in the lateralization between the two groups suggests the plasticity of auditory cortex with unilateral sensorineural hearing loss.",pubmed,21322926,
reading vocabulary in children with and without hearing loss the roles of task and word type,"Purpose: To address the problem of low reading comprehension scores among children with hearing impairment, it is necessary to have a better understanding of their reading vocabulary. In this study, the authors investigated whether task and word type differentiate the reading vocabulary knowledge of children with and without severe hearing loss. Method: Seventy-two children with hearing loss and 72 children with normal hearing performed a lexical and a use decision task. Both tasks contained the same 180 words divided over 7 clusters, each cluster containing words with a similar pattern of scores on 8 word properties (word class, frequency, morphological family size, length, age of acquisition, mode of acquisition, imageability, and familiarity). Results: Whereas the children with normal hearing scored better on the 2 tasks than the children with hearing loss, the size of the difference varied depending on the type of task and word. Conclusions: Performance differences between the 2 groups increased as words and tasks became more complex. Despite delays, children with hearing loss showed a similar pattern of vocabulary acquisition as their peers with normal hearing. For the most precise assessment of reading vocabulary possible, a range of tasks and word types should be used. © American Speech-Language-Hearing Association.",scopus,2-s2.0-84878090286,10.1044/1092-4388(2012/11-0138)
singlesided deafnessoutcomes of three interventions for profound unilateral sensorineural hearing loss a randomized clinical trial,"222. Otol Neurotol. 2020 Jul;41(6):736-744. doi: 10.1097/MAO.0000000000002633.Single-Sided Deafness-Outcomes of Three Interventions for Profound Unilateral Sensorineural Hearing Loss: A Randomized Clinical Trial.Fogels J(1)(2)(3), Jönsson R(4), Sadeghi A(1)(2)(3), Flynn M(5), Flynn T(6).Author information:(1)Division of Audiology, Department of Health and Rehabilitation, Institute of Neuroscience and Physiology, Sahlgrenska Academy, University of Gothenburg, Sweden.(2)Region Västra Götaland, Habilitation & Health, Hearing Organisation, Gothenburg, Sweden.(3)Division of Audiology, Department of Health and Rehabilitation, Institute of Neuroscience and Physiology, Sahlgrenska Academy, University of Gothenburg.(4)Department of Otorhinolaryngology, Institute of Clinical Science, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.(5)Better Health, Healthcare and Treatment Global Impact Cluster, Research and Innovation, University of Newcastle, Callaghan, Australia.(6)School of Humanities and Social Science, Faculty of Education and Arts, University of New Castle, Australia.OBJECTIVE: A comparison of three interventions for profound unilateral sensorineural hearing loss.STUDY DESIGN: Prospective, crossover randomized clinical trial.PARTICIPANTS: Fifteen participants with profound unilateral sensorineural hearing loss.INTERVENTIONS: Three potential technical interventions were compared: Bone Conduction Device on softband, Contralateral Routing of Signal (CROS), and Remote Microphone . Each intervention was randomly trialed for a period of 3 weeks, separated by a 1 week washout period.OUTCOME MEASURES: Speech in noise recognition test performed under four conditions (lateral noise poorer ear, lateral noise better ear, speech poorer ear, speech better ear). Standardized questionnaires (Abbreviated Profile of Hearing Aid Benefit, Bern Benefit in Single Sided Deafness Questionnaire, and Speech, Spatial, and Other Qualities 12) were used to evaluate amplification benefit at baseline and following each intervention.RESULTS: The use of remote microphone provided the best results in the speech recognition in noise test. A benefit in some signal-to-noise ratios was presented of the CROS over bone conduction device on softband in the Speech Poor Ear condition. On questionnaires of benefit, participants did not rate a particular intervention as significantly better than any other. Following the study, CROS was the intervention preferred by the 8 of 15 participants (53%). The majority of participants (80%) chose to continue with an intervention rather than no treatment.CONCLUSION: The use of all interventions resulted in increased performance in speech recognition in noise and rated higher on subjective benefits in comparison with baseline. People with SSD are a heterogeneous population when considering perceived difficulties. Future research should focus on segmenting the population of SSD depending on factors such as etiology, high frequency loss in the better ear, and age of acquired loss for the poorer ear. This stratification may possibly increase the benefit for the patient in terms of more individual-based clinical routines.DOI: 10.1097/MAO.0000000000002633",pubmed,32574478,10.1097/MAO.0000000000002633
deep learning models for predicting hearing thresholds based on swepttone stimulusfrequency otoacoustic emissions,"190. Ear Hear. 2024 Mar-Apr 01;45(2):465-475. doi: 10.1097/AUD.0000000000001443. Epub 2023 Nov 22.Deep Learning Models for Predicting Hearing Thresholds Based on Swept-Tone Stimulus-Frequency Otoacoustic Emissions.Liu Y(1), Gong Q(1)(2).Author information:(1)Department of Biomedical Engineering, School of Medicine, Tsinghua University, Beijing, China.(2)School of Medicine, Shanghai University, Shanghai, China.OBJECTIVES: This study aims to develop deep learning (DL) models for the quantitative prediction of hearing thresholds based on stimulus-frequency otoacoustic emissions (SFOAEs) evoked by swept tones.DESIGN: A total of 174 ears with normal hearing and 388 ears with sensorineural hearing loss were studied. SFOAEs in the 0.3 to 4.3 kHz frequency range were recorded using linearly swept tones at a rate of 2 Hz/msec, with stimulus level changing from 40 to 60 dB SPL in 10 dB steps. Four DL models were used to predict hearing thresholds at octave frequencies from 0.5 to 4 kHz. The models-a conventional convolutional neural network (CNN), a hybrid CNN-k-nearest neighbor (KNN), a hybrid CNN-support vector machine (SVM), and a hybrid CNN-random forest (RF)-were individually built for each frequency. The input to the DL models was the measured raw SFOAE amplitude spectra and their corresponding signal to noise ratio spectra. All DL models shared a CNN-based feature self-extractor. They differed in that the conventional CNN utilized a fully connected layer to make the final regression decision, whereas the hybrid CNN-KNN, CNN-SVM, and CNN-RF models were designed by replacing the last fully connected layer of CNN model with a traditional machine learning (ML) regressor, that is, KNN, SVM, and RF, respectively. The model performance was evaluated using mean absolute error and SE averaged over 20 repetitions of 5 × 5 fold nested cross-validation. The performance of the proposed DL models was compared with two types of traditional ML models.RESULTS: The proposed SFOAE-based DL models resulted in an optimal mean absolute error of 5.98, 5.22, 5.51, and 6.06 dB at 0.5, 1, 2, and 4 kHz, respectively, superior to that obtained by the traditional ML models. The produced SEs were 8.55, 7.27, 7.58, and 7.95 dB at 0.5, 1, 2, and 4 kHz, respectively. All the DL models outperformed any of the traditional ML models.CONCLUSIONS: The proposed swept-tone SFOAE-based DL models were capable of quantitatively predicting hearing thresholds with satisfactory performance. With DL techniques, the underlying relationship between SFOAEs and hearing thresholds at disparate frequencies was explored and captured, potentially improving the diagnostic value of SFOAEs.Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved.DOI: 10.1097/AUD.0000000000001443",pubmed,37990395,10.1097/AUD.0000000000001443
overview of the 2023 icassp sp clarity challenge speech enhancement for hearing aids,"This paper reports on the design and outcomes of the ICASSP SP Clarity Challenge: Speech Enhancement for Hearing Aids. The scenario was a listener attending to a target speaker in a noisy, domestic environment. There were multiple interferers and head rotation by the listener. The challenge extended the second Clarity Enhancement Challenge (CEC2) by fixing the amplification stage of the hearing aid; evaluating with a combined metric for speech intelligibility and quality; and providing two evaluation sets, one based on simulation and the other on real-room measurements. Five teams improved on the baseline system for the simulated evaluation set, but the performance on the measured evaluation set was much poorer. Investigations are on-going to determine the exact cause of the mismatch between the simulated and measured data sets. The presence of transducer noise in the measurements, lower order Ambisonics harming the ability for systems to exploit binaural cues and the differences between real and simulated room impulse responses are suggested causes. © 2023 IEEE.",scopus,2-s2.0-85185224716,10.1109/ICASSP49357.2023.10433922
development of auditory processing in 6 to 11yrold children,"Objectives: The aim of this study is to provide developmental standards on a variety of temporal, spectral, and binaural psychoacoustic (auditory processing [AP]) tests in typically developing children, including immediate and delayed retest reliability, and comparisons between single listener performance on different tests. This study also informs choices on the selection of tests for clinical evaluation of hearing and listening (e.g., for auditory processing disorder). Design: This is a laboratory-based study of AP threshold and variability of 75 children, aged 6 to 11 yrs, and 21 young adults with normal audiometry recruited from local schools and colleges. Data were gathered in clinic-like conditions, without training and across two sessions. Eleven individual (e.g., simultaneous masking and backward masking [BM], amplitude modulation [AM], and frequency modulation [FM] detection) and three derived (temporal integration, frequency resolution, masking level difference) measure tests were embedded within a suite of computer games, each employing a three-interval, three-alternative (odd-one-out) forced choice response paradigm and a staircase adaptive method. Results: AP measures generally showed lower thresholds and reduced variance with increasing age. At 6 to 7 yrs, performance was markedly poorer than in the older groups; 35% of the children could not do the test of frequency discrimination (FD). However, on all the tasks, some children in the same group performed at near-adult levels. The distribution of performance between individuals varied widely across tasks, with clustered performance on tests of tone detection (with or without a simultaneous masker) and AM detection, and scattered performance on BM, FM detection, and FD. Threshold maturity was achieved at different rates across tests and by 10 to 11 yrs of age on all tests except FD. Masking level difference (MLD) performance did not change with age. Retest reliability was mostly high within test sessions but, again, was poorer for some of the younger children. Between test sessions separated by one to several weeks, reliability varied from poor (for FM detection) to high (for long tone detection in quiet, BM, and FD). Correlations between thresholds on different tests were generally low. Conclusions: Data suggest that the perception of different auditory stimuli occurs and develops using rather independent mechanisms, even for tasks that are closely related in procedure. While individual children can perform reliably on several distinct tasks, differences between individuals on the same tasks can be large. Because some of the youngest children perform reliably across time, at or near adult levels, immaturity between 6 and 11 yrs of age, as reflected in group statistics, reflects poor performance of some individual children rather than obligate, age-related deficits in AP. While several of the tests used were found to have potential clinical applicability, because of their reliability and ability to distinguish between individuals, it is currently unclear how performance on such tests relates to everyday listening skills. © 2011 Lippincott Williams & Wilkins, Inc.",scopus,2-s2.0-79955534726,10.1097/AUD.0b013e318201c468
relating neuronal dynamics for auditory object processing to neuroimaging activity a computational modeling and an fmri study,"473. Neuroimage. 2004 Apr;21(4):1701-20. doi: 10.1016/j.neuroimage.2003.11.012.Relating neuronal dynamics for auditory object processing to neuroimaging activity: a computational modeling and an fMRI study.Husain FT(1), Tagamets MA, Fromm SJ, Braun AR, Horwitz B.Author information:(1)Brain Imaging and Modeling Section, National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Bethesda, MD 20892, USA. husainf@nidcd.nih.govWe investigated the neural basis of auditory object processing in the cerebral cortex by combining neural modeling and functional neuroimaging. We developed a large-scale, neurobiologically realistic network model of auditory pattern recognition that relates the neuronal dynamics of cortical auditory processing of frequency modulated (FM) sweeps to functional neuroimaging data of the type obtained using PET and fMRI. Areas included in the model extend from primary auditory to prefrontal cortex. The electrical activities of the neuronal units of the model were constrained to agree with data from the neurophysiological literature regarding the perception of FM sweeps. We also conducted an fMRI experiment using stimuli and tasks similar to those used in our simulations. The integrated synaptic activity of the neuronal units in each region of the model, convolved with a hemodynamic response function, was used as a correlate of the simulated fMRI activity, and generally agreed with the experimentally observed fMRI data in the brain areas corresponding to the regions of the model. Our results demonstrate that the model is capable of exhibiting the salient features of both electrophysiological neuronal activities and fMRI values that are in agreement with empirically observed data. These findings provide support for our hypotheses concerning how auditory objects are processed by primate neocortex.DOI: 10.1016/j.neuroimage.2003.11.012",pubmed,15050592,10.1016/j.neuroimage.2003.11.012
use of selforganizing neural networks kohonen maps for classification of voice acoustic signals exemplified by the infant voice with and without timedelayed auditory feedback,"474. HNO. 1996 Apr;44(4):201-6.[Use of self-organizing neural networks (Kohonen maps) for classification of voice acoustic signals exemplified by the infant voice with and without time-delayed auditory feedback].[Article in German]Schönweiler R(1), Kaese S, Möller S, Rinscheid A, Ptok M.Author information:(1)Klinik für Phoniatrie und Pädaudiologie, Medizinische Hochschule Hannover.Subjective and auditory assessment of the voice is now more commonly being replaced by objective voice analysis. Because of the amount of data available from computer-aided voice analysis, subjective selection and interpretation of single data sets remain a matter of experience of the individual investigator. Since neuronal networks are widely used in telecommunication and speech recognition, we applied self-organizing Kohonen networks to classify voice patterns. In the phase of ""learning,"" the Kohonen map is adapted to patterns of the primary signals obtained. If, in the phase of using the map, the input signal hits the field of the primary signals, it will resemble them closely. In this study, we recorded newborn and young infant cries using a DAT recorder and a high-quality microphone. The cries were elicited by wearing uncomfortable headphones (""cries of discomfort""). Spectrographic characteristics of the cries were classified by 20-step bark spectra and then applied to the neuronal networks. It was possible to recognize similarities of different cries of the same children and interindividual differences, as well as cries of children with profound hearing loss. In addition, delayed auditory feedback at 80 dB SL was presented to 27 children via headphone using a three-headed tape-recorder as a model for induced individual cry changes. However, it was not possible to classify short-term changes as in a delayed feedback procedure. Nevertheless, neuronal networks may be helpful as an additional tool in spectrographic voice analysis.",pubmed,8655351,
cochlear transcriptome analysis of an outbred mouse population cfw,"672. bioRxiv [Preprint]. 2023 Jun 10:2023.02.15.528661. doi: 10.1101/2023.02.15.528661.Cochlear transcriptome analysis of an outbred mouse population (CFW).Boussaty EC(1), Tedeschi N(2), Novotny M(2), Ninoyu Y(1), Du E(1), Draf C(1), Zhang Y(2), Manor U(3), Scheuermann RH(2)(4), Friedman R(1).Author information:(1)Department of Otolaryngology, University of California, San Diego, CA.(2)J. Craig Venter Institute, La Jolla, CA.(3)Salk Institute for Biological Studies, Waitt Advanced Biophotonics Center, La Jolla, CA, United States.(4)Department of Pathology, University of California, San Diego, CA.Update in    Front Cell Neurosci. 2023 Nov 29;17:1256619.Age-related hearing loss (ARHL) is the most common cause of hearing loss and one of the most prevalent conditions affecting the elderly worldwide. Despite evidence from our lab and others about its polygenic nature, little is known about the specific genes, cell types and pathways involved in ARHL, impeding the development of therapeutic interventions. In this manuscript, we describe, for the first time, the complete cell-type specific transcriptome of the aging mouse cochlea using snRNA-seq in an outbred mouse model in relation to auditory threshold variation. Cochlear cell types were identified using unsupervised clustering and annotated via a three-tiered approach - first by linking to expression of known marker genes, then using the NS-Forest algorithm to select minimum cluster-specific marker genes and reduce dimensional feature space for statistical comparison of our clusters with existing publicly-available data sets on the gEAR website (https://umgear.org/), and finally, by validating and refining the annotations using Multiplexed Error Robust Fluorescence In Situ Hybridization (MERFISH) and the cluster-specific marker genes as probes. We report on 60 unique cell-types expanding the number of defined cochlear cell types by more than two times. Importantly, we show significant specific cell type increases and decreases associated with loss of hearing acuity implicating specific subsets of hair cell subtypes, ganglion cell subtypes, and cell subtypes withing the stria vascularis in this model of ARHL. These results provide a view into the cellular and molecular mechanisms responsible for age-related hearing loss and pathways for therapeutic targeting.DOI: 10.1101/2023.02.15.528661PMCID: PMC9948975",pubmed,36824745,10.1101/2023.02.15.528661
simulations with fade of the effect of impaired hearing on speech recognition performance cast doubt on the role of spectral resolution,"326. Hear Res. 2020 Sep 15;395:107995. doi: 10.1016/j.heares.2020.107995. Epub 2020 Jul 8.Simulations with FADE of the effect of impaired hearing on speech recognition performance cast doubt on the role of spectral resolution.Hülsmeier D(1), Warzybok A(2), Kollmeier B(2), Schädler MR(2).Author information:(1)Medizinische Physik and Cluster of Excellence Hearing4all, CvO Universität Oldenburg, 26129, Oldenburg, Germany. Electronic address: david.huelsmeier@uni-oldenburg.de.(2)Medizinische Physik and Cluster of Excellence Hearing4all, CvO Universität Oldenburg, 26129, Oldenburg, Germany.Listeners with hearing impairment show sub-optimal processing of acoustic signals which affects their ability to recognize speech. In this contribution, three effective signal processing deficits are proposed to simulate sensorineural hearing impairment and their effect on simulated speech recognition performance is studied. Psychoacoustic and speech recognition experiments were simulated with the framework for auditory discrimination experiments (FADE). Loss in absolute hearing threshold was modeled as lower level limit, supra-threshold loss in envelope amplitude resolution as multiplicative noise, and reduced spectral resolution was simulated with an increase of the analysis bandwidth. Their effects on the speech recognition performance with the German matrix test in quiet and noise, the audiogram, and tone in (notched) noise detection experiments were systematically examined. The simulations indicate that each psychoacoustic experiment relates to at least one signal processing deficit. This indicates the possibility to determine individual model parameters from the outcome of psychoacoustic experiments. Moreover, absolute hearing thresholds yield the highest effects on simulated speech recognition thresholds, followed by supra-threshold loss in envelope amplitude resolution, and-to a much smaller degree-spectral resolution. A reduced spectral resolution only affected recognition performance in fluctuating masker for normal hearing thresholds, indicating its potential relevance for more complex listening conditions. In contrast to popular interpretations in the literature, the simulations reveal that reduced spectral resolution plays a minor role compared to a reduced envelope amplitude resolution in characterizing supra-threshold hearing loss at least in stationary noise.Copyright © 2020 Elsevier B.V. All rights reserved.DOI: 10.1016/j.heares.2020.107995",pubmed,32702612,10.1016/j.heares.2020.107995
cortical thickness of left heschls gyrus correlates with hearing acuity in adultsa surfacebased morphometry study references,"To date, research examining the relationship between brain structure and hearing acuity is sparse, especially given the context of a broad age range. To investigate this relationship, we applied an automated surface-based morphometry (SBM) approach (FreeSurfer) in this study to re-examine a sample of normal-hearing (n = 17) and hearing-impaired (n = 17) age- and education-matched adults, aged between 20 and 63 years (Alfandari et al., 2018). The SBM approach allows the disentanglement of cortical surface area (CSA) from cortical thickness (CT), the 2 independent constituents of cortical volume (CV). We extend the findings of Alfandari and colleagues by showing several clusters in auditory-related areas as well as in the left and right angular gyrus that showed reduced CT, CSA and CV in hearing-impaired compared to normal-hearing listeners. Nevertheless, none of the clusters found correlated significantly with hearing acuity, measured by pure-tone thresholds, in the 2 groups. An additional vertex-wise correlation analysis between hearing acuity and morphometric parameters over all participants revealed a single significant cluster encompassing the left Heschl's gyrus. Higher hearing thresholds were associated with a thinner cortex within this cluster. Our results imply that hearing impairment is associated with reduced thickness in primary and secondary auditory cortex regions, those regions especially involved in perceiving and processing relevant speech cues. This decrease was observed not only in older but also in younger and middle-aged adults, independent of age-related decline in the cognitive domain and age-dependent whole-brain atrophy. Further, the results show the value added when considering CV, CT and CSA separately, relative to previous studies which have solely relied on voxel-based morphometry to investigate brain structure and hearing acuity across the lifespan. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",psychinfo,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc18&DO=10.1016%2fj.heares.2019.107823
audiogene predicting hearing loss genotypes from phenotypes to guide genetic screening,"327. Hum Mutat. 2013 Apr;34(4):539-45. doi: 10.1002/humu.22268. Epub 2013 Feb 19.AudioGene: predicting hearing loss genotypes from phenotypes to guide genetic screening.Taylor KR(1), Deluca AP, Shearer AE, Hildebrand MS, Black-Ziegelbein EA, Anand VN, Sloan CM, Eppsteiner RW, Scheetz TE, Huygen PL, Smith RJ, Braun TA, Casavant TL.Author information:(1)Department of Electrical and Computer Engineering, University of Iowa, Iowa City, IA, USA.Autosomal dominant nonsyndromic hearing loss (ADNSHL) is a common and often progressive sensory deficit. ADNSHL displays a high degree of genetic heterogeneity and varying rates of progression. Accurate, comprehensive, and cost-effective genetic testing facilitates genetic counseling and provides valuable prognostic information to affected individuals. In this article, we describe the algorithm underlying AudioGene, a software system employing machine-learning techniques that utilizes phenotypic information derived from audiograms to predict the genetic cause of hearing loss in persons segregating ADNSHL. Our data show that AudioGene has an accuracy of 68% in predicting the causative gene within its top three predictions, as compared with 44% for a majority classifier. We also show that AudioGene remains effective for audiograms with high levels of clinical measurement noise. We identify audiometric outliers for each genetic locus and hypothesize that outliers may reflect modifying genetic effects. As personalized genomic medicine becomes more common, AudioGene will be increasingly useful as a phenotypic filter to assess pathogenicity of variants identified by massively parallel sequencing.© 2012 Wiley Periodicals, Inc.DOI: 10.1002/humu.22268PMCID: PMC3753227",pubmed,23280582,10.1002/humu.22268
technology and social interaction in the multimodal multispace setting of audiometric testing,"A frequent motivation for integrating the technological and the social sciences lies in understanding the users of technologies in order to innovate [1-3]. This paper argues that a shift is necessary from 'the user' to 'the interaction in the participation framework' because it is here where the interactants display to each other their relevancies. Using Conversation Analysis [5-8], this point is exemplified by the examination of interaction in an audiological consultation where the interface of sociality and technology is relevant as a barrier. The analysis focuses on what aspects the participants in their talk and nonverbal conduct orient to as problematic given the task and the technology in this multimodal, multispace environment. The analytical results are discussed for innovation within the framework of User-Centered Design. © 2012 Springer-Verlag.",scopus,2-s2.0-84865960926,10.1007/978-3-642-32090-3_22
suprathreshold auditory processing deficits in noise effects of hearing loss and age,"109. Hear Res. 2016 Jan;331:27-40. doi: 10.1016/j.heares.2015.10.004. Epub 2015 Oct 22.Suprathreshold auditory processing deficits in noise: Effects of hearing loss and age.Kortlang S(1), Mauermann M(2), Ewert SD(2).Author information:(1)Medizinische Physik and Cluster of Excellence Hearing4all, Universität Oldenburg, D-26111 Oldenburg, Germany. Electronic address: steffen.kortlang@uni-oldenburg.de.(2)Medizinische Physik and Cluster of Excellence Hearing4all, Universität Oldenburg, D-26111 Oldenburg, Germany.People with sensorineural hearing loss generally suffer from a reduced ability to understand speech in complex acoustic listening situations, particularly when background noise is present. In addition to the loss of audibility, a mixture of suprathreshold processing deficits is possibly involved, like altered basilar membrane compression and related changes, as well as a reduced ability of temporal coding. A series of 6 monaural psychoacoustic experiments at 0.5, 2, and 6 kHz was conducted with 18 subjects, divided equally into groups of young normal-hearing, older normal-hearing and older hearing-impaired listeners, aiming at disentangling the effects of age and hearing loss on psychoacoustic performance in noise. Random frequency modulation detection thresholds (RFMDTs) with a low-rate modulator in wide-band noise, and discrimination of a phase-jittered Schroeder-phase from a random-phase harmonic tone complex are suggested to characterize the individual ability of temporal processing. The outcome was compared to thresholds of pure tones and narrow-band noise, loudness growth functions, auditory filter bandwidths, and tone-in-noise detection thresholds. At 500 Hz, results suggest a contribution of temporal fine structure (TFS) to pure-tone detection thresholds. Significant correlation with auditory thresholds and filter bandwidths indicated an impact of frequency selectivity on TFS usability in wide-band noise. When controlling for the effect of threshold sensitivity, the listener's age significantly correlated with tone-in-noise detection and RFMDTs in noise at 500 Hz, showing that older listeners were particularly affected by background noise at low carrier frequencies.Copyright © 2015 Elsevier B.V. All rights reserved.DOI: 10.1016/j.heares.2015.10.004",pubmed,26471199,10.1016/j.heares.2015.10.004
predicting depression from hearing loss using machine learning,"17. Ear Hear. 2021 July/Aug;42(4):982-989. doi: 10.1097/AUD.0000000000000993.Predicting Depression From Hearing Loss Using Machine Learning.Crowson MG(1)(2), Franck KH(1)(2), Rosella LC(3), Chan TCY(4).Author information:(1)Department of Otolaryngology-Head and Neck Surgery, Massachusetts Eye and Ear, Boston, Massachusetts, USA.(2)Department of Otolaryngology-Head and Neck Surgery, Harvard Medical School, Boston, Massachusetts, USA.(3)Dalla Lana School of Public Health, University of Toronto, Ontario, Canada.(4)Department of Mechanical & Industrial Engineering, University of Toronto, Ontario, Canada.OBJECTIVES: Hearing loss is the most common sensory loss in humans and carries an enhanced risk of depression. No prior studies have attempted a contemporary machine learning approach to predict depression using subjective and objective hearing loss predictors. The objective was to deploy supervised machine learning to predict scores on a validated depression scale using subjective and objective audiometric variables and other health determinant predictors.DESIGN: A large predictor set of health determinants from the National Health and Nutrition Examination Survey 2015-2016 database was used to predict adults' scores on a validated instrument to screen for the presence and severity of depression (Patient Health Questionnaire-9 [PHQ-9]). After model training, the relative influence of individual predictors on depression scores was stratified and analyzed. Model prediction performance was determined by prediction error metrics.RESULTS: The test set mean absolute error was 3.03 (95% confidence interval: 2.91 to 3.14) and 2.55 (95% confidence interval: 2.48 to 2.62) on datasets with audiology-only predictors and all predictors, respectively, on the PHQ-9's 27-point scale. Participants' self-reported frustration when talking to members of family or friends due to hearing loss was the fifth-most influential of all predictors. Of the top 10 most influential audiometric predictors, five were related to social contexts, two for significant noise exposure, two objective audiometric parameters, and one presence of bothersome tinnitus.CONCLUSIONS: Machine learning algorithms can accurately predict PHQ-9 depression scale scores from National Health and Nutrition Examination Survey data. The most influential audiometric predictors of higher scores on a validated depression scale were social dynamics of hearing loss and not objective audiometric testing. Such models could be useful in predicting depression scale scores at the point-of-care in conjunction with a standard audiologic assessment.Copyright © 2021 Wolters Kluwer Health, Inc. All rights reserved.DOI: 10.1097/AUD.0000000000000993",pubmed,33577219,10.1097/AUD.0000000000000993
the future of hearing aid technology can technology turn us into superheroes die zukunft der hrgertetechnologie kann die technologie uns in superhelden verwandeln,"Background: Hearing aid technology has proven to be successful in the rehabilitation of hearing loss, but its performance is still limited in difficult everyday conditions characterized by noise and reverberation. Objective: Introduction to the current state of hearing aid technology and presentation of the current state of research and future developments. Methods: The current literature was analyzed and several specific new developments are presented. Results: Both objective and subjective data from empirical studies show the limitations of the current technology. Examples of current research show the potential of machine learning-based algorithms and multimodal signal processing for improving speech processing and perception, of using virtual reality for improving hearing device fitting and of mobile health technology for improving hearing health services. Conclusion: Hearing device technology will remain a key factor in the rehabilitation of hearing impairments. New technology, such as machine learning and multimodal signal processing, virtual reality and mobile health technology, will improve speech enhancement, individual fitting and communication training, thus providing better support for all hearing-impaired patients, including older patients with disabilities or declining cognitive skills. © 2023, The Author(s), under exclusive licence to Springer Medizin Verlag GmbH, ein Teil von Springer Nature.",scopus,2-s2.0-85153971746,10.1007/s00391-023-02179-y
