"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CLERC: An Intelligent Sign Language Translator for Improved Accessibility using Machine Learning","V. V; S. K. S; D. L; P. D. S. V","Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India; Department of Artificial Intelligence and Data Science, KPR Institute of Engineering and Technology, Coimbatore, India; Department of Artificial Intelligence and Data Science, KPR Institute of Engineering and Technology, Coimbatore, India; Department of Artificial Intelligence and Data Science, KPR Institute of Engineering and Technology, Coimbatore, India","2023 International Conference on Communication, Security and Artificial Intelligence (ICCSAI)","16 Feb 2024","2023","","","955","959","Clerc's system is a modern smart language interpreter using advanced methods like artificial intelligence, imagery recognition, and natural languages translation. The Clergs System includes these are just some of tools used. The system is able to do this by turning gestures in sign language into verbal and written outputs smoothly thus helping people with hearing impairment to communicate easily in real time. In this research, an object recognition SSD MobileNets and FDN feature extraction models are used for accurate gesture detection. A machine-learning model can also be used to predict accurate translations. The efficacy of the Clerc system has been tested and validated to the utmost extent in different settings such as public places, schools, hospitals amongst others. This research seeks to explore possibilities of improving the system's precision, efficacy, scalability, and use with regards to the practical application.","","979-8-3503-6996-0","10.1109/ICCSAI59793.2023.10421422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10421422","Computer vision;Clerc system;SSD Mobile Net Object recognition model;FPN-lite feature extractor;scalability","Gesture recognition;Auditory system;Machine learning;Assistive technologies;Feature extraction;Turning;Object recognition","","","","20","IEEE","16 Feb 2024","","","IEEE","IEEE Conferences"
"Deep learning reinvents the hearing aid","D. Wang","Institute for Space Imaging Science, University of Lethbridge, Lethbridge, Alberta, Canada","IEEE Spectrum","28 Feb 2017","2017","54","3","32","37","My mother began to lose her hearing while I was away at college. I would return home to share what I'd learned, and she would lean in to hear. Soon it became difficult for her to hold a conversation if more than one person spoke at a time. Now, even with a hearing aid, she struggles to distinguish the sounds of each voice. When my family visits for dinner, she still pleads with us to speak in turn. My mother's hardship reflects a classic problem for hearing aid manufacturers. The human auditory system can naturally pick out a voice in a crowded room, but creating a hearing aid that mimics that ability has stumped signal processing specialists, artificial intelligence experts, and audiologists for decades. British cognitive scientist Colin Cherry first dubbed this the ""cocktail party problem"" in 1953.","1939-9340","","10.1109/MSPEC.2017.7864754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7864754","","Speech;Noise measurement;Auditory system;Hearing aids;Time-frequency analysis;Training;Feature extraction","","87","1","","IEEE","28 Feb 2017","","","IEEE","IEEE Magazines"
"Action Detection for Sign Language Using Machine Learning","A. S Sushmitha Urs; V. B Raj; P. S; P. Kumar K; M. B R; V. Kumar S","Department of AIML, Jyothy Institute of Technology, Bengaluru, India; Department of AIML, Jyothy Institute of Technology, Bengaluru, India; Department of AIML, Jyothy Institute of Technology, Bengaluru, India; Department of AIML, Jyothy Institute of Technology, Bengaluru, India; Department of AIML, Jyothy Institute of Technology, Bengaluru, India; Department of AIML, Jyothy Institute of Technology, Bengaluru, India","2023 International Conference on Network, Multimedia and Information Technology (NMITCON)","17 Oct 2023","2023","","","1","6","This research intends to build an effective and quick algorithm for identifying the alphabets in American Sign Language (ASL) using natural hand movements, increasing communication accessibility for people with hearing impaired limitations. The system's ultimate goal is to act as a translator between spoken language and sign language, enabling more effective and efficient communication between those with hearing loss and others who don't have any hearing loss. The research uses image processing, machine learning, and CNN-based artificial intelligence to recognize ASL movements and generate outputs that are simple to interpret. The potential impact of this work on communication accessibility for people who have hearing loss is significant.","","979-8-3503-0082-6","10.1109/NMITCON58196.2023.10275950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275950","Convolution neural network (CNN);American Sign Language (ASL);Teachable Machine;TensorFlow;OpenCV’ Matplotlib;Media pipe and CVZone","Neural networks;Gesture recognition;Auditory system;Machine learning;Speech recognition;Assistive technologies;Libraries","","","","12","IEEE","17 Oct 2023","","","IEEE","IEEE Conferences"
"Real-Time Recognition of Indian Sign Language","H. Muthu Mariappan; V. Gomathi","Department of Computer Science and Engineering, National Engineering College, Kovilpatti, Tamil Nadu, India; Department of Computer Science and Engineering, National Engineering College, Kovilpatti, Tamil Nadu, India","2019 International Conference on Computational Intelligence in Data Science (ICCIDS)","11 Oct 2019","2019","","","1","6","The real-time sign language recognition system is developed for recognising the gestures of Indian Sign Language (ISL). Generally, sign languages consist of hand gestures and facial expressions. For recognising the signs, the Regions of Interest (ROI) are identified and tracked using the skin segmentation feature of OpenCV. The training and prediction of hand gestures are performed by applying fuzzy c-means clustering machine learning algorithm. The gesture recognition has many applications such as gesture controlled robots and automated homes, game control, Human-Computer Interaction (HCI) and sign language interpretation. The proposed system is used to recognize the real-time signs. Hence it is very much useful for hearing and speech impaired people to communicate with normal people.","","978-1-5386-9471-8","10.1109/ICCIDS.2019.8862125","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8862125","ISL;Sign language recognition;HCI;Fuzzy c-means clustering","Gesture recognition;Assistive technology;Feature extraction;Videos;Real-time systems;Auditory system;Classification algorithms","","49","","11","IEEE","11 Oct 2019","","","IEEE","IEEE Conferences"
"An Artificial Intelligence Hearing Aid Based on Two-level Neural Network","C. Zhao; C. Liu","School of Computer Science, Hubei University of Technology, Wuhan, China; School of Computer Science, Hubei University of Technology, Wuhan, China","2021 11th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS)","5 Jan 2022","2021","2","","1045","1050","Hearing aids have become an indispensable part of the lives of some hearing-impaired people. Traditional hearing aids will be adjusted according to the personal hearing curve and allowing patients to avoid noise-induced harm. However, there is no sound classification or intelligent noise reduction, which cannot meet the higher demand for hearing aids. This paper designed a hearing aid based on a two-level neural network, and the Urbansound8K data set was used to train the neural network. It can simulate the human auditory attention mechanism and intelligently control the output volume. At the same time, the noise reduction model is used to perform corresponding noise reduction processing on different speech streams. Experimental results show that the hearing aid can differentially amplify various sounds in different scenes. The noise part of the sound heard by the user will be suppressed to a certain extent, which can improve the comfort of long-term wearing.","2770-4254","978-1-6654-2605-3","10.1109/IDAACS53288.2021.9660975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9660975","embedded hearing aids;neural networks;speech enhancement;noise cancellation","Conferences;Neural networks;Noise reduction;Data acquisition;Auditory system;Hearing aids;Noise measurement","","1","","22","IEEE","5 Jan 2022","","","IEEE","IEEE Conferences"
"Breaking Barriers: The Evolution of Sign Language Detection with Artificial Intelligence","S. A. Baharudin; M. H. N. Ruslan; A. Lajis; S. B. Munisamy; D. A. Kadir; N. M. Ralim","Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Universiti Kuala Lumpur, Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia","2024 18th International Conference on Ubiquitous Information Management and Communication (IMCOM)","12 Feb 2024","2024","","","1","4","Since the beginning of time, God has gifted us with the ability to hear and speak. People with hearing loss, on the other hand, use sign language as an alternative way of communication that consists of a collection of human actions that reflect a certain expression. Communication between verbal and nonverbal groups has grown difficult because members of the communities are unable to comprehend the meaning of sign language. This study describes the construction of a real-time sign language detection system utilizing a deep learning approach and combining artificial intelligence technology with object detection. This translator will be able to recognize hand motions and translate them into text output in the alphabet using object identification and comprehensive machine vision. This translator serves as a medium for disabled people to communicate and share their ideas with the rest of the community.","","979-8-3503-3101-1","10.1109/IMCOM60618.2024.10418440","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10418440","Artificial Intelligences;Image Processing;Machine Vision;ASL","Deep learning;Text recognition;Gesture recognition;Auditory system;Assistive technologies;Real-time systems;Artificial intelligence","","","","20","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Audio to Indian and American Sign Language Converter using Machine Translation and NLP Technique","A. Dixit; S. Sharma; P. Dhamini Rao; V. Reddy; M. Janaki; R. Thirumalaivasan; M. Monica Subashini","School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India; School of Electrical Engineering, Vellore Institute of Technology, Vellore, India","2022 Third International Conference on Intelligent Computing Instrumentation and Control Technologies (ICICICT)","18 Oct 2022","2022","","","874","879","People with hearing loss use Sign Language as their mother tongue communication. Unlike acoustic hearing, sign language is a visual language that uses body language and physical communication to communicate effectively thoughts. It usually consists of hand gestures and facial expressions. Generally, communicating with different disabled people seems very difficult. This is because it takes a long time to learn the language, not just the language, people who are not disabled but also people who are. Establishment to communicate in such cases, both parties need to know sign language, or they use a human translator to make communication possible. Information Technologies with their own modern methods such as artificial intelligence, cloud computing has an amazing role to play in improving communication people with speech impairments and ordinary people. Sign language recognition can be done in two ways, glove-based or vision-based recognition. The solution proposed in this paper will produce software that takes over input in the form of speech and indicates appropriate Sign Language. The software is developed in Python platform to convert speech to Indian and American sign languages (ISL and ASL) which provides hearing impairment assistant. This software can be useful in many areas, such as in educational institutes, hospitals, police stations, and for general everyday life conversation.","","978-1-6654-1005-2","10.1109/ICICICT54557.2022.9917614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917614","NLP;SLR;GUI;style;styling;insert","Visualization;Tongue;Law enforcement;Hospitals;Gesture recognition;Auditory system;Oral communication","","5","","15","IEEE","18 Oct 2022","","","IEEE","IEEE Conferences"
"IndieSign: A Learning Module for Indian Sign Language using Supervised Machine Learning Techniques","A. Kulkarni; A. Raina; R. Ramteke; S. Kamat; J. Deshmukh","Computer Engineering and Information Technology Department, VJTI, Mumbai; Computer Engineering and Information Technology Department, VJTI, Mumbai; Computer Engineering and Information Technology Department, VJTI, Mumbai; Computer Engineering and Information Technology Department, VJTI, Mumbai; Computer Engineering and Information Technology Department, VJTI, Mumbai","2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","16 Jun 2022","2022","","","346","353","Globalization is moving at a rapid pace with virtually no borders amongst various cultures and societies, the hearing-impaired face a monumental challenge to be included in the multi-faceted society. There has been a recent push towards introducing inclusiveness policies so that the hearing impaired shall have an easier way to be included in the society. However, as hearing-impaired people are stigmatized as being “diseased”, people do not interact with them. This affects their mental well-being and discourages future interactions. With a recent push towards digitization, it is believed that providing an online learning module can promote inclusiveness between the two parties. The issue of not being taught the concept of a word makes the learning incomplete. This is not only restricted to day-to-day concepts but also niche categories like technology, agriculture etc. To bridge this gap, this paper presents a unique model through which any person would be able to learn the words along with its concepts and their signage. As people with no hearing impairment tend to not learn sign language, this paper discusses methods through which learning sign language can be made unexacting.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9793170","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793170","Indian Sign Language;Sign Language Recognition Systems;Machine Learning;Support Vector Machine;Natural Language Processing","Support vector machines;Bridges;Face recognition;Globalization;Gesture recognition;Auditory system;Machine learning","","","","15","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"Role of Natural Language Processing in Improving Lives of Disabled","W. Nadeem; V. K. Shukla; P. V K; G. Kaur; A. B. Bhardwaj","Department of Information Technology, Amity University Dubai, United Arab Emirates; Department of Engineering and Architecture, Amity University Dubai, UAE; Department of Computing, University of Stirling, RAK, United Arab Emirates; School of Law, University of Petroleum and Energy Studies, Dehradun, India; Department of Psychology, Amity University, Dubai, Dubai, United Arab Emirates","2022 10th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","8 Dec 2022","2022","","","1","6","Natural Language Processing is a branch of AI that aims to assist the machine in deciphering natural language. We can implement this Artificial Intelligence to assist Real Intelligence where people of determination need it. A vast amount of potential can be reached in NLP to help people with impairments. NLP has both a negative and positive role in the lives of the disabled, but correct implementation can advance recent work to improve the future. This paper talks about the role of natural language processing in the lives of people of determination. It suggests a model that could most likely be the tool that hearing, and visually impaired people need, to keep up with abled people. It also mentions the negative side of NLP in the lives of people of determination and social biases. Possible faults can arise during implementation that has been addressed along with other work from authors. A system must understand natural language to proceed and implement it, which is a difficult task due to the many complexities of natural language. However, once implemented, NLP can be used as a tool in many areas of life, from aiding the disabled to allowing diverse people to communicate easily.","","978-1-6654-7433-7","10.1109/ICRITO56286.2022.9964626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964626","Natural Language processing (NLP);Artificial Intelligence (AI);Disabled;ADHD;Audio-Visual","Auditory system;Assistive technologies;Programming;Market research;Natural language processing;Hardware;Reliability","","","","30","IEEE","8 Dec 2022","","","IEEE","IEEE Conferences"
"Communicaton On Mobile Phone For The Deaf Using Image Recognition","B. Soewito; A. K. Satyadhana; Raymond; S. Maria","Computer Science Department, BINUS Graduate Program – Master of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, School of Computer Science, Bina Nusantara University, Jakarta, Indonesia","2020 International Conference on Information Management and Technology (ICIMTech)","2 Oct 2020","2020","","","594","598","Sign language is an absolute thing that is mastered by some people, especially people who have hearing or deaf problems. Problems will occur if they want to communicate via mobile devices. They have to use an application that translate sign language to text and vice versa. The research in this field still open because each language will have different sign language. In the other hand the image that was captured by the mobile devices depend on the environment such as brightness and the background. The sign language captured with static background has high accuracy compared with dynamic background that has colorful background. Most of research do not include the dynamic background. Therefore in this study introduced an application used image recognition that can translate sign language with dynamic background into a text so that it can be used to communicate among people who have hearing problems and also between deaf and normal people. The experimental showed that accuracy of our system is 87%.","","978-1-7281-7071-8","10.1109/ICIMTech50083.2020.9211126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211126","artificial intelligence;machine vision;image recognition;gesture recognition;sign language","Assistive technology;Gesture recognition;Auditory system;Artificial neural networks;Neurons;Computer science;Mobile handsets","","2","","21","IEEE","2 Oct 2020","","","IEEE","IEEE Conferences"
"VoiceMitra - A Speech to Visual Translation Approach for Disabled","S. Pate; K. Vayadande; D. Pawal; K. Paralkar; A. Pathak; S. Patil","Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India; Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India; Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India; Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India; Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India; Artificial Intelligence and Data Science, Vishwarkarma Institute of Technology, Pune, India","2023 International Conference on Advanced Computing Technologies and Applications (ICACTA)","23 Jan 2024","2023","","","1","6","Nowadays, Internet’s expansion has multiplied greatly with a variety of information in all contexts available. Although it has been beneficial for the majority group of people, those with special needs, such as the deaf, have few resources at their disposal. The visual graphics and hand gestures can be used to communicate in such cases. The objective of this research is to develop a system that transforms speech and text input into a sequence of visuals representing sign language. This system basically consists of three modules- 1. Speech to Text, which converts the spoken audio into text format, 2. Language translator, wherein different standard languages can also be given as input to get the output and 3. Sign Language Converter, through which the given audio/text is converted to either hand gestures or related gif. These graphics are understood by them, and so a well understood communication can be established. The language translation modules give an average confidence level of 0.916823557. In addition to these three modules, the feature of saving the history in multiple languages is also added, making this system a user-friendly system useful in future as well.","","979-8-3503-4834-7","10.1109/ICACTA58201.2023.10393103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10393103","audio visual translator;communication medium for deaf;language translation;graphical output","Computers;Visualization;Gesture recognition;Transforms;Auditory system;Assistive technologies;Libraries","","","","15","IEEE","23 Jan 2024","","","IEEE","IEEE Conferences"
"A Deep Learning Based Wearable Healthcare Iot Device for AI-Enabled Hearing Assistance Automation","F. YOUNG; L. ZHANG; R. JIANG; H. LIU; C. WALL","Department of Computer and Information Sciences, Northumbria University, Newcastle, UK; Department of Computer and Information Sciences, Northumbria University, Newcastle, UK; School of Computing and Communications, Faculty of Science and Technology, Lancaster University, Lancaster, UK; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; Department of Computer and Information Sciences, Northumbria University, Newcastle, UK","2020 International Conference on Machine Learning and Cybernetics (ICMLC)","5 Jul 2021","2020","","","235","240","With the recent booming of artificial intelligence (AI), particularly deep learning techniques, digital healthcare is one of the prevalent areas that could gain benefits from AI-enabled functionality. This research presents a novel AI-enabled Internet of Things (IoT) device operating from the ESP-8266 platform capable of assisting those who suffer from impairment of hearing or deafness to communicate with others in conversations. In the proposed solution, a server application is created that leverages Google’s online speech recognition service to convert the received conversations into texts, then deployed to a micro-display attached to the glasses to display the conversation contents to deaf people, to enable and assist conversation as normal with the general population. Furthermore, in order to raise alert of traffic or dangerous scenarios, an ‘urban-emergency’ classifier is developed using a deep learning model, Inception-v4, with transfer learning to detect/recognize alerting/alarming sounds, such as a horn sound or a fire alarm, with texts generated to alert the prospective user. The training of Inception-v4 was carried out on a consumer desktop PC and then implemented into the AI-based IoT application. The empirical results indicate that the developed prototype system achieves an accuracy rate of 92% for sound recognition and classification with real-time performance.","2160-1348","978-1-6654-1943-7","10.1109/ICMLC51923.2020.9469537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9469537","Deep Learning;Convolutional Neural Network;Healthcare;Deafness Assistance;Wearables;Internet of Things","Deep learning;Training;Wearable computers;Transfer learning;Speech recognition;Auditory system;Real-time systems","","5","","37","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
"Communication systems for people with severe hearing loss","D. T. Pop; C. Dehelean; L. Miclea","Department of Automation Technical, University Cluj-Napoca, Romania; Department of Automation, Technical University Cluj-Napoca, Romania; Department of Automation Technical, University Cluj-Napoca, Romania","2018 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)","5 Jul 2018","2018","","","1","5","Automatic speech recognition has long been an object of studies, as it is based on the idea of the dialog between man and computer. The first work on speech recognition was published in 1952, and it described a system created by the Bell Laboratory. Many people with severe hearing loss rely on sign language as the main means of communication, yet, in time, advanced research in the field has lead to the human communication with the computer, albeit with some limitations. Nowadays, communication with the computer may be done by using a speech recognition system and a voice synthesis system.","","978-1-5386-2205-6","10.1109/AQTR.2018.8402706","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8402706","accessibility;tactile vibrations;hearing loss;software system for people with hearing loss;sound frequencies;eLearning;artificial intelligence (AI);speech understanding;voice system analysis;vibration interfaces;intuitive communication system","Vibrations;Auditory system;Speech recognition;Assistive technology;Gesture recognition;Education;Computational modeling","","","","11","IEEE","5 Jul 2018","","","IEEE","IEEE Conferences"
"A Systematic Review on Systems-Based Sensory Gloves for Sign Language Pattern Recognition: An Update From 2017 to 2022","Z. R. Saeed; Z. B. Zainol; B. B. Zaidan; A. H. Alamoodi","School of Computer Sciences, Universiti Sains Malaysia, George Town, Penang, Malaysia; School of Computer Sciences, Universiti Sains Malaysia, George Town, Penang, Malaysia; Future Technology Research Center, National Yunlin University of Science and Technology, Douliu, Taiwan; Department of Computing, FSKIK, Universiti Pendidikan Sultan Idris, Tanjong Malim, Malaysia","IEEE Access","1 Dec 2022","2022","10","","123358","123377","Sign language is the predominant mode of communication for the Hearing impaired community. For the millions of people who suffer from hearing loss around the world, interaction with people who have the ability to hear and do not suffer from hearing impairment or loss is considered as complicated. In line with this issue, technology is perceived as a crucial factor in being an enabler of providing solutions to enhance the quality of life of the hearing impairment by increasing accessibility. This research aims to review and analyze articles related to sign language recognition based on the sensor- based glove system, in order to identify academic motivations, challenges, and recommendations related to this field. The search for the relevant review materials and articles was performed on four major databases ranging from 2017 to 2022: Science Direct, Web of Science, IEEE Xplore, and Scopus. The articles were chosen based on our inclusion and exclusion criteria. The literature findings of this paper indicate the dataset size to be open issues and challenges for hand gesture recognition. Furthermore, the majority of research on sign language recognition based on data glove was performed on static, single hand, and isolated gestures. Moreover, recognition accuracy typically achieved results higher than 90%. However, most experiments were carried out with a limited number of gestures. Overall, it is hoped that this study will serve as a roadmap for future research and raise awareness among researchers in the field of sign language recognition.","2169-3536","","10.1109/ACCESS.2022.3219430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9938436","Gesture recognition;glove;sign language;sensor;man-machine interface;pattern recognition","Assistive technologies;Gesture recognition;Auditory system;Databases;Systematics;Sign language;Human computer interaction;Pattern recognition;Man-machine systems;Sensors;Deafness","","6","","118","CCBY","4 Nov 2022","","","IEEE","IEEE Journals"
"Designing Soft-Hardware Complex for Gesture Language Recognition using Neural Network Methods","M. D. Artemov; L. I. Voronova; A. G. Vovik","Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia; Moscow Technical University of Communications and Informatics, Moscow, Russia","2020 International Conference on Engineering Management of Communication and Technology (EMCTECH)","30 Nov 2020","2020","","","1","6","In recent years, the problem of social adaptation of people with disabilities has been actively solved using developments including artificial intelligence methods. The article describes elaboration of a software and hardware complex (SHWC) for recognizing the sign language of disabled people with hearing and speech impairments. The analysis of analogue products for automatic sign language translation is carried out, technical and design requirements for the soft-hardware complex are formulated, the architecture of the SHWC, the functionality of the server and user application subsystems are described. The design and implementation of a subsystem for the collection and processing of photo and video materials with elements of sign language, including static and dynamic fingerprints, gestures, simple phrases, was carried out. The structure of the file data storage and metadata base has been developed. Scenarios and algorithms for sequencing and transforming video data are described. The sequence of data preprocessing when forming a training set using the augmentation method is described. A model for detecting hands in an image is described.","","978-1-6654-0448-8","10.1109/EMCTECH49634.2020.9261564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261564","image recognition methods;fingerprints;sign language;soft-hardware complex for automation of sign language translation","Assistive technology;Gesture recognition;Servers;Neural networks;Auditory system;Cameras;Cloud computing","","3","","26","IEEE","30 Nov 2020","","","IEEE","IEEE Conferences"
"A Cloud-Based 3D Digital Twin for Arabic Sign Language Alphabet Using Machine Learning Object Detection Model","M. Abduljabbar; M. Gochoo; M. T. Sultan; G. Batnasan; M. -E. Otgonbold; J. Berengueres; F. Alnajjar; A. A. Rasheed; A. Alshamsi; N. Alsaedi","Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE; Department of Computer Science and Software Engineering, United Arab Emirates University, UAE","2023 15th International Conference on Innovations in Information Technology (IIT)","25 Dec 2023","2023","","","208","212","People with hearing loss or hard hearing struggle with daily life activities as sign language is not widely known by the public. There are many attempts to use technology to help assist hearing loss individuals. However, most proposed solutions are standalone applications or require special hardware like a wearable glove. Our goal is to leverage cloud computing and artificial intelligence (AI) to provide a solution that is portable and does not require any special hardware. We created a lightweight 3D model and rendered it on the browser along with another lightweight object detection model for Arabic Sign Language (ArSL) for real-time detection. Our contribution is primarily based on integrating our novel functional lightweight 3D avatar model and a lightweight ArSL alphabet detection model, which is trained on public ArSL21L dataset, that are suitable to be given as a cloud service. Prototypes of the 3D digital twin avatar model and AI model are publicly offered for the research community on GitHub. We will be working on a full-scale real-time cloud-based communication system in ArSL.","2473-2052","979-8-3503-8239-6","10.1109/IIT59782.2023.10366491","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10366491","Sign Language;3D Avatar;Digital Twin;Meta AI;Neural Network","Solid modeling;Cloud computing;Three-dimensional displays;Computational modeling;Gesture recognition;Auditory system;Object detection","","","","28","IEEE","25 Dec 2023","","","IEEE","IEEE Conferences"
"Marathi Speech Intelligibility Enhancement Using I-AMS Based Neuro-Fuzzy Classifier Approach for Hearing Aid Users","P. G. Patil; T. H. Jaware; S. P. Patil; R. D. Badgujar; F. Albu; I. Mahariq; B. Al-Sheikh; C. Nayak","R. C. Patel Institute of Technology, Shirpur, Maharashtra, India; R. C. Patel Institute of Technology, Shirpur, Maharashtra, India; R. C. Patel Institute of Technology, Shirpur, Maharashtra, India; R. C. Patel Institute of Technology, Shirpur, Maharashtra, India; Department of Electronics, Valahia University of Targoviste, Targoviste, Romania; College of Engineering and Technology, American University of the Middle East, Egaila, Kuwait; Department of Biomedical Systems and Informatics Engineering, Yarmouk University, Irbid, Jordan; Department of Communication Engineering, School of Electronics Engineering, Vellore Institute of Technology, Vellore, Tamil Nadu, India","IEEE Access","29 Nov 2022","2022","10","","123028","123042","Globally, 1.6 billion individuals suffered from hearing disability in 2019. According to the World Health Organization, by 2050, the number of people with hearing impairments will rise to 2.5 billion. Speech perception in noisy surroundings is a challenge for hearing aid users. This study aimed to design a novel methodology to improve the speech recognition ability of hearing aid users from various backgrounds. To improve speech enhancement, we propose a discrete cosine transform (DCT)-based improved amplitude-magnitude spectrogram (I-AMS) algorithm with a fuzzy classifier. First, the I-AMS approach disintegrates speech signals containing noise into time-frequency units and eliminates the noise present in the signal. Next, the time frequency units (t-f units), modulation frequency (fm), and centre frequency (fc) are extracted from the denoised signal. A neuro-fuzzy classifier was used to classify the background speech environment into three different classes. The proposed I-AMS algorithm was tested, achieved improvements in terms of sensitivity (+1.02%) and accuracy (+11.80%). Speech denoising revealed a 1.27% improvement in speech recognition performance.","2169-3536","","10.1109/ACCESS.2022.3223365","Romanian Ministry of Research, Innovation and Digitization, National Scientific Research Council (CNCS); Executive Unit for Financing Higher Education, Research, Development and Innovation (UEFISCDI), through the National Research-Development and Innovation Plan (PNCDI)(grant numbers:PN-III-P4-PCE-2021-0780); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9955536","Improved amplitude magnitude spectrogram;insertion gain;intelligibility;marathi speech;neuro-fuzzy classifier;time-frequency units","Speech recognition;Frequency modulation;Hearing aids;Feature extraction;Auditory system;Speech enhancement;Gain control","","7","","79","CCBY","18 Nov 2022","","","IEEE","IEEE Journals"
