PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37503725","Predictive coding and stochastic resonance as fundamental principles of auditory phantom perception","Schilling A, Sedley W, Gerum R, Metzner C, Tziridis K, Maier A, Schulze H, Zeng FG, Friston KJ, Krauss P.","Brain. 2023 Dec 1;146(12):4809-4825. doi: 10.1093/brain/awad255.","Schilling A","Brain","2023","2023/07/28","PMC10690027","","10.1093/brain/awad255"
"35341403","Self-motion with Hearing Impairment and (Directional) Hearing Aids","Hendrikse MME, Eichler T, Hohmann V, Grimm G.","Trends Hear. 2022 Jan-Dec;26:23312165221078707. doi: 10.1177/23312165221078707.","Hendrikse MME","Trends Hear","2022","2022/03/28","PMC8966140","","10.1177/23312165221078707"
"29338464","Hearing aid technology: model-based concepts and assessment","Kollmeier B.","Int J Audiol. 2018 Jun;57(sup3):S1-S2. doi: 10.1080/14992027.2018.1426893. Epub 2018 Jan 17.","Kollmeier B","Int J Audiol","2018","2018/01/18","","","10.1080/14992027.2018.1426893"
"37287104","Prevalence of Childhood Hearing Loss in Rural Alaska","Emmett SD, Platt A, Gallo JJ, Labrique AB, Wang NY, Inglis-Jenson M, Jenson CD, Hofstetter P, Hicks KL, Ross AA, Egger JR, Robler SK.","Ear Hear. 2023 Sep-Oct 01;44(5):1240-1250. doi: 10.1097/AUD.0000000000001368. Epub 2023 Jun 8.","Emmett SD","Ear Hear","2023","2023/06/08","PMC10426776","","10.1097/AUD.0000000000001368"
"36537084","Spatio-temporal Integration of Speech Reflections in Hearing-Impaired Listeners","Rennies J, Warzybok A, Kollmeier B, Brand T.","Trends Hear. 2022 Jan-Dec;26:23312165221143901. doi: 10.1177/23312165221143901.","Rennies J","Trends Hear","2022","2022/12/20","PMC9772954","","10.1177/23312165221143901"
"32191560","Emerging Approaches for Restoration of Hearing and Vision","Kleinlogel S, Vogl C, Jeschke M, Neef J, Moser T.","Physiol Rev. 2020 Oct 1;100(4):1467-1525. doi: 10.1152/physrev.00035.2019. Epub 2020 Mar 19.","Kleinlogel S","Physiol Rev","2020","2020/03/20","","","10.1152/physrev.00035.2019"
"33577219","Predicting Depression From Hearing Loss Using Machine Learning","Crowson MG, Franck KH, Rosella LC, Chan TCY.","Ear Hear. 2021 July/Aug;42(4):982-989. doi: 10.1097/AUD.0000000000000993.","Crowson MG","Ear Hear","2021","2021/02/12","","","10.1097/AUD.0000000000000993"
"27473503","Cortical reorganization in postlingually deaf cochlear implant users: Intra-modal and cross-modal considerations","Stropahl M, Chen LC, Debener S.","Hear Res. 2017 Jan;343:128-137. doi: 10.1016/j.heares.2016.07.005. Epub 2016 Jul 26.","Stropahl M","Hear Res","2017","2016/07/31","","","10.1016/j.heares.2016.07.005"
"27951738","Functionality of hearing aids: state-of-the-art and future model-based solutions","Kollmeier B, Kiessling J.","Int J Audiol. 2018 Jun;57(sup3):S3-S28. doi: 10.1080/14992027.2016.1256504. Epub 2016 Dec 13.","Kollmeier B","Int J Audiol","2018","2016/12/14","","","10.1080/14992027.2016.1256504"
"32227585","Towards the optical cochlear implant: optogenetic approaches for hearing restoration","Dieter A, Keppeler D, Moser T.","EMBO Mol Med. 2020 Apr 7;12(4):e11618. doi: 10.15252/emmm.201911618. Epub 2020 Mar 30.","Dieter A","EMBO Mol Med","2020","2020/04/01","PMC7136966","","10.15252/emmm.201911618"
"36806394","Brain plasticity and auditory spatial adaptation in patients with unilateral hearing loss","Alzaher M, Strelnikov K, Marx M, Barone P.","Cereb Cortex. 2023 May 24;33(11):7221-7236. doi: 10.1093/cercor/bhad033.","Alzaher M","Cereb Cortex","2023","2023/02/22","","","10.1093/cercor/bhad033"
"29373937","Binaural model-based dynamic-range compression","Ernst SMA, Kortlang S, Grimm G, Bisitz T, Kollmeier B, Ewert SD.","Int J Audiol. 2018 Jun;57(sup3):S31-S42. doi: 10.1080/14992027.2018.1425554. Epub 2018 Jan 26.","Ernst SMA","Int J Audiol","2018","2018/01/28","","","10.1080/14992027.2018.1425554"
"33136643","Dynamically Masked Audiograms With Machine Learning Audiometry","Heisey KL, Walker AM, Xie K, Abrams JM, Barbour DL.","Ear Hear. 2020 Nov/Dec;41(6):1692-1702. doi: 10.1097/AUD.0000000000000891.","Heisey KL","Ear Hear","2020","2020/11/02","PMC7725866","NIHMS1586328","10.1097/AUD.0000000000000891"
"25987504","The application of genome editing in studying hearing loss","Zou B, Mittal R, Grati M, Lu Z, Shu Y, Tao Y, Feng Y, Xie D, Kong W, Yang S, Chen ZY, Liu X.","Hear Res. 2015 Sep;327:102-8. doi: 10.1016/j.heares.2015.04.016. Epub 2015 May 15.","Zou B","Hear Res","2015","2015/05/20","PMC4554948","NIHMS691655","10.1016/j.heares.2015.04.016"
"36792797","Restoring speech intelligibility for hearing aid users with deep learning","Diehl PU, Singer Y, Zilly H, Schönfeld U, Meyer-Rachner P, Berry M, Sprekeler H, Sprengel E, Pudszuhn A, Hofmann VM.","Sci Rep. 2023 Feb 15;13(1):2719. doi: 10.1038/s41598-023-29871-8.","Diehl PU","Sci Rep","2023","2023/02/15","PMC9932078","","10.1038/s41598-023-29871-8"
"35408316","Automatic Speech Discrimination Assessment Methods Based on Event-Related Potentials (ERP)","Charuthamrong P, Israsena P, Hemrungrojn S, Pan-Ngum S.","Sensors (Basel). 2022 Apr 1;22(7):2702. doi: 10.3390/s22072702.","Charuthamrong P","Sensors (Basel)","2022","2022/04/12","PMC9002564","","10.3390/s22072702"
"35364918","A model of speech recognition for hearing-impaired listeners based on deep learning","Roßbach J, Kollmeier B, Meyer BT.","J Acoust Soc Am. 2022 Mar;151(3):1417. doi: 10.1121/10.0009411.","Roßbach J","J Acoust Soc Am","2022","2022/04/02","","","10.1121/10.0009411"
"37129226","Whole-exome sequencing for screening noise-induced hearing loss susceptibility genes","Fan B, Wang G, Liu G, Zhang X, Wu W.","Acta Otolaryngol. 2023 May;143(5):408-415. doi: 10.1080/00016489.2023.2201287. Epub 2023 May 2.","Fan B","Acta Otolaryngol","2023","2023/05/02","","","10.1080/00016489.2023.2201287"
"33641573","Robust machine learning method for imputing missing values in audiograms collected in children","Pitathawatchai P, Chaichulee S, Kirtsreesakul V.","Int J Audiol. 2022 Jan;61(1):66-77. doi: 10.1080/14992027.2021.1884909. Epub 2021 Feb 27.","Pitathawatchai P","Int J Audiol","2022","2021/03/01","","","10.1080/14992027.2021.1884909"
"35532259","Immunolabeling and Counting Ribbon Synapses in Young Adult and Aged Gerbil Cochleae","Steenken F, Bovee S, Köppl C.","J Vis Exp. 2022 Apr 21;(182). doi: 10.3791/63874.","Steenken F","J Vis Exp","2022","2022/05/09","","","10.3791/63874"
"34536511","The emergence of machine learning in auditory neural impairment: A systematic review","Abu Bakar AR, Lai KW, Hamzaid NA.","Neurosci Lett. 2021 Nov 20;765:136250. doi: 10.1016/j.neulet.2021.136250. Epub 2021 Sep 15.","Abu Bakar AR","Neurosci Lett","2021","2021/09/18","","","10.1016/j.neulet.2021.136250"
"35833443","Is there an unmet medical need for improved hearing restoration?","Wolf BJ, Kusch K, Hunniford V, Vona B, Kühler R, Keppeler D, Strenzke N, Moser T.","EMBO Mol Med. 2022 Aug 8;14(8):e15798. doi: 10.15252/emmm.202215798. Epub 2022 Jul 14.","Wolf BJ","EMBO Mol Med","2022","2022/07/14","PMC9358394","","10.15252/emmm.202215798"
"37990543","Preferred Strength of Noise Reduction for Normally Hearing and Hearing-Impaired Listeners","Houben R, Reinten I, Dreschler WA, Mathijssen R, Dijkstra TMH.","Trends Hear. 2023 Jan-Dec;27:23312165231211437. doi: 10.1177/23312165231211437.","Houben R","Trends Hear","2023","2023/11/22","PMC10666719","","10.1177/23312165231211437"
"33652431","Association between Speech Recognition in Noise and Risk Factors of Cardiovascular Disease","Goderie T, van Wier MF, Stam M, Lissenberg-Witte BI, Merkus P, Smits C, Kramer SE.","Audiol Neurootol. 2021;26(5):368-377. doi: 10.1159/000513551. Epub 2021 Mar 2.","Goderie T","Audiol Neurootol","2021","2021/03/02","","","10.1159/000513551"
"35617004","Machine Learning for Vestibular Schwannoma Diagnosis Using Audiometrie Data Alone","Carey GE, Jacobson CE, Warburton AN, Biddle E, Mannarelli G, Wilson M, Stucken EZ.","Otol Neurotol. 2022 Jun 1;43(5):e530-e534. doi: 10.1097/MAO.0000000000003539.","Carey GE","Otol Neurotol","2022","2022/05/26","","","10.1097/MAO.0000000000003539"
"31935488","Neural Signatures of Working Memory in Age-related Hearing Loss","Rosemann S, Thiel CM.","Neuroscience. 2020 Mar 1;429:134-142. doi: 10.1016/j.neuroscience.2019.12.046. Epub 2020 Jan 11.","Rosemann S","Neuroscience","2020","2020/01/15","","","10.1016/j.neuroscience.2019.12.046"
"29316819","Hearing aid noise suppression and working memory function","Neher T, Wagener KC, Fischer RL.","Int J Audiol. 2018 May;57(5):335-344. doi: 10.1080/14992027.2017.1423118. Epub 2018 Jan 9.","Neher T","Int J Audiol","2018","2018/01/11","","","10.1080/14992027.2017.1423118"
"33727628","Effects of age-related hearing loss and hearing aid experience on sentence processing","Vogelzang M, Thiel CM, Rosemann S, Rieger JW, Ruigendijk E.","Sci Rep. 2021 Mar 16;11(1):5994. doi: 10.1038/s41598-021-85349-5.","Vogelzang M","Sci Rep","2021","2021/03/17","PMC7971046","","10.1038/s41598-021-85349-5"
"28268288","Difficulty understanding speech in noise by the hearing impaired: underlying causes and technological solutions","Healy EW, Yoho SE.","Annu Int Conf IEEE Eng Med Biol Soc. 2016 Aug;2016:89-92. doi: 10.1109/EMBC.2016.7590647.","Healy EW","Annu Int Conf IEEE Eng Med Biol Soc","2016","2017/03/09","","","10.1109/EMBC.2016.7590647"
"32960318","Neuroanatomical changes associated with age-related hearing loss and listening effort","Rosemann S, Thiel CM.","Brain Struct Funct. 2020 Dec;225(9):2689-2700. doi: 10.1007/s00429-020-02148-w. Epub 2020 Sep 22.","Rosemann S","Brain Struct Funct","2020","2020/09/22","PMC7674350","","10.1007/s00429-020-02148-w"
"7870437","Database for vertigo","Kentala E, Pyykkö I, Auramo Y, Juhola M.","Otolaryngol Head Neck Surg. 1995 Mar;112(3):383-90. doi: 10.1016/S0194-59989570271-7.","Kentala E","Otolaryngol Head Neck Surg","1995","1995/03/01","","","10.1016/S0194-59989570271-7"
"37318215","A Hybrid Deep Learning Approach to Identify Preventable Childhood Hearing Loss","Jin FQ, Huang O, Kleindienst Robler S, Morton S, Platt A, Egger JR, Emmett SD, Palmeri ML.","Ear Hear. 2023 Sep-Oct 01;44(5):1262-1270. doi: 10.1097/AUD.0000000000001380. Epub 2023 Jun 15.","Jin FQ","Ear Hear","2023","2023/06/15","PMC10426782","","10.1097/AUD.0000000000001380"
"34721841","Thoughts on the potential to compensate a hearing loss in noise","Schädler MR.","F1000Res. 2021 Apr 22;10:311. doi: 10.12688/f1000research.51784.1. eCollection 2021.","Schädler MR","F1000Res","2021","2021/11/01","PMC8524304","","10.12688/f1000research.51784.1"
"38081979","Characteristics of brain glucose metabolism and metabolic connectivity in noise-induced hearing loss","Shin S, Nam HY.","Sci Rep. 2023 Dec 11;13(1):21889. doi: 10.1038/s41598-023-48911-x.","Shin S","Sci Rep","2023","2023/12/11","PMC10713681","","10.1038/s41598-023-48911-x"
"36857026","Verbal Fluency in Prelingually Deaf, Early Implanted Children and Adolescents With Cochlear Implants","Hasnain F, Herran RM, Henning SC, Ditmars AM, Pisoni DB, Sehgal ST, Kronenberger WG.","J Speech Lang Hear Res. 2023 Apr 12;66(4):1394-1409. doi: 10.1044/2022_JSLHR-22-00383. Epub 2023 Mar 1.","Hasnain F","J Speech Lang Hear Res","2023","2023/03/01","PMC10457083","","10.1044/2022_JSLHR-22-00383"
"31364496","Spatial Speech-in-Noise Performance in Bimodal and Single-Sided Deaf Cochlear Implant Users","Williges B, Wesarg T, Jung L, Geven LI, Radeloff A, Jürgens T.","Trends Hear. 2019 Jan-Dec;23:2331216519858311. doi: 10.1177/2331216519858311.","Williges B","Trends Hear","2019","2019/08/01","PMC6669847","","10.1177/2331216519858311"
"32237817","Prediction of individual speech recognition performance in complex listening conditions","Kubiak AM, Rennies J, Ewert SD, Kollmeier B.","J Acoust Soc Am. 2020 Mar;147(3):1379. doi: 10.1121/10.0000759.","Kubiak AM","J Acoust Soc Am","2020","2020/04/03","","","10.1121/10.0000759"
"32453650","Visual Speech Recognition: Improving Speech Perception in Noise through Artificial Intelligence","Raghavan AM, Lipschitz N, Breen JT, Samy RN, Kohlberg GD.","Otolaryngol Head Neck Surg. 2020 Oct;163(4):771-777. doi: 10.1177/0194599820924331. Epub 2020 May 26.","Raghavan AM","Otolaryngol Head Neck Surg","2020","2020/05/27","","","10.1177/0194599820924331"
"29933710","Verbal learning and memory in prelingually deaf children with cochlear implants","Kronenberger WG, Henning SC, Ditmars AM, Roman AS, Pisoni DB.","Int J Audiol. 2018 Oct;57(10):746-754. doi: 10.1080/14992027.2018.1481538. Epub 2018 Jun 22.","Kronenberger WG","Int J Audiol","2018","2018/06/24","PMC6215502","NIHMS993278","10.1080/14992027.2018.1481538"
"37103645","The future of hearing aid technology : Can technology turn us into superheroes?","Hohmann V.","Z Gerontol Geriatr. 2023 Jul;56(4):283-289. doi: 10.1007/s00391-023-02179-y. Epub 2023 Apr 27.","Hohmann V","Z Gerontol Geriatr","2023","2023/04/27","","","10.1007/s00391-023-02179-y"
"38395618","Age-Related Deficits in Binaural Hearing: Contribution of Peripheral and Central Effects","Tolnai S, Weiß M, Beutelmann R, Bankstahl JP, Bovee S, Ross TL, Berding G, Klump GM.","J Neurosci. 2024 Apr 17;44(16):e0963222024. doi: 10.1523/JNEUROSCI.0963-22.2024.","Tolnai S","J Neurosci","2024","2024/02/23","PMC11026345","","10.1523/JNEUROSCI.0963-22.2024"
"38182057","Extracellular vesicles for developing targeted hearing loss therapy","Pan X, Li Y, Huang P, Staecker H, He M.","J Control Release. 2024 Feb;366:460-478. doi: 10.1016/j.jconrel.2023.12.050. Epub 2024 Jan 11.","Pan X","J Control Release","2024","2024/01/05","","","10.1016/j.jconrel.2023.12.050"
"35273267","Prediction of hearing recovery in unilateral sudden sensorineural hearing loss using artificial intelligence","Lee MK, Jeon ET, Baek N, Kim JH, Rah YC, Choi J.","Sci Rep. 2022 Mar 10;12(1):3977. doi: 10.1038/s41598-022-07881-2.","Lee MK","Sci Rep","2022","2022/03/11","PMC8913667","","10.1038/s41598-022-07881-2"
"32535378","Age-related hearing loss influences functional connectivity of auditory cortex for the McGurk illusion","Rosemann S, Smith D, Dewenter M, Thiel CM.","Cortex. 2020 Aug;129:266-280. doi: 10.1016/j.cortex.2020.04.022. Epub 2020 May 16.","Rosemann S","Cortex","2020","2020/06/15","","","10.1016/j.cortex.2020.04.022"
"28637148","Pure tone hearing profiles in children with otitis media with effusion","Cai T, McPherson B, Li C, Yang F.","Disabil Rehabil. 2018 May;40(10):1166-1175. doi: 10.1080/09638288.2017.1290698. Epub 2017 Feb 25.","Cai T","Disabil Rehabil","2018","2017/06/23","","","10.1080/09638288.2017.1290698"
"37957485","Neural Degeneration in Normal-Aging Human Cochleas: Machine-Learning Counts and 3D Mapping in Archival Sections","Wu PZ, O'Malley JT, Liberman MC.","J Assoc Res Otolaryngol. 2023 Oct;24(5):499-511. doi: 10.1007/s10162-023-00909-y. Epub 2023 Nov 13.","Wu PZ","J Assoc Res Otolaryngol","2023","2023/11/13","PMC10695900","","10.1007/s10162-023-00909-y"
"28477091","Prevalence of hearing loss in Northern and Southern Germany","von Gablenz P, Hoffmann E, Holube I.","HNO. 2017 Aug;65(Suppl 2):130-135. doi: 10.1007/s00106-016-0318-4.","von Gablenz P","HNO","2017","2017/05/07","","","10.1007/s00106-016-0318-4"
"28635505","Social inequalities in pure-tone hearing assessed using occupational stratification schemes","von Gablenz P, Holube I.","Int J Audiol. 2017 Jul;56(7):443-452. doi: 10.1080/14992027.2017.1294767. Epub 2017 Mar 1.","von Gablenz P","Int J Audiol","2017","2017/06/22","","","10.1080/14992027.2017.1294767"
"36758959","Machine Learning Prediction of Objective Hearing Loss With Demographics, Clinical Factors, and Subjective Hearing Status","Gathman TJ, Choi JS, Vasdev RMS, Schoephoerster JA, Adams ME.","Otolaryngol Head Neck Surg. 2023 Sep;169(3):504-513. doi: 10.1002/ohn.288. Epub 2023 Feb 9.","Gathman TJ","Otolaryngol Head Neck Surg","2023","2023/02/09","","","10.1002/ohn.288"
"34188676","Relationship between Memory Load and Listening Demands in Age-Related Hearing Impairment","Pauquet J, Thiel CM, Mathys C, Rosemann S.","Neural Plast. 2021 Jun 4;2021:8840452. doi: 10.1155/2021/8840452. eCollection 2021.","Pauquet J","Neural Plast","2021","2021/06/30","PMC8195652","","10.1155/2021/8840452"
"30384803","Data-Driven Approach for Auditory Profiling and Characterization of Individual Hearing Loss","Sanchez Lopez R, Bianchi F, Fereczkowski M, Santurette S, Dau T.","Trends Hear. 2018 Jan-Dec;22:2331216518807400. doi: 10.1177/2331216518807400.","Sanchez Lopez R","Trends Hear","2018","2018/11/03","PMC6236853","","10.1177/2331216518807400"
"34592737","Peripheral Hearing Loss and Its Association with Cognition among Ethnic Chinese Older Adults","Nicholas SO, Koh EJ, Wee SL, Eikelboom RH, Jayakody DMP, Lin F, Ng TP, Heywood RL.","Dement Geriatr Cogn Disord. 2021;50(4):394-400. doi: 10.1159/000519291. Epub 2021 Sep 30.","Nicholas SO","Dement Geriatr Cogn Disord","2021","2021/09/30","","","10.1159/000519291"
"37349539","The neuroanatomical hallmarks of chronic tinnitus in comorbidity with pure-tone hearing loss","Elmer S, Schmitt R, Giroud N, Meyer M.","Brain Struct Funct. 2023 Jul;228(6):1511-1534. doi: 10.1007/s00429-023-02669-0. Epub 2023 Jun 22.","Elmer S","Brain Struct Funct","2023","2023/06/22","PMC10335971","","10.1007/s00429-023-02669-0"
"30787339","The effect of age-related hearing loss and listening effort on resting state connectivity","Rosemann S, Thiel CM.","Sci Rep. 2019 Feb 20;9(1):2337. doi: 10.1038/s41598-019-38816-z.","Rosemann S","Sci Rep","2019","2019/02/22","PMC6382886","","10.1038/s41598-019-38816-z"
"37162188","Large-scale electrophysiology and deep learning reveal distorted neural signal dynamics after hearing loss","Sabesan S, Fragner A, Bench C, Drakopoulos F, Lesica NA.","Elife. 2023 May 10;12:e85108. doi: 10.7554/eLife.85108.","Sabesan S","Elife","2023","2023/05/10","PMC10202456","","10.7554/eLife.85108"
"25080386","Age-related hearing loss increases cross-modal distractibility","Puschmann S, Sandmann P, Bendixen A, Thiel CM.","Hear Res. 2014 Oct;316:28-36. doi: 10.1016/j.heares.2014.07.005. Epub 2014 Jul 28.","Puschmann S","Hear Res","2014","2014/08/01","","","10.1016/j.heares.2014.07.005"
"37956661","Sixty Years of Frequency-Domain Monaural Speech Enhancement: From Traditional to Deep Learning Methods","Zheng C, Zhang H, Liu W, Luo X, Li A, Li X, Moore BCJ.","Trends Hear. 2023 Jan-Dec;27:23312165231209913. doi: 10.1177/23312165231209913.","Zheng C","Trends Hear","2023","2023/11/13","PMC10658184","","10.1177/23312165231209913"
"27830350","Longitudinal Changes in Audiometric Phenotypes of Age-Related Hearing Loss","Vaden KI Jr, Matthews LJ, Eckert MA, Dubno JR.","J Assoc Res Otolaryngol. 2017 Apr;18(2):371-385. doi: 10.1007/s10162-016-0596-2. Epub 2016 Nov 9.","Vaden KI Jr","J Assoc Res Otolaryngol","2017","2016/11/11","PMC5352606","","10.1007/s10162-016-0596-2"
"34968750","Novel CRISPR/Cas12a-based genetic diagnostic approach for SLC26A4 mutation-related hereditary hearing loss","Jin X, Zhang L, Wang X, An L, Huang S, Dai P, Gao H, Ma X.","Eur J Med Genet. 2022 Feb;65(2):104406. doi: 10.1016/j.ejmg.2021.104406. Epub 2021 Dec 27.","Jin X","Eur J Med Genet","2022","2021/12/30","","","10.1016/j.ejmg.2021.104406"
"30643401","Is COPD associated with alterations in hearing? A systematic review and meta-analysis","Bayat A, Saki N, Nikakhlagh S, Mirmomeni G, Raji H, Soleimani H, Rahim F.","Int J Chron Obstruct Pulmon Dis. 2018 Dec 28;14:149-162. doi: 10.2147/COPD.S182730. eCollection 2019.","Bayat A","Int J Chron Obstruct Pulmon Dis","2018","2019/01/16","PMC6312399","","10.2147/COPD.S182730"
"32447097","The derived-band envelope following response and its sensitivity to sensorineural hearing deficits","Keshishzadeh S, Garrett M, Vasilkov V, Verhulst S.","Hear Res. 2020 Jul;392:107979. doi: 10.1016/j.heares.2020.107979. Epub 2020 Apr 29.","Keshishzadeh S","Hear Res","2020","2020/05/25","","","10.1016/j.heares.2020.107979"
"29941311","Contralateral suppression of human hearing sensitivity in single-sided deaf cochlear implant users","Nogueira W, Krüger B, Büchner A, Lopez-Poveda E.","Hear Res. 2019 Mar 1;373:121-129. doi: 10.1016/j.heares.2018.06.001. Epub 2018 Jun 15.","Nogueira W","Hear Res","2019","2018/06/27","","","10.1016/j.heares.2018.06.001"
"34612124","Relation between hearing abilities and preferred playback settings for speech perception in complex listening conditions","Kubiak AM, Rennies J, Ewert SD, Kollmeier B.","Int J Audiol. 2022 Nov;61(11):965-974. doi: 10.1080/14992027.2021.1980233. Epub 2021 Oct 6.","Kubiak AM","Int J Audiol","2022","2021/10/06","","","10.1080/14992027.2021.1980233"
"37327105","Optical Microphone-Based Speech Reconstruction System With Deep Learning for Individuals With Hearing Loss","Lin YM, Han JY, Lin CH, Lai YH.","IEEE Trans Biomed Eng. 2023 Dec;70(12):3330-3341. doi: 10.1109/TBME.2023.3285437. Epub 2023 Nov 21.","Lin YM","IEEE Trans Biomed Eng","2023","2023/06/16","","","10.1109/TBME.2023.3285437"
"35344974","Automatic Prediction of Conductive Hearing Loss Using Video Pneumatic Otoscopy and Deep Learning Algorithm","Byun H, Park CJ, Oh SJ, Chung MJ, Cho BH, Cho YS.","Ear Hear. 2022 Sep-Oct 01;43(5):1563-1573. doi: 10.1097/AUD.0000000000001217. Epub 2022 Mar 29.","Byun H","Ear Hear","2022","2022/03/28","","","10.1097/AUD.0000000000001217"
"34601244","Age-related decline in cochlear ribbon synapses and its relation to different metrics of auditory-nerve activity","Steenken F, Heeringa AN, Beutelmann R, Zhang L, Bovee S, Klump GM, Köppl C.","Neurobiol Aging. 2021 Dec;108:133-145. doi: 10.1016/j.neurobiolaging.2021.08.019. Epub 2021 Sep 4.","Steenken F","Neurobiol Aging","2021","2021/10/03","","","10.1016/j.neurobiolaging.2021.08.019"
"37438890","Variability in Cochlear Implantation Outcomes in a Large German Cohort With a Genetic Etiology of Hearing Loss","Tropitzsch A, Schade-Mann T, Gamerdinger P, Dofek S, Schulte B, Schulze M, Fehr S, Biskup S, Haack TB, Stöbe P, Heyd A, Harre J, Lesinski-Schiedat A, Büchner A, Lenarz T, Warnecke A, Müller M, Vona B, Dahlhoff E, Löwenheim H, Holderried M.","Ear Hear. 2023 Nov-Dec 01;44(6):1464-1484. doi: 10.1097/AUD.0000000000001386. Epub 2023 Jul 13.","Tropitzsch A","Ear Hear","2023","2023/07/13","PMC10583923","","10.1097/AUD.0000000000001386"
"26969260","Disrupted functional brain connectome in unilateral sudden sensorineural hearing loss","Xu H, Fan W, Zhao X, Li J, Zhang W, Lei P, Liu Y, Wang H, Cheng H, Shi H.","Hear Res. 2016 May;335:138-148. doi: 10.1016/j.heares.2016.02.016. Epub 2016 Mar 9.","Xu H","Hear Res","2016","2016/03/13","","","10.1016/j.heares.2016.02.016"
"37356105","[Analysis of hearing aids application in elderly patients.]","Boboshko MY, Garbaruk ES, Golovanova LE, Maltseva NV, Berdnikova IP, Markelov OA, Shpakovskaya II, Romanov SA, Kaplun DI.","Adv Gerontol. 2023;36(2):265-273.","Boboshko MY","Adv Gerontol","2023","2023/06/25","","",""
