Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
Jedlicka D.; Zhen L.,"Jedlicka, David (57202414417); Zhen, Leslie (58151482800)",57202414417; 58151482800,PTSD is associated with self-perceived hearing handicap: An evaluation of comorbidities in Veterans with normal audiometric thresholds,2023,Journal of the American Academy of Audiology,,,,,,,0,10.1055/a-2015-8524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161535553&doi=10.1055%2fa-2015-8524&partnerID=40&md5=2404e5f9c9d7ebe1a63b53e8d8710371,"Background Cases of self-reported hearing difficulty despite normal audiometric results have risen with the return of Veterans from recent conflicts in Operation Enduring Freedom, Operation Iraqi Freedom, and Operation New Dawn. Auditory outcomes improved despite low compliance among those receiving treatment. Medical chart data appeared more comprehensive for Veterans with, rather than without, auditory complaints. One possibility is that self-reported hearing problems are associated with a subset of these comorbidities, the treatment of which improved auditory outcomes. Purpose This study examined the relationships between Veterans' self-reported auditory problems and other diagnosed medical conditions. Research Design A retrospective chart review was used. Study Sample Participants were 286 Veterans, aged 21 - 52 with normal hearing. Veterans were dichotomized into a group with either self-reported hearing complaints (n = 143) or an aged-matched control group with no auditory complaints (n = 143). Data Collection and Analysis A query of the Computerized Patient Record System was performed with the date range restricted to 2009 to 2018. Metrics of self-perceived hearing handicap, APD testing, and hearing aid use were collected. All diagnoses and related symptoms were recorded. A best subsets regression with principled model selection was performed to investigate the role of these comorbidities on self-perceived hearing loss. Results The Self-Report group had 16 comorbidities that were classified as prevalent, having occurred in ≥33.3% of the group, compared to the age-matched control group, which had 2 comorbidities. The number of diagnosed medical conditions was associated with self-perceived hearing impairment. Specifically, posttraumatic stress disorder (PTSD) and related symptom clusters constituted the largest group of comorbidities that were significantly associated with self-reported hearing problems. Conclusions The significant association between PTSD and self-perceived hearing impairment warrants investigations on whether treatment of PTSD would reduce perceived hearing handicap severity. Further, PTSD assessments could be useful for audiologists to identify potential candidates for auditory complaints with normal audiometric thresholds. © 2021 American Academy of Audiology. All rights reserved.",36657469,Article,Article in press,,Scopus,2-s2.0-85161535553
Gopinath A.; Akshitha H.; Loomba A.; Kumar R.; Narayanappa C.K.,"Gopinath, Anagha (58145543700); Akshitha, H. (58145543800); Loomba, Arshya (58144543400); Kumar, Ranveer (58263560600); Narayanappa, C.K. (57201853656)",58145543700; 58145543800; 58144543400; 58263560600; 57201853656,Data Driven Machine Learning Model for Audiometric Threshold classification,2022,"4th International Conference on Circuits, Control, Communication and Computing, I4C 2022",,,,236,239,3,0,10.1109/I4C57141.2022.10057711,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150260862&doi=10.1109%2fI4C57141.2022.10057711&partnerID=40&md5=396b64e3af8cf0a2c580d424af30ed3e,"Hearing loss is defined as the inability to hear partially or completely, in one or both the ears. It is present in people of all age groups. The continuous exposure to noise in today's world, aging and congenital defects are leading causes of hearing loss. Hearing loss can be present in new born as a result of maternal infections during pregnancy, complications after birth and head trauma. This study will develop a model to estimate the degree of Hearing loss of a sample set of people in the 18-22 age group. The hearing loss was calculated based on the intensity threshold values that was generated by the Smartphone mobile application-based hearing test [1] [2]. This threshold value was compared with the standard audiometric table to classify the sample set into two groups. Support Vector Machine (SVM) was used for building the binary classification model. The Support Vector Machine searches for an optimum hyperplane to classify the two groups. It uses the extreme points, termed as support vectors, to create the hyperplane. The hyperplane is created so as to maximize the margin, which is the distance between the hyperplane and the support vectors. The support vector machine algorithm supports different kernels for building a model. Three different kernels - Linear kernel, Polynomial kernel and Radial Basis function were used with three different training set sizes - 80% training size, 75% training size and 70% training size to select a model of high accuracy. The model with the highest accuracy was tested, and the confusion matrix of the test set data is obtained to verify the results. A classification report provides the values of Precision, Recall and F1 score to assess the quality of the model developed.  © 2022 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85150260862
Munoz Musat E.; Rohaut B.; Sangare A.; Benhaiem J.-M.; Naccache L.,"Munoz Musat, Esteban (57204760868); Rohaut, Benjamin (12647565300); Sangare, Aude (56531643000); Benhaiem, Jean-Marc (6506570573); Naccache, Lionel (6603997168)",57204760868; 12647565300; 56531643000; 6506570573; 6603997168,Hypnotic Induction of Deafness to Elementary Sounds: An Electroencephalography Case-Study and a Proposed Cognitive and Neural Scenario,2022,Frontiers in Neuroscience,16,,756651,,,,1,10.3389/fnins.2022.756651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127951199&doi=10.3389%2ffnins.2022.756651&partnerID=40&md5=d5bc981cff65c7483603bf2da3fdfb65,"Hypnosis can be conceived as a unique opportunity to explore how top-down effects can influence various conscious and non-conscious processes. In the field of perception, such modulatory effects have been described in distinct sensory modalities. In the present study we focused on the auditory channel and aimed at creating a radical deafness to elementary sounds by a specific hypnotic suggestion. We report here a single case-study in a highly suggestible healthy volunteer who reported a total hypnotically suggested deafness. We recorded high-density scalp EEG during an auditory odd-ball paradigm before and after hypnotic deafness suggestion. While both early auditory event-related potentials to sounds (P1) and mismatch negativity component were not affected by hypnotic deafness, we observed a total disappearance of the late P3 complex component when the subject reported being deaf. Moreover, a centro-mesial positivity was present exclusively during the hypnotic condition prior to the P3 complex. Interestingly, source localization suggested an anterior cingulate cortex (ACC) origin of this neural event. Multivariate decoding analyses confirmed and specified these findings. Resting state analyses confirmed a similar level of conscious state in both conditions, and suggested a functional disconnection between auditory areas and other cortical areas. Taken together these results suggest the following plausible scenario: (i) preserved early processing of auditory information unaffected by hypnotic suggestion, (ii) conscious setting of an inhibitory process (ACC) preventing conscious access to sounds, (iii) functional disconnection between the modular and unconscious representations of sounds and global neuronal workspace. This single subject study presents several limits that are discussed and remains open to alternative interpretations. This original proof-of-concept paves the way to a larger study that will test the predictions stemming from our theoretical model and from this first report. Copyright © 2022 Munoz Musat, Rohaut, Sangare, Benhaiem and Naccache.",,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85127951199
Yang H.; Liu Z.; Chen D.; Lin W.; Wang L.; Chen T.; Wang R.; Yan X.,"Yang, Hansong (57895023400); Liu, Zhiyong (57316653700); Chen, Dongmei (56906378100); Lin, Weiru (58734402600); Wang, Lin (58457258600); Chen, Tianfeng (57895258900); Wang, Ruiquan (56469951500); Yan, Xialin (57894538300)",57895023400; 57316653700; 56906378100; 58734402600; 58457258600; 57895258900; 56469951500; 57894538300,Detection of a novel SETBP1 variant in a Chinese neonate with Schinzel–Giedion syndrome,2022,Frontiers in Pediatrics,10,,920741,,,,2,10.3389/fped.2022.920741,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138250452&doi=10.3389%2ffped.2022.920741&partnerID=40&md5=ca9cc625daf324befd6a1ccd2524287f,"Schinzel–Giedion syndrome (SGS) is a multiple malformation syndrome characterized by typical facial features, severe neurodevelopmental delay, and multiple congenital abnormalities. SGS is associated with de novo pathogenic variants in the SETBP1 gene. In specific, SETBP1 variants in over 50 patients with classical or non-classical SGS were clustered within exon 4. A male Chinese neonate with dysmorphic facial features, nervous system disorders, and organ malformations at birth was examined in this study and long-term followed-up. Whole-exome sequencing was performed to identify any underlying pathogenic variants in the proband. Additionally, we reviewed the literature that documents the main clinical features and underlying variants of all patients genetically diagnosed with SGS. The neonate had a characteristic midface retraction, abnormal electroencephalogram waveforms, and genital abnormalities. The patient did not initially develop hydronephrosis or undergo a comprehensive skeletal assessment. Six months after birth, the patient had an epileptic seizure and experienced persistent neurodevelopmental delay with auditory and visual abnormalities. Color Doppler ultrasonography at 18 months revealed hydronephrosis and bilateral widening of the lateral ventricles. The patient died suddenly 20.5 months after birth. Whole-exome sequencing revealed a heterozygous de novo variant (c.2605A > G:p.S869G) in exon 4 degradation sequence in SETBP1. The reported de novo heterozygous variant in SETBP1 (c.2605A > G:p.S869G) broadens the knowledge of the scientific community's on the possible SGS genetic alterations. To the best of our knowledge, this is the first report of SETBP1 variant (c.2605A > G:p.S869G) in SGS. The clinical manifestations of neonatal SGS are atypical, and genetic testing is crucial for diagnosis. Long-term follow-up should be conducted after diagnosis to optimize the therapeutic interventions. Copyright © 2022 Yang, Liu, Chen, Lin, Wang, Chen, Wang and Yan.",,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85138250452
Krey J.F.; Liu C.; Belyantseva I.A.; Bateschell M.; Dumont R.A.; Goldsmith J.; Chatterjee P.; Morrill R.S.; Fedorov L.M.; Foster S.; Kim J.; Nuttall A.; Jones S.M.; Choi D.; Friedman T.; Ricci A.J.; Zhao B.; Barr-Gillespie P.G.,"Krey, Jocelyn F. (55555401100); Liu, Chang (57204292122); Belyantseva, Inna A. (6602138727); Bateschell, Michael (55744450800); Dumont, Rachel A. (7004651592); Goldsmith, Jennifer (57456419100); Chatterjee, Paroma (57213824581); Morrill, Rachel S. (57456591800); Fedorov, Lev M. (7005800968); Foster, Sarah (56372791200); Kim, Jinkyung (57190754141); Nuttall, Alfredl. (7102583079); Jones, Sherri M. (7405937017); Choi, Dongseok (12791685600); Friedman, Thomasb. (34569115500); Ricci, Anthony J. (57202614718); Zhao, Bo (55520451000); Barr-Gillespie, Peter G. (7005143141)",55555401100; 57204292122; 6602138727; 55744450800; 7004651592; 57456419100; 57213824581; 57456591800; 7005800968; 56372791200; 57190754141; 7102583079; 7405937017; 12791685600; 34569115500; 57202614718; 55520451000; 7005143141,ANKRD24 organizes TRIOBP to reinforce stereocilia insertion points,2022,Journal of Cell Biology,221,4,e202109134,,,,5,10.1083/jcb.202109134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124779761&doi=10.1083%2fjcb.202109134&partnerID=40&md5=f92f52a453f55c18b454545ef246ccf8,"The stereocilia rootlet is a key structure in vertebrate hair cells, anchoring stereocilia firmly into the cell’s cuticular plate and protecting them from overstimulation. Using superresolution microscopy, we show that the ankyrin-repeat protein ANKRD24 concentrates at the stereocilia insertion point, forming a ring at the junction between the lower and upper rootlets. Annular ANKRD24 continues into the lower rootlet, where it surrounds and binds TRIOBP-5, which itself bundles rootlet F-actin. TRIOBP-5 is mislocalized in Ankrd24KO/KO hair cells, and ANKRD24 no longer localizes with rootlets in mice lacking TRIOBP-5; exogenous DsRed–TRIOBP-5 restores endogenous ANKRD24 to rootlets in these mice. Ankrd24KO/KO mice show progressive hearing loss and diminished recovery of auditory function after noise damage, as well as increased susceptibility to overstimulation of the hair bundle. We propose that ANKRD24 bridges the apical plasma membrane with the lower rootlet, maintaining a normal distribution of TRIOBP-5. Together with TRIOBP-5, ANKRD24 organizes rootlets to enable hearing with long-term resilience. © 2022 Krey et al. This article is available under a Creative Commons License (Attribution 4.0 International, as described at https://creativecommons.org/licenses/by/4.0/).",35175278,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85124779761
Schilling A.; Gerum R.; Metzner C.; Maier A.; Krauss P.,"Schilling, Achim (57189988281); Gerum, Richard (55990645300); Metzner, Claus (7006045419); Maier, Andreas (23392966100); Krauss, Patrick (55216351100)",57189988281; 55990645300; 7006045419; 23392966100; 55216351100,Intrinsic Noise Improves Speech Recognition in a Computational Model of the Auditory Pathway,2022,Frontiers in Neuroscience,16,,908330,,,,12,10.3389/fnins.2022.908330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133383904&doi=10.3389%2ffnins.2022.908330&partnerID=40&md5=e75f7b0a3d155d2238aebcec12c39525,"Noise is generally considered to harm information processing performance. However, in the context of stochastic resonance, noise has been shown to improve signal detection of weak sub- threshold signals, and it has been proposed that the brain might actively exploit this phenomenon. Especially within the auditory system, recent studies suggest that intrinsic noise plays a key role in signal processing and might even correspond to increased spontaneous neuronal firing rates observed in early processing stages of the auditory brain stem and cortex after hearing loss. Here we present a computational model of the auditory pathway based on a deep neural network, trained on speech recognition. We simulate different levels of hearing loss and investigate the effect of intrinsic noise. Remarkably, speech recognition after hearing loss actually improves with additional intrinsic noise. This surprising result indicates that intrinsic noise might not only play a crucial role in human auditory processing, but might even be beneficial for contemporary machine learning approaches. Copyright © 2022 Schilling, Gerum, Metzner, Maier and Krauss.",,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85133383904
Fan Z.; Fan Z.; Qiu T.; Hu L.; Shi Y.; Xia Y.; Sun X.; Liu Y.; Li S.; Xia M.; Zhu W.,"Fan, Zhiyuan (57202302379); Fan, Zhen (57203592877); Qiu, Tianming (26032289800); Hu, Liuxun (57982756400); Shi, Yuan (57200033970); Xia, Yunman (57195149864); Sun, Xiaoyi (57205696374); Liu, Yingjun (57061915900); Li, Sichen (57200800469); Xia, Mingrui (36774094500); Zhu, Wei (57191095662)",57202302379; 57203592877; 26032289800; 57982756400; 57200033970; 57195149864; 57205696374; 57061915900; 57200800469; 36774094500; 57191095662,Altered topological properties of the intrinsic functional brain network in patients with right-sided unilateral hearing loss caused by acoustic neuroma,2022,Brain Imaging and Behavior,16,4,,1873,1883,10,4,10.1007/s11682-022-00658-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127681145&doi=10.1007%2fs11682-022-00658-1&partnerID=40&md5=ade3e050b831f31a658c11f1e09410ff,"Neuroimaging studies have identified alterations in functional connectivity between specific brain regions in patients with unilateral hearing loss (UHL) and different influence of the side of UHL on neural plasticity. However, little is known about changes of whole-brain functional networks in patients with UHL and whether differences exist in topological organization between right-sided UHL (RUHL) and left-sided UHL (LUHL). To address this issue, we employed resting-state fMRI (rs-fMRI) and graph-theoretical approaches to investigate the topological alterations of brain functional connectomes in patients with RUHL and LUHL. Data from 44 patients with UHL (including 22 RUHL patients and 22 LUHL patients) and 37 healthy control subjects (HCs) were collected. Functional brain networks were constructed for each participant, following by graph-theoretical network analyses at connectional and global (e.g., small-worldness) levels. The correlations between brain network topologies and clinical variables were further studied. Using network-based analysis, we found a subnetwork in the visual cortex which had significantly lower connectivity strength in patients with RUHL as compared to HCs. At global level, all participants showed small-world architecture in functional brain networks, however, significantly lower normalized clustering coefficient and small-worldness were observed in patients with RUHL than in HCs. Moreover, these abnormal network metrics were demonstrated to be correlated with the clinical variables and cognitive performance of patients with RUHL. Notably, no significant alterations in the functional brain networks were found in patients with LUHL. Our findings demonstrate that RUHL (rather than LUHL) is accompanied with aberrant topological organization of the functional brain connectome, indicating different pathophysiological mechanisms between RUHL and LUHL from a viewpoint of network topology. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",35397062,Article,Final,,Scopus,2-s2.0-85127681145
Bajwa M.S.; Gandhi G.C.,"Bajwa, Manpreet Singh (57170114600); Gandhi, Geeta Chhabra (57425010000)",57170114600; 57425010000,A Systematic Review of Machine Learning Approaches for Classifying Indian Sign Language Gestures and Facial Expressions,2022,"4th International Conference on Inventive Research in Computing Applications, ICIRCA 2022 - Proceedings",,,,848,853,5,0,10.1109/ICIRCA54612.2022.9985747,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146492330&doi=10.1109%2fICIRCA54612.2022.9985747&partnerID=40&md5=bfdcef79beb58b2515c096a533e83347,"Indian Sign Language is the primary mode of communication known to persons who use Indian Sign Language for people who have hearing or language deficits. Different types of machine learning models are used to broaden the scope of communication for those with impairments and illiteracy. There are numerous machine learning models for analyzing gestures, postures, and facial recognition in Indian Sign Language for single-handed and double-handed signals. The present study on hand gestures, recognition, and translation intends to build an essential foundation for developing a platform to facilitate communication for the s pecially-abled with anyone. Machine learning algorithms generally focus on letter recognition or a few fundamental indicators. Communication is essential for exchanging ideas, thoughts, and feelings. Sign language is a kind of communication that uses hand motions. This is aimed toward those with impairments such as muteness and deafness. Machine learning, a branch of artificial intelligence, will aid in identifying various hand motions and predicting the language created by those inputs based on those inputs[2]. Sign language has a grammar that is unique from and independent of English. When compared to English, SL allows for far more freedom in word order. Tense is marked morphologically on verbs in English, but SL (like many other languages, such as Indian Sign Language) communicates tense lexically using temporal adverbs. The structure of ISL and English differs at the phonological level as well. Signed languages, like spoken languages, include a degree of sublexical structure that includes segments and combinatorial rules; however, phonological elements are manual rather than vocal. The way spatial information is conveyed in English and ISL differs substantially. All Deaf people are illiterate in written English. As an output, the SL text can be produced. SL is just physically executed English, where English and SL share the identical linguistic structure-that one is a straight encoding of the other. Many software designers mistakenly believe that deaf users can always access printed the English language in a user interface. Many designers feel that if auditory information is also supplied as written English, the deaf user's demands will be addressed. Prepositions such as 'in,' 'on,' and 'under' are used to indicate locative information in English, as in many other spoken languages. On the other hand, SL encodes locative and motion information via verbal classifier formulations in which hand shape morphemes define item type, and the location of the hands in signing space schematically depicts the spatial relationship between two things. Thus, English and ASL differ significantly in phonological, morphological, and syntactic areas.  © 2022 IEEE.",,Conference paper,Final,,Scopus,2-s2.0-85146492330
Emmett S.D.; Platt A.; Turner E.L.; Gallo J.J.; Labrique A.B.; Inglis S.M.; Jenson C.D.; Parnell H.E.; Wang N.-Y.; Hicks K.L.; Egger J.R.; Halpin P.F.; Yong M.; Ballreich J.; Robler S.K.,"Emmett, Susan D (36052713800); Platt, Alyssa (23480456100); Turner, Elizabeth L (7202447916); Gallo, Joseph J (7101605709); Labrique, Alain B (6505557971); Inglis, S Meade (57219714989); Jenson, Cole D (57200534638); Parnell, Heather E (36613760200); Wang, Nae-Yuh (7404340658); Hicks, Kelli L (57200938658); Egger, Joseph R (16439174800); Halpin, Peter F (36696137700); Yong, Michael (57109996400); Ballreich, Jeromie (56392949900); Robler, Samantha Kleindienst (57201022586)",36052713800; 23480456100; 7202447916; 7101605709; 6505557971; 57219714989; 57200534638; 36613760200; 7404340658; 57200938658; 16439174800; 36696137700; 57109996400; 56392949900; 57201022586,Mobile health school screening and telemedicine referral to improve access to specialty care in rural Alaska: a cluster- randomised controlled trial,2022,The Lancet Global Health,10,7,,e1023,e1033,10,18,10.1016/S2214-109X(22)00184-X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131935466&doi=10.1016%2fS2214-109X%2822%2900184-X&partnerID=40&md5=a75f852ef68b9f78950c8c26388c08e2,"Background: School-based programmes, including hearing screening, provide essential preventive services for rural children. However, minimal evidence on screening methodologies, loss to follow-up, and scarcity of specialists for subsequent care compound rural health disparities. We hypothesised telemedicine specialty referral would improve time to follow-up for school hearing screening compared with standard primary care referral. Methods: In this cluster-randomised controlled trial conducted in 15 rural Alaskan communities, USA, we randomised communities to telemedicine specialty referral (intervention) or standard primary care referral (control) for school hearing screening. All children (K–12; aged 4–21 years) enrolled in Bering Straight School District were eligible. Community randomisation occurred within four strata using location and school size. Participants were masked to group allocation until screening day, and assessors were masked throughout data collection. Screening occurred annually, and children who screened positive for possible hearing loss or ear disease were monitored for 9 months from the screening date for follow-up. Primary outcome was the time to follow-up after a positive hearing screen; analysis was by intention to treat. The trial was registered with ClinicalTrials.gov, NCT03309553. Findings: We recruited participants between Oct 10, 2017, and March 28, 2019. 15 communities were randomised: eight (750 children) to telemedicine referral and seven (731 children) to primary care referral. 790 (53·3%) of 1481 children screened positive in at least one study year: 391 (52∤1%) in the telemedicine referral communities and 399 (50∤4%) in the primary care referral communities. Of children referred, 268 (68·5%) in the telemedicine referral communities and 128 (32·1%) in primary care referral communities received follow-up within 9 months. Among children who received follow-up, mean time to follow-up was 41·5 days (SD 55·7) in the telemedicine referral communities and 92·0 days (75·8) in the primary care referral communities (adjusted event-time ratio 17·6 [95% CI 6·8–45·3] for all referred children). There were no adverse events. Interpretation: Telemedicine specialty referral significantly improved the time to follow-up after hearing screening in Alaska. Telemedicine might apply to other preventive school-based services to improve access to specialty care for rural children. Funding: Patient-Centered Outcomes Research Institute. © 2022 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license",35714630,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85131935466
Vozzi A.; Ronca V.; Malerba P.; Ghiselli S.; Murri A.; Pizzol E.; Babiloni F.; Cuda D.,"Vozzi, A. (57204212553); Ronca, V. (57216305636); Malerba, P. (54788014300); Ghiselli, S. (37050710000); Murri, A. (16301868500); Pizzol, E. (57454859700); Babiloni, F. (7006787992); Cuda, D. (6602000037)",57204212553; 57216305636; 54788014300; 37050710000; 16301868500; 57454859700; 7006787992; 6602000037,An innovative method for trans-impedance matrix interpretation in hearing pathologies discrimination,2022,Medical Engineering and Physics,102,,103771,,,,1,10.1016/j.medengphy.2022.103771,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124691412&doi=10.1016%2fj.medengphy.2022.103771&partnerID=40&md5=bd129609917e49c856be7eb46c17a74c,"Trans-impedance measurement is a novel methodology for assessing the positioning of a cochlear implant (CI). This study proposes an innovative use of trans-impedance measurements to characterize specific hearing pathologies by means of the trans-impedance matrix (TIM) quantitative analysis. Three indices are used: Shannon Entropy, the Exponential Decay constant and Spatial Correlation. These indices were computed on the TIMs of two groups of patients, clustered in terms of hearing pathology: (i) congenital hearing loss (CONG) and (ii) otosclerosis (OTO). The study aimed to demonstrate the sensitivity of the above synthetic indices in relation to the considered hearing pathologies. Furthermore, the first two indices were employed to explore the influence of the positioning of the electrode, either over (i) the basal or (ii) the apical regions, on the TIMs patterns. The results suggest that the indices were statistically different for the patient groups and the positioning impacted solely on OTO patients. In particular: (i) CONG patients displayed significantly higher Shannon Entropy (p = 0.0002) and (ii) a lower Exponential Decay constant than OTO patients (p = 0.001); (iii) the OTO patients exhibited a lower Shannon Entropy and a higher Exponential Decay constant over the basal regions than the apical regions (p < 0.008); (iv) Spatial Correlation demonstrated that TIMs had specific patterns according to the hearing pathology (p < 0.008). © 2022 IPEM",35346431,Article,Final,,Scopus,2-s2.0-85124691412
Charuthamrong P.; Israsena P.; Hemrungrojn S.; Pan-Ngum S.,"Charuthamrong, Pimwipa (57468890200); Israsena, Pasin (15046655700); Hemrungrojn, Solaphat (56021778200); Pan-Ngum, Setha (25926629900)",57468890200; 15046655700; 56021778200; 25926629900,Automatic Speech Discrimination Assessment Methods Based on Event-Related Potentials (ERP),2022,Sensors,22,7,2702,,,,1,10.3390/s22072702,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127442107&doi=10.3390%2fs22072702&partnerID=40&md5=cceb772354da5706343be958dc553e48,"Speech discrimination is used by audiologists in diagnosing and determining treatment for hearing loss patients. Usually, assessing speech discrimination requires subjective responses. Using electroencephalography (EEG), a method that is based on event-related potentials (ERPs), could provide objective speech discrimination. In this work we proposed a visual-ERP-based method to assess speech discrimination using pictures that represent word meaning. The proposed method was implemented with three strategies, each with different number of pictures and test sequences. Machine learning was adopted to classify between the task conditions based on features that were extracted from EEG signals. The results from the proposed method were compared to that of a similar visual-ERP-based method using letters and a method that is based on the auditory mismatch negativity (MMN) component. The P3 component and the late positive potential (LPP) component were observed in the two visual-ERP-based methods while MMN was observed during the MMN-based method. A total of two out of three strategies of the proposed method, along with the MMN-based method, achieved approximately 80% average classification accuracy by a combination of support vector machine (SVM) and common spatial pattern (CSP). Potentially, these methods could serve as a pre-screening tool to make speech discrimination assessment more accessible, particularly in areas with a shortage of audiologists. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",35408316,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85127442107
Yong W.; Song J.; Xing C.; Xu J.-J.; Xue Y.; Yin X.; Wu Y.; Chen Y.-C.,"Yong, Wei (57209830447); Song, Jiajie (57735911400); Xing, Chunhua (57209828888); Xu, Jin-Jing (57190813264); Xue, Yuan (57225180342); Yin, Xindao (16835369400); Wu, Yuanqing (57209834804); Chen, Yu-Chen (55326731000)",57209830447; 57735911400; 57209828888; 57190813264; 57225180342; 16835369400; 57209834804; 55326731000,Disrupted Topological Organization of Resting-State Functional Brain Networks in Age-Related Hearing Loss,2022,Frontiers in Aging Neuroscience,14,,907070,,,,3,10.3389/fnagi.2022.907070,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131718279&doi=10.3389%2ffnagi.2022.907070&partnerID=40&md5=a747a39c0381d07e3bb163fe78c7d929,"Purpose: Age-related hearing loss (ARHL), associated with the function of speech perception decreases characterized by bilateral sensorineural hearing loss at high frequencies, has become an increasingly critical public health problem. This study aimed to investigate the topological features of the brain functional network and structural dysfunction of the central nervous system in ARHL using graph theory. Methods: Forty-six patients with ARHL and forty-five age, sex, and education-matched healthy controls were recruited to undergo a resting-state functional magnetic resonance imaging (fMRI) scan in this study. Graph theory was applied to analyze the topological properties of the functional connectomes by studying the local and global organization of neural networks. Results: Compared with healthy controls, the patient group showed increased local efficiency (Eloc) and clustering coefficient (Cp) of the small-world network. Besides, the degree centrality (Dc) and nodal efficiency (Ne) values of the left inferior occipital gyrus (IOG) in the patient group showed a decrease in contrast with the healthy control group. In addition, the intra-modular interaction of the occipital lobe module and the inter-modular interaction of the parietal occipital module decreased in the patient group, which was positively correlated with Dc and Ne. The intra-modular interaction of the occipital lobe module decreased in the patient group, which was negatively correlated with the Eloc. Conclusion: Based on fMRI and graph theory, we indicate the aberrant small-world network topology in ARHL and dysfunctional interaction of the occipital lobe and parietal lobe, emphasizing the importance of dysfunctional left IOG. These results suggest that early diagnosis and treatment of patients with ARHL is necessary, which can avoid the transformation of brain topology and decreased brain function. Copyright © 2022 Yong, Song, Xing, Xu, Xue, Yin, Wu and Chen.",,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85131718279
Lee J.; Han J.-H.; Lee H.-J.,"Lee, Jihyun (57204279283); Han, Ji-Hye (56493483800); Lee, Hyo-Jeong (54581192700)",57204279283; 56493483800; 54581192700,Development of Novel Musical Stimuli to Investigate the Perception of Musical Emotions in Individuals With Hearing Loss,2023,Journal of Korean Medical Science,38,12,e82,,,,0,10.3346/JKMS.2023.38.E82,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150951067&doi=10.3346%2fJKMS.2023.38.E82&partnerID=40&md5=dda0016f20ad01f124078fbed40fd8a4,"Background: Many studies have examined the perception of musical emotion using excerpts from familiar music that includes highly expressed emotions to classify emotional choices. However, using familiar music to study musical emotions in people with acquired hearing loss could produce ambiguous results as to whether the emotional perception is due to previous experiences or listening to the current musical stimuli. To overcome this limitation, we developed new musical stimuli to study emotional perception without the effects of episodic memory. Methods: A musician was instructed to compose five melodies with evenly distributed pitches around 1 kHz. The melodies were created to express the emotions of happy, sad, angry, tender, and neutral. To evaluate whether these melodies expressed the intended emotions, two methods were applied. First, we classified the expressed emotions of melodies with selected musical features from 60 features using genetic algorithm-based k-nearest neighbors. Second, forty-four people with normal hearing participated in an online survey regarding the emotional perception of music based on dimensional and discrete approaches to evaluate the musical stimuli set. Results: Twenty-four selected musical features produced classification for intended emotions with an accuracy of 76%. The results of the online survey in the normal hearing (NH) group showed that the intended emotions were selected significantly more often than the others. K-means clustering analysis revealed that melodies with arousal and valence ratings corresponded to representative quadrants of interest. Additionally, the applicability of the stimuli was tested in 4 individuals with high-frequency hearing loss. Conclusion: By applying the individuals with NH, the musical stimuli were shown to classify emotions with high accuracy, as expressed. These results confirm that the set of musical stimuli can be used to study the perceived emotion in music, demonstrating the validity of the musical stimuli, independent of innate musical bias such as due to episodic memory. Furthermore, musical stimuli could be helpful for further studying perceived musical emotion in people with hearing loss because of the controlled pitch for each emotion © 2023 The Korean Academy of Medical Sciences",36974396,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85150951067
