language,keywords,note,year,url,publisher,author,title,ENTRYTYPE,ID,contributor,howpublished
{en},{Q Science (General)},"{Description: There is potential knowledge inherent in vast amounts of untapped and possibly valuable data generated by healthcare providers. Clinicians rely in their knowledge and experience and the basic diagnostic procedure to determine the likely symptom of a disease. Sometimes, many stages of diagnosis and longer procedures can leads to longer consultation hours and can consequently results to longer waiting time for other patients that need to be attended to. This can results to stress and anxiety on the part of those patients. This research presents an efficient way to facilitate the hearing loss symptoms diagnosis process by designing a symptoms identification model that efficiently identify hearing loss symptoms based on air and bone conduction pure-tone audiometry data. The model is implemented using both unsupervised and supervised machine learning techniques in the form of Frequent Pattern Growth (FP-Growth) algorithm as feature transformation method and multivariate Bernoulli na{\""\i}ve Bayes classification model as the classifier. In order to find, the correlation that exist between the hearing thresholds and symptoms of hearing loss, FP-Growth and association rule algorithms were first used to experiment with a small sample and large sample datasets. The result of these two experiments showed the existence of this relationship and the performance of the hybrid of the FP-Growth and na{\""\i}ve Bayes algorithms in identifying hearing loss symptoms was found to be efficient with very minimum error rate.}",2014,http://eprints.utem.edu.my/id/eprint/14995/,,Nasiru Garba Noma,{Identification model for hearing loss symptoms using machine learning techniques},misc,9efb3b8e25ec5877aed1e2dc9dea53db002466550b2b4341f125a2ea19b87bb4,,{Thesis}
{en},{Hearing loss},"{Description: University of Toronto ; Objectives: Hearing loss is the most common sensory loss in humans and carries an enhanced risk of depression. No prior studies have attempted a contemporary machine learning approach to predict depression using subjective and objective hearing loss predictors. The objective was to deploy supervised machine learning to predict scores on a validated depression scale using subjective and objective audiometric variables and other health determinant predictors. Design: A large predictor set of health determinants from the National Health and Nutrition Examination Survey 2015{\textendash}2016 database was used to predict adults{\textquoteright} scores on a validated instrument to screen for the presence and severity of depression (Patient Health Questionnaire-9 [PHQ-9]). After model training, the relative influence of individual predictors on depression scores was stratified and analyzed. Model prediction performance was determined by prediction error metrics. Results: The test set mean absolute error was 3.03 (95\% confidence interval: 2.91 to 3.14) and 2.55 (95\% confidence interval: 2.48 to 2.62) on datasets with audiology-only predictors and all predictors, respectively, on the PHQ-9{\textquoteright}s 27-point scale. Participants{\textquoteright} self-reported frustration when talking to members of family or friends due to hearing loss was the fifth-most influential of all predictors. Of the top 10 most influential audiometric predictors, five were related to social contexts, two for significant noise exposure, two objective audiometric parameters, and one presence of bothersome tinnitus. Conclusions: Machine learning algorithms can accurately predict PHQ-9 depression scale scores from National Health and Nutrition Examination Survey data. The most influential audiometric predictors of higher scores on a validated depression scale were social dynamics of hearing loss and not objective audiometric testing. Such models could be useful in predicting depression scale scores at the point-of-care in conjunction with a standard audiologic assessment.}",2021,http://hdl.handle.net/1807/106608,,"Crowson, Matthew G AND Franck, Kevin H AND Rosella, Laura C AND Chan, Timothy C Y",{Predicting Depression From Hearing Loss Using Machine Learning},misc,0f81e5dfe7857e646ffd63e83e817d1f578fd36efd770bc906481bef510637b3,,
{en},{Speech and Hearing},"{Source: Ear & Hearing ; volume 42, issue 4, page 982-989 ; ISSN 1538-4667 ; Description: Objectives: Hearing loss is the most common sensory loss in humans and carries an enhanced risk of depression. No prior studies have attempted a contemporary machine learning approach to predict depression using subjective and objective hearing loss predictors. The objective was to deploy supervised machine learning to predict scores on a validated depression scale using subjective and objective audiometric variables and other health determinant predictors. Design: A large predictor set of health determinants from the National Health and Nutrition Examination Survey 2015{\textendash}2016 database was used to predict adults{\textquoteright} scores on a validated instrument to screen for the presence and severity of depression (Patient Health Questionnaire-9 [PHQ-9]). After model training, the relative influence of individual predictors on depression scores was stratified and analyzed. Model prediction performance was determined by prediction error metrics. Results: The test set mean absolute error was 3.03 (95\% confidence interval: 2.91 to 3.14) and 2.55 (95\% confidence interval: 2.48 to 2.62) on datasets with audiology-only predictors and all predictors, respectively, on the PHQ-9{\textquoteright}s 27-point scale. Participants{\textquoteright} self-reported frustration when talking to members of family or friends due to hearing loss was the fifth-most influential of all predictors. Of the top 10 most influential audiometric predictors, five were related to social contexts, two for significant noise exposure, two objective audiometric parameters, and one presence of bothersome tinnitus. Conclusions: Machine learning algorithms can accurately predict PHQ-9 depression scale scores from National Health and Nutrition Examination Survey data. The most influential audiometric predictors of higher scores on a validated depression scale were social dynamics of hearing loss and not objective audiometric testing. Such models could be useful in predicting depression scale scores at the point-of-care in conjunction with a standard audiologic assessment.}",2021,http://dx.doi.org/10.1097/aud.0000000000000993,{Ovid Technologies (Wolters Kluwer Health)},"Crowson, Matthew G. AND Franck, Kevin H. AND Rosella, Laura C. AND Chan, Timothy C. Y.",{Predicting Depression From Hearing Loss Using Machine Learning},article,ade0f3a38984d43f1b262c79938ec6d866f50b8c25633ee1f1431224ce907dda,,
{en},,"{Description: A research report submitted in partial fulfilment of the requirements for the degree Master of Arts in eScience to the Faculty of Humanities, School of Social Sciences, University of the Witwatersrand, 2021 ; Deafness is one of the most commonly occurring birth conditions in children worldwide creating an increasingly significant global health concern. Failure to early identify hearing loss and provide subsequent intervention services will likely have negative consequences on language, cognition, and socio-emotional development. Current approaches in detecting neonatal hearing loss are limited specifically in developing countries such as South Africa. Machine learning offers an opportunity to create models which could predict the likelihood of a hearing loss occurring in high-risk neonates allowing for early identification and intervention to occur. Thus, the main aim of the current study was to use predictive modelling to predict the likelihood of hearing loss in high-risk neonates. The study sample comprised of 12 044 male and female hearing and deaf and/or hard-of-hearing South African children who either formed part of the HI HOPES or universal newborn screening programme implemented at the Netcare Hospital Group. A nonexperimental, predictive modelling design was employed for the purpose of the current study. Predictive variables used in the current study included mode of delivery, prematurity, gestational age, family history of hearing loss, extracorporeal membrane oxygenation (ECMO), in-utero infections, craniofacial anomalies, physical findings, syndromes associated with hearing loss, neurodegenerative disorders, cultural-positive infections, meningitis, maternal and/or infant HIV infection, and ototoxic medication. The results from several Chi-Square (X 2 ) analyses showed significant correlations between each birth type (i.e., natural, elective caesarean, emergency caesarean), prematurity, family history, ECMO, in-utero infection, craniofacial anomalies, physical findings, syndromes associated with ...}",2021,https://hdl.handle.net/10539/33857,,"Ismail, Safiyyah",{Detecting hearing loss in high-risk neonates using machine learning},misc,fb961a501a1ad53fc0ff41c44c4037706d411d7fa522533bcb30c8b0f49189b4,,{Thesis}
{EN},{sudden hearing loss},"{Source: Clinical and Experimental Otorhinolaryngology, Vol 13, Iss 2, Pp 148-156 (2020) ; Description: Objectives. Prognosticating idiopathic sudden sensorineural hearing loss (ISSNHL) is an important challenge. In our study, a dataset was split into training and test sets and cross-validation was implemented on the training set, thereby determining the hyperparameters for machine learning models with high test accuracy and low bias. The effectiveness of the following five machine learning models for predicting the hearing prognosis in patients with ISSNHL after 1 month of treatment was assessed: adaptive boosting, K-nearest neighbor, multilayer perceptron, random forest (RF), and support vector machine (SVM). Methods. The medical records of 523 patients with ISSNHL admitted to Korea University Ansan Hospital between January 2010 and October 2017 were retrospectively reviewed. In this study, we analyzed data from 227 patients (recovery, 106; no recovery, 121) after excluding those with missing data. To determine risk factors, statistical hypothesis tests (e.g., the two-sample t-test for continuous variables and the chi-square test for categorical variables) were conducted to compare patients who did or did not recover. Variables were selected using an RF model depending on two criteria (mean decreases in the Gini index and accuracy). Results. The SVM model using selected predictors achieved both the highest accuracy (75.36\%) and the highest F-score (0.74) on the test set. The RF model with selected variables demonstrated the second-highest accuracy (73.91\%) and F-score (0.74). The RF model with the original variables showed the same accuracy (73.91\%) as that of the RF model with selected variables, but a lower F-score (0.73). All the tested models, except RF, demonstrated better performance after variable selection based on RF. Conclusion. The SVM model with selected predictors was the best-performing of the tested prediction models. The RF model with selected predictors was the second-best model. Therefore, machine learning models can be used to predict hearing recovery in patients with ISSNHL.}",2020,https://doi.org/10.21053/ceo.2019.01858,{Korean Society of Otorhinolaryngology-Head and Neck Surgery},Keon Vin Park AND Kyoung Ho Oh AND Yong Jun Jeong AND Jihye Rhee AND Mun Soo Han AND Sung Won Han AND June Choi,{Machine Learning Models for Predicting Hearing Prognosis in Unilateral Idiopathic Sudden Sensorineural Hearing Loss},article,b790b3454f62fd6dcf0f064b80c111ee4b834caff76a2f1da923873d9dfe116d,,
{en},{Otorhinolaryngology},"{Source: Otolaryngology–Head and Neck Surgery ; volume 169, issue 3, page 504-513 ; ISSN 0194-5998 1097-6817 ; Description: Abstract Objective Hearing loss (HL) is highly prevalent, yet underrecognized and underdiagnosed. Lack of standardized screening, awareness, cost, and access to hearing testing present barriers to HL identification. To facilitate prescreening and selection of patients who warrant audiometric evaluation, we developed a machine learning (ML) model to predict speech-frequency pure-tone average (PTA). Study Design Cross-sectional study. Setting National Health and Nutrition Examination Survey (NHANES). Methods The cohort included 8918 adults (>=20 years) who completed audiometric testing with NHANES (2012-2018). The primary outcome measure was the prediction of better hearing ear speech-frequency PTA. Relevant predictors included demographics, medical conditions, and subjective assessment of hearing. Supervised ML with a tree-based architecture was used. Regression performance was determined by the mean absolute error (MAE) with binary classification assessed with area under the receiver operating characteristic curve (AUC). Results Using the full set of predictors, the test set MAE between the ML-predicted and actual PTA was 5.29 dB HL (95\% confidence interval [CI]: 4.97-5.61). The 5 most influential predictors of higher PTA were increased age, worse subjective hearing, male gender, increased body mass index, and history of smoking. The 5-factor abbreviated model performed comparably to the extended feature set with MAE 5.36 (95\% CI: 5.03-5.69) and AUC for PTA > 25 dB HL of 0.92 (95\% CI: 0.90-0.94). Conclusion The ML model was able to predict PTA with patient demographics, clinical factors, and subjective hearing status. ML-based prediction may be used to identify individuals who could benefit most from audiometric evaluation.}",2023,http://dx.doi.org/10.1002/ohn.288,{Wiley},"Gathman, Tyler J. AND Choi, Janet S. AND Vasdev, Ranveer M.S. AND Schoephoerster, Jamee A. AND Adams, Meredith E.","{Machine Learning Prediction of Objective Hearing Loss With Demographics, Clinical Factors, and Subjective Hearing Status}",article,a39e8777d5fda8d6afad8d3fe56185a984361bcf4ce669d953067ea443998251,,
{en},{Otorhinolaryngology},"{Source: Clinical Otolaryngology ; volume 43, issue 3, page 868-874 ; ISSN 1749-4478 1749-4486 ; Description: Objective Sudden sensorineural hearing loss ( SSHL ) is a multifactorial disorder with high heterogeneity, thus the outcomes vary widely. This study aimed to develop predictive models based on four machine learning methods for SSHL , identifying the best performer for clinical application. Design Single-centre retrospective study. Setting Chinese People{\textquoteright}s liberation army ( PLA ) hospital, Beijing, China. Participants A total of 1220 in-patient SSHL patients were enrolled between June 2008 and December 2015. Main outcome measures An advanced deep learning technique, deep belief network ( DBN ), together with the conventional logistic regression ( LR ), support vector machine ( SVM ) and multilayer perceptron ( MLP ) were developed to predict the dichotomised hearing outcome of SSHL by inputting six feature collections derived from 149 potential predictors. Accuracy, precision, recall, F -score and the area under the receiver operator characteristic curves ( ROC - AUC ) were exploited to compare the prediction performance of different models. Results Overall the best predictive ability was provided by the DBN model when tested in the raw data set with 149 variables, achieving an accuracy of 77.58\% and AUC of 0.84. Nevertheless, DBN yielded inferior performance after feature pruning. In contrast, the LR , SVM and MLP models demonstrated opposite trend as the greatest individual prediction powers were obtained when included merely three variables, with the ROC - AUC ranging from 0.79 to 0.81, and then decreased with the increasing size of input features combinations. Conclusions With the input of enough features, DBN can be a robust prediction tool for SSHL . But LR is more practical for early prediction in routine clinical application using three readily available variables, that is time elapse between symptom onset and study entry, initial hearing level and audiogram.}",2018,http://dx.doi.org/10.1111/coa.13068,{Wiley},"Bing, D. AND Ying, J. AND Miao, J. AND Lan, L. AND Wang, D. AND Zhao, L. AND Yin, Z. AND Yu, L. AND Guan, J. AND Wang, Q.",{Predicting the hearing outcome in sudden sensorineural hearing loss via machine learning models},article,9351be112ef3ba4a47ea91bd0fde47f144b80b20c796e61557766d0af8340db0,{National Natural Science Foundation of China},
{en},"{Public Health, Environmental and Occupational Health}","{Source: International Archives of Occupational and Environmental Health ; volume 94, issue 5, page 1097-1111 ; ISSN 0340-0131 1432-1246 ; Description: Abstract Purpose Noise-induced hearing loss (NIHL) is a global issue that impacts people{\textquoteright}s life and health. The current review aims to clarify the contributions and limitations of applying machine learning (ML) to predict NIHL by analyzing the performance of different ML techniques and the procedure of model construction. Methods The authors searched PubMed, EMBASE and Scopus on November 26, 2020. Results Eight studies were recruited in the current review following defined inclusion and exclusion criteria. Sample size in the selected studies ranged between 150 and 10,567. The most popular models were artificial neural networks ( n = 4), random forests ( n = 3) and support vector machines ( n = 3). Features mostly correlated with NIHL and used in the models were: age ( n = 6), duration of noise exposure ( n = 5) and noise exposure level ( n = 4). Five included studies used either split-sample validation ( n = 3) or ten-fold cross-validation ( n = 2). Assessment of accuracy ranged in value from 75.3\% to 99\% with a low prediction error/root-mean-square error in 3 studies. Only 2 studies measured discrimination risk using the receiver operating characteristic (ROC) curve and/or the area under ROC curve. Conclusion In spite of high accuracy and low prediction error of machine learning models, some improvement can be expected from larger sample sizes, multiple algorithm use, completed reports of model construction and the sufficient evaluation of calibration and discrimination risk.}",2021,http://dx.doi.org/10.1007/s00420-020-01648-w,{Springer Science and Business Media LLC},"Chen, Feifan AND Cao, Zuwei AND Grais, Emad M. AND Zhao, Fei",{Contributions and limitations of using machine learning to predict noise-induced hearing loss},article,97f90608146d34971202581775c69e1f63e52c304528f7755f3ca31a90f7a3d2,{National Natural Science Foundation of China},
{en},{Review Article},"{Source: Int Arch Occup Environ Health ; Description: Springer Berlin Heidelberg ; PURPOSE: Noise-induced hearing loss (NIHL) is a global issue that impacts people{\textquoteright}s life and health. The current review aims to clarify the contributions and limitations of applying machine learning (ML) to predict NIHL by analyzing the performance of different ML techniques and the procedure of model construction. METHODS: The authors searched PubMed, EMBASE and Scopus on November 26, 2020. RESULTS: Eight studies were recruited in the current review following defined inclusion and exclusion criteria. Sample size in the selected studies ranged between 150 and 10,567. The most popular models were artificial neural networks (n = 4), random forests (n = 3) and support vector machines (n = 3). Features mostly correlated with NIHL and used in the models were: age (n = 6), duration of noise exposure (n = 5) and noise exposure level (n = 4). Five included studies used either split-sample validation (n = 3) or ten-fold cross-validation (n = 2). Assessment of accuracy ranged in value from 75.3\% to 99\% with a low prediction error/root-mean-square error in 3 studies. Only 2 studies measured discrimination risk using the receiver operating characteristic (ROC) curve and/or the area under ROC curve. CONCLUSION: In spite of high accuracy and low prediction error of machine learning models, some improvement can be expected from larger sample sizes, multiple algorithm use, completed reports of model construction and the sufficient evaluation of calibration and discrimination risk.}",2021,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC8238747/,,"Chen, Feifan AND Cao, Zuwei AND Grais, Emad M. AND Zhao, Fei",{Contributions and limitations of using machine learning to predict noise-induced hearing loss},misc,b7971ce26b8a8e9d5764d4442c32f627faab4a07a8bf7266a797f67d162bbf72,,
{en},{Article},"{Source: Ear Hear ; Description: OBJECTIVES. A confluence of recent developments in cloud computing, real-time web audio and machine learning psychometric function estimation has made wide dissemination of sophisticated turn-key audiometric assessments possible. The authors have combined these capabilities into an online (i.e., web-based) pure-tone audiogram estimator intended to empower researchers and clinicians with advanced hearing tests without the need for custom programming. The objective of this study is to assess the accuracy and reliability of this new online machine learning audiogram method relative to a commonly used hearing threshold estimation technique also implemented online for the first time in the same platform. DESIGN. The authors performed air-conduction pure-tone audiometry on 21 participants between the ages of 19 and 79 years (mean 41, standard deviation 21) exhibiting a wide range of hearing abilities. For each ear, two repetitions of online machine learning audiogram estimation and two repetitions of online modified Hughson-Westlake ascending-descending audiogram estimation were acquired by an audiologist using the online software tools. The estimated hearing thresholds of these two techniques were compared at standard audiogram frequencies (i.e., 0.25, 0.5, 1, 2, 4, 8 kHz). RESULTS. The two threshold estimation methods delivered very similar threshold estimates at standard audiogram frequencies. Specifically, the mean absolute difference between threshold estimates was 3.24 {\textpm} 5.15 dB. The mean absolute differences between repeated measurements of the online machine learning procedure and between repeated measurements of the Hughson-Westlake procedure were 2.85 {\textpm} 6.57 dB and 1.88 {\textpm} 3.56 respectively. The machine learning method generated estimates of both threshold and spread (i.e., the inverse of psychometric slope) continuously across the entire frequency range tested from fewer samples on average than the modified Hughson-Westlake procedure required to estimate 6 discrete thresholds. CONCLUSIONS. Online machine ...}",2019,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6476703/,,"Barbour, Dennis L. AND Howard, Rebecca T. AND Song, Xinyu D. AND Metzger, Nikki AND Sukesan, Kiron A. AND DiLorenzo, James C. AND Snyder, Braham R. D. AND Chen, Jeff Y. AND Degen, Eleanor A. AND Buchbinder, Jenna M. AND Heisey, Katherine L.",{Online Machine Learning Audiometry},misc,a7c4618922f24f4bdfd93182b65edd0510b2073a9f2a4a703da70a976ef954f9,,
