ORN,VN,DB,UI,TI,SO,AU,AO,IN,PB,AB,FTURL,XL,PM
72,Ovid Technologies,Embase,2024493943,Concept and considerations of a medical device: the active noise cancelling incubator.,"Frontiers in Pediatrics. 11(no pagination), 2023. Article Number: 1187815. Date of Publication: 2023.","Jaschke A.C.

Bos A.F.",,"(Jaschke, Bos) Department of Paediatrics, Division of Neonatology, Beatrix Children's Hospital, University Medical Center Groningen, University of Groningen, Groningen, Netherlands

(Jaschke) Department of Music Therapy, ArtEZ University of the Arts, Enschede, Netherlands

(Jaschke) Cambridge Institute for Music Therapy Research, Anglia Ruskin University, Cambridge, United Kingdom",Frontiers Media SA,"Background: An increasingly 24/7 connected and urbanised world has created a silent pandemic of noise-induced hearing loss. Ensuring survival to children born (extremely) preterm is crucial. The incubator is a closed medical device, modifying the internal climate, and thus providing an environment for the child, as safe, warm, and comfortable as possible. While sound outside the incubator is managed and has decreased over the years, managing the noise inside the incubator is still a challenge. Method(s): Using active noise cancelling in an incubator will eliminate unwanted sounds (i.e., from the respirator and heating) inside the incubator, and by adding sophisticated algorithms, normal human speech, neonatal intensive care unit music-based therapeutic interventions, and natural sounds will be sustained for the child in the pod. Applying different methods such as active noise cancelling, motion capture, sonological engineering. and sophisticated machine learning algorithms will be implemented in the development of the incubator. Projected Results: A controlled and active sound environment in and around the incubator can in turn promote the wellbeing, neural development, and speech development of the child and minimise distress caused by unwanted noises. While developing the hardware and software pose individual challenges, it is about the system design and aspects contributing to it. On the one hand, it is crucial to measure the auditory range and frequencies in the incubator, as well as the predictable sounds that will have to be played back into the environment. On the other, there are many technical issues that have to be addressed when it comes to algorithms, datasets, delay, microphone technology, transducers, convergence, tracking, impulse control and noise rejection, noise mitigation stability, detection, polarity, and performance. Conclusion(s): Solving a complex problem like this, however, requires a de-disciplinary approach, where each discipline will realise its own shortcomings and boundaries, and in turn will allow for innovations and new avenues. Technical developments used for building the active noise cancellation-incubator have the potential to contribute to improved care solutions for patients, both infants and adults. Code available at: 10.3389/fped.2023.1187815.Copyright 2023 Jaschke and Bos.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.3389%2ffped.2023.1187815,SFX,
73,Ovid Technologies,Embase,2025989258,Global characteristics and trends of presbycusis research from 2002 to 2021: a bibliometric study.,"American Journal of Translational Research. 15(4) (pp 2407-2425), 2023. Date of Publication: 2023.","Lv H.

Gao Z.

Wang Y.

Xie Y.

Guan M.

Liao H.

Xu Y.",,"(Lv, Gao, Wang, Xie, Guan, Liao, Xu) Department of Otolaryngology-Head and Neck Surgery, Renmin Hospital of Wuhan University, Hubei, Wuhan 430060, China

(Liao, Xu) Research Institute of Otolaryngology-Head and Neck Surgery, Renmin Hospital of Wuhan University, Hubei, Wuhan 430060, China",E-Century Publishing Corporation,"Background and objective: Age-related hearing loss, also termed presbycusis, is the most prevalent sensory impairment in older adults. Presbycusis research has considerably advanced over the past few decades, however, comprehensive and objective reports on the current state of presbycusis research are lacking. We used bibliometric methods to objectively analyzed the progress of presbycusis research over the past 20 years and to identify the research hotspots and emerging trends in this field. Method(s): Eligible literature metadata published between 2002 and 2021 were obtained from the Web of Science Core Collection on September 1, 2022. Bibliometric tools including CiteSpace, VOSviewer, Bibliometrix R Package, Microsoft Excel 2019, and an online bibliometric platform were used to conduct bibliometric and visualized analyses. Result(s): A total of 1,693 publications related to presbycusis were retrieved. The number of publications increased continuously from 2002 to 2021, and the USA occupied the lead position in the field, with the highest research output. The most productive and influential institution, author, and journal were the University of California, Frisina DR of the University of South Florida, and Hearing Research, respectively. Co-citation cluster and trend topics analyses revealed that ""cochlear synaptopathy"", ""oxidative stress"", and ""dementia"" were the predominant foci of presbycusis research. Burst detection of keywords indicated that ""auditory cortex"" and ""Alzheimer's disease"" were the newly-emerged aspects. Conclusion(s): During the past two decades, presbycusis research has been flourishing. The current research foci are ""cochlear synaptopathy"", ""oxidative stress"", and ""dementia"". ""Auditory cortex"" and ""Alzheimer's disease"" may be potential future directions in this field. This bibliometric analysis represents the first quantitative overview of presbycusis research, thus providing valuable references and insights for scholars, medical practitioners, and policymakers concerned with this field.Copyright © 2023 E-Century Publishing Corporation. All rights reserved.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&AN=2025989258,SFX,
74,Ovid Technologies,Embase,2024904330,Neural circuit-wide analysis of changes to gene expression during deafening-induced birdsong destabilization.,"eLife. 12(no pagination), 2023. Article Number: e85970. Date of Publication: 2023.","Colquitt B.M.

Li K.

Green F.

Veline R.

Brainard M.S.","Colquitt, Bradley M.; ORCID: https://orcid.org/0000-0001-5819-7924","(Colquitt, Li, Green, Veline, Brainard) Howard Hughes Medical Institute, Chevy Chase, United States

(Colquitt, Li, Green, Veline, Brainard) Department of Physiology, University of California, San Francisco, San Francisco, United States",eLife Sciences Publications Ltd,"Sensory feedback is required for the stable execution of learned motor skills, and its loss can severely disrupt motor performance. The neural mechanisms that mediate sensorimotor stability have been extensively studied at systems and physiological levels, yet relatively little is known about how disruptions to sensory input alter the molecular properties of associated motor systems. Songbird courtship song, a model for skilled behavior, is a learned and highly structured vocalization that is destabilized following deafening. Here, we sought to determine how the loss of auditory feedback modifies gene expression and its coordination across the birdsong senso-rimotor circuit. To facilitate this system-wide analysis of transcriptional responses, we developed a gene expression profiling approach that enables the construction of hundreds of spatially-defined RNA-sequencing libraries. Using this method, we found that deafening preferentially alters gene expression across birdsong neural circuitry relative to surrounding areas, particularly in premotor and striatal regions. Genes with altered expression are associated with synaptic transmission, neuronal spines, and neuromodulation and show a bias toward expression in glutamatergic neurons and Pvalb/Sst-class GABAergic interneurons. We also found that connected song regions exhibit correla-tions in gene expression that were reduced in deafened birds relative to hearing birds, suggesting that song destabilization alters the inter-region coordination of transcriptional states. Finally, lesioning LMAN, a forebrain afferent of RA required for deafening-induced song plasticity, had the largest effect on groups of genes that were also most affected by deafening. Combined, this integrated transcriptomics analysis demonstrates that the loss of peripheral sensory input drives a distributed gene expression response throughout associated sensorimotor neural circuitry and iden-tifies specific candidate molecular and cellular mechanisms that support the stability and plasticity of learned motor skills.Copyright © Colquitt et al.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.7554%2feLife.85970,SFX,37284822 [https://www.ncbi.nlm.nih.gov/pubmed/?term=37284822]
75,Ovid Technologies,Embase,2024384313,Acoustic Monitoring of Professionally Managed Marine Mammals for Health and Welfare Insights.,"Animals. 13(13) (no pagination), 2023. Article Number: 2124. Date of Publication: July 2023.","Winship K.A.

Jones B.L.","Winship, Kelley A.; ORCID: https://orcid.org/0000-0001-8308-9466

Jones, Brittany L.; ORCID: https://orcid.org/0000-0001-7873-4336","(Winship, Jones) National Marine Mammal Foundation, 2240 Shelter Island Dr., Suite 200, San Diego, CA 92106, United States",Multidisciplinary Digital Publishing Institute (MDPI),"Research evaluating marine mammal welfare and opportunities for advancements in the care of species housed in a professional facility have rapidly increased in the past decade. While topics, such as comfortable housing, adequate social opportunities, stimulating enrichment, and a high standard of medical care, have continued to receive attention from managers and scientists, there is a lack of established acoustic consideration for monitoring the welfare of these animals. Marine mammals rely on sound production and reception for navigation and communication. Regulations governing anthropogenic sound production in our oceans have been put in place by many countries around the world, largely based on the results of research with managed and trained animals, due to the potential negative impacts that unrestricted noise can have on marine mammals. However, there has not been an established best practice for the acoustic welfare monitoring of marine mammals in professional care. By monitoring animal hearing and vocal behavior, a more holistic view of animal welfare can be achieved through the early detection of anthropogenic sound sources, the acoustic behavior of the animals, and even the features of the calls. In this review, the practice of monitoring cetacean acoustic welfare through behavioral hearing tests and auditory evoked potentials (AEPs), passive acoustic monitoring, such as the Welfare Acoustic Monitoring System (WAMS), as well as ideas for using advanced technologies for utilizing vocal biomarkers of health are introduced and reviewed as opportunities for integration into marine mammal welfare plans.Copyright © 2023 by the authors.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.3390%2fani13132124,SFX,
76,Ovid Technologies,Embase,640792931,Positive pressure therapy for Meniere's disease.,"Cochrane Database of Systematic Reviews. 2023(2) (no pagination), 2023. Article Number: CD015248. Date of Publication: 23 Feb 2023.","Webster K.E.

George B.

Galbraith K.

Harrington-Benton N.A.

Judd O.

Kaski D.

Maarsingh O.R.

MacKeith S.

Ray J.

Van Vugt V.A.

Burton M.J.",,"(Webster, Galbraith) Cochrane ENT, Nuffield Department of Surgical Sciences, University of Oxford, Oxford, United Kingdom

(George) Corpus Christi College, University of Oxford, Oxford, United Kingdom

(Harrington-Benton) Meniere's Society, Wooton, United Kingdom

(Judd) ENT Department, University Hospitals of Derby and Burton NHS Foundation Trust, Derby, United Kingdom

(Kaski) National Hospital for Neurology and Neurosurgery, London, United Kingdom

(Maarsingh, Van Vugt) Department of General Practice, Amsterdam UMC, Vrije Universiteit Amsterdam, Amsterdam Public Health Research Institute, Amsterdam, Netherlands

(MacKeith) ENT Department, Oxford University Hospitals NHS Foundation Trust, Oxford, United Kingdom

(Ray) University of Sheffield, Sheffield, United Kingdom

(Burton) Cochrane UK, Oxford, United Kingdom",John Wiley and Sons Ltd,"Background: Meniere's disease is a condition that causes recurrent episodes of vertigo, associated with hearing loss and tinnitus. It is often treated with medication, but different interventions are sometimes used. Positive pressure therapy is a treatment that creates small pressure pulses, generated by a pump that is attached to tubing placed in the ear canal. It is typically used for a few minutes, several times per day. The underlying cause of Meniere's disease is unknown, as is the way in which this treatment may work. The efficacy of this intervention at preventing vertigo attacks, and their associated symptoms, is currently unclear. Objective(s): To evaluate the benefits and harms of positive pressure therapy versus placebo or no treatment in people with Meniere's disease. Search Method(s): The Cochrane ENT Information Specialist searched the Cochrane ENT Register; CENTRAL; Ovid MEDLINE; Ovid Embase; Web of Science; ClinicalTrials.gov; ICTRP and additional sources for published and unpublished trials. The date of the search was 14 September 2022. Selection Criteria: We included randomised controlled trials (RCTs) and quasi-RCTs in adults with a diagnosis of Meniere's disease comparing positive pressure therapy with either placebo or no treatment. We excluded studies with follow-up of less than three months. Data Collection and Analysis: We used standard Cochrane methods. Our primary outcomes were: 1) improvement in vertigo (assessed as a dichotomous outcome - improved or not improved), 2) change in vertigo (assessed as a continuous outcome, with a score on a numerical scale) and 3) serious adverse events. Our secondary outcomes were: 4) disease-specific health-related quality of life, 5) change in hearing, 6) change in tinnitus and 7) other adverse effects. We considered outcomes reported at three time points: 3 to < 6 months, 6 to <= 12 months and > 12 months. We used GRADE to assess the certainty of evidence for each outcome. Main Result(s): We included three studies with a total of 238 participants, all of which compared positive pressure using the Meniett device to sham treatment. The duration of follow-up was a maximum of four months. Improvement in vertigo. A single study assessed whether participants had an improvement in the frequency of their vertigo whilst using positive pressure therapy, therefore we are unable to draw meaningful conclusions from the results. Change in vertigo. Only one study reported on the change in vertigo symptoms using a global score (at 3 to < 6 months), so we are again unable to draw meaningful conclusions from the numerical results. All three studies reported on the change in the frequency of vertigo. The summary effect showed that people receiving positive pressure therapy had, on average, 0.84 fewer days per month affected by vertigo (95% confidence interval from 2.12 days fewer to 0.45 days more; 3 studies; 202 participants). However, the evidence on the change in vertigo frequency was of very low certainty, therefore there is great uncertainty in this estimate. Serious adverse events. None of the included studies provided information on the number of people who experienced serious adverse events. It is unclear whether this is because no adverse events occurred, or whether they were not assessed and reported. Authors' conclusions: The evidence for positive pressure therapy for Meniere's disease is very uncertain. There are few RCTs that compare this intervention to placebo or no treatment, and the evidence that is currently available from these studies is of low or very low certainty. This means that we have very low confidence that the effects reported are accurate estimates of the true effect of these interventions. Consensus on the appropriate outcomes to measure in studies of Meniere's disease is needed (i.e. a core outcome set) in order to guide future studies in this area and enable meta-analyses of the results. This must include appropriate consideration of the potential harms of treatment, as well as the benefits.Copyright © 2023 The Authors. Cochrane Database of Systematic Reviews published by John Wiley & Sons, Ltd. on behalf of The Cochrane Collaboration.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1002%2f14651858.CD015248.pub2,SFX,36815713 [https://www.ncbi.nlm.nih.gov/pubmed/?term=36815713]
77,Ovid Technologies,Embase,641739631,A machine-learning-based approach to predict early hallmarks of progressive hearing loss.,"Brain and Neuroscience Advances. Conference: British Neuroscience Association Festival of Neuroscience, BNA 2023. Brighton United Kingdom. 7(pp 319), 2023. Date of Publication: January - December 2023.","Ceriani F.

Jeng J.-Y.

Marcotti W.",,"(Ceriani) University of Sheffield, United Kingdom

(Jeng, Marcotti) School of Biosciences, University of Sheffield, United Kingdom",SAGE Publications Ltd,"INTRODUCTION: Age-related hearing loss (ARHL), the most common health condition in older adults, is usually diagnosed only after patients start losing key hearing abilities, such as being able to distinguish speech in noisy environments. This is usually an indication that some irreversible damage has already happened to the sensory cells and neurons. Therefore, as we develop therapies to target ARHL, we also need to improve the diagnostic tools to detect the disease at an early stage. Here, we provide proof-of-principle, using mouse models, that machine learning (ML) techniques applied to non-invasive electrophysiological recordings of hearing function (auditory brainstem responses, ABRs) are well suited to detect early signs of ARHL. We used the common C57BL/6N mouse strain (6N), which suffers from early-onset ARHL due to an hypomorphic allele of Cadherin23 (Cdh23ahl). The ARHL phenotype becomes evident from around 3 months of age, when these mice develop a threshold shift in ABRs compared to a co-isogenic mouse strain in which the normal Cdh23 has been reinstated (6N-Repaired). METHOD(S): We recorded ABRs from a cohort of 1-month-old 6N and 6N-Repaired mice (104 mice). We trained ML algorithms through supervised learning using the ABR data as input features and the genotype as target. The hyperparameters of the models were optimised using random grid search and the performances were evaluated using repeated k-fold cross validation (10 repeats, k=5). APPROACH FOR STATISTICAL ANALYSIS: The statistical significance of the cross-validated scores was evaluated using permutation testing. Statistical analysis of experimental data was made using ANOVA followed by a suitable post hoc test. P<0.05 was selected as the criterion for statistical significance. RESULTS AND CONCLUSION(S): Despite no shift in auditory thresholds at 1 month of age, several ML algorithms were successful in identifying the mice that had the Cdh23ahl allele (6N). Interestingly, feature importance analysis indicated that subtle differences in ABR waves I and V were employed by one of the models to discriminate between the two genotypes. Our strategy highlights the power of ML for the early diagnosis of ARHL and it could dramatically improve the success rate of future treatments.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&AN=641739631,SFX,
78,Ovid Technologies,Embase,641148781,"Die Zukunft der Horgeratetechnologie : Kann die Technologie uns in Superhelden verwandeln?, The future of hearing aid technology : Can technology turn us into superheroes?.","Zeitschrift fur Gerontologie und Geriatrie. 56(4) (pp 283-289), 2023. Date of Publication: 01 Jul 2023.",Hohmann V.,,"(Hohmann) Department of Medical Physics and Acoustics, University of Oldenburg, Oldenburg 26111, Germany

(Hohmann) OldenburgGermany

(Hohmann) Cluster of Excellence Hearing4all, Oldenburg, Germany",NLM (Medline),,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1007%2fs00391-023-02179-y,SFX,37103645 [https://www.ncbi.nlm.nih.gov/pubmed/?term=37103645]
79,Ovid Technologies,Embase,2025043518,Brain plasticity and auditory spatial adaptation in patients with unilateral hearing loss.,"Cerebral Cortex. 33(11) (pp 7221-7236), 2023. Date of Publication: 01 Jun 2023.","Alzaher M.

Strelnikov K.

Marx M.

Barone P.","Alzaher, Mariam; ORCID: https://orcid.org/0000-0002-6372-0940","(Alzaher, Marx, Barone) Centre de Recherche Cerveau et Cognition, CNRS, Toulouse 31300, France

(Alzaher, Strelnikov, Marx) Service ORL, CHU Toulouse, Toulouse 31300, France",Oxford University Press,"The ability to localize sounds in patients with Unilateral Hearing Loss (UHL) is usually disrupted due to alteration in the integration of binaural cues. Nonetheless, some patients are able to compensate deficit using adaptive strategies. In this study, we explored the neural correlates underlying this adaptation. Twenty-one patients with UHL were separated into 3 groups using cluster analysis based on their binaural performance. The resulting clusters were referred to as better, moderate, and poorer performers cluster (BPC, MPC, and PPC). We measured the mismatch negativity (MMN) elicited by deviant sounds located at 10, 20, and 100 from a standard positioned at 50 ipsilateral to the deaf ear. The BPC exhibited significant MMN for all 3 deviants, similar to normal hearing (NH) subjects. In contrast, there was no significant MMN for 10 and 20 deviants for the PPC and for NH when one ear was plugged and muffed. Scalp distribution was maximal over central regions in BPC, while PPC showed more frontal MMN distribution. Thus, the BPC exhibited a contralateral activation pattern, similar to NH, while the PPC exhibited more symmetrical hemispheric activation. MMN can be used as a neural marker to reflect spatial adaptation in patients with UHL.Copyright © The Author(s) 2023. Published by Oxford University Press. All rights reserved.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1093%2fcercor%2fbhad033,SFX,36806394 [https://www.ncbi.nlm.nih.gov/pubmed/?term=36806394]
80,Ovid Technologies,Embase,640575726,Changing the Paradigm for School Hearing Screening Globally: Evaluation of Screening Protocols From Two Randomized Trials in Rural Alaska.,"Ear and hearing. 44(4) (pp 877-893), 2023. Date of Publication: 01 Jul 2023.","Robler S.K.

Platt A.

Jenson C.D.

Meade Inglis S.

Hofstetter P.

Ross A.A.

Wang N.-Y.

Labrique A.

Gallo J.J.

Egger J.R.

Emmett S.D.",,"(Robler, Meade Inglis) Department of Otolaryngology, Head & Neck Surgery, University of Arkansas for Medical Sciences, Little Rock, AR, United States

(Robler, Jenson) Department of Audiology, Norton Sound Health Corporation, Nome, AK, United States

(Platt, Meade Inglis, Egger) Duke Global Health Institute, Durham, NC, United States

(Platt) Department of Biostatistics & Bioinformatics, Duke School of Medicine, Durham, NC, United States

(Meade Inglis, Ross, Emmett) Center for Health Policy and Inequalities Research, Duke University, Durham, NC, United States

(Hofstetter) Petersburg Medical Center, Petersburg, Alaska, USA

(Ross, Emmett) Department of Head and Neck Surgery and Communication Sciences, Duke University School of Medicine, Durham, NC, United States

(Wang) Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, United States

(Wang) Departments of Biostatistics and Epidemiology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States

(Labrique) Department of International Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States

(Gallo) Department of Mental Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD, United States

(Emmett) Department of Epidemiology, Fay W. Boozman College of Public Health, University of Arkansas for Medical Sciences, Little Rock, AR, United States",NLM (Medline),"OBJECTIVES: Diagnostic accuracy was evaluated for various screening tools, including mobile health (mHealth) pure-tone screening, tympanometry, distortion product otoacoustic emissions (DPOAE), and inclusion of high frequencies to determine the most accurate screening protocol for identifying children with hearing loss in rural Alaska where the prevalence of middle ear disease is high. DESIGN: Hearing screening data were collected as part of two cluster randomized trials conducted in 15 communities in rural northwest Alaska. All children enrolled in school from preschool to 12th grade were eligible. Analysis was limited to data collected 2018 to 2019 (n = 1449), when both trials were running and measurement of high frequencies were included in the protocols. Analyses included estimates of diagnostic accuracy for each screening tool, as well as exploring performance by age and grade. Multiple imputation was used to assess diagnostic accuracy in younger children, where missing data were more prevalent due to requirements for conditioned responses. The audiometric reference standard included otoscopy, tympanometry, and high frequencies to ensure detection of infection-related and noise-induced hearing loss. RESULT(S): Both the mHealth pure-tone screen and DPOAE screen performed better when tympanometry was added to the protocol (increase in sensitivity of 19.9%, 95% Confidence Interval (CI): 15.9 to 24.1 for mHealth screen, 17.9%, 95% CI: 14.0 to 21.8 for high-frequency mHealth screen, and 10.4%, 95% CI: 7.5 to 13.9 for DPOAE). The addition of 6kHz to the mHealth pure-tone screen provided an 8.7 percentage point improvement in sensitivity (95% CI: 6.5 to 11.3). Completeness of data for both the reference standard and the mHealth screening tool differed substantially by age, due to difficulty with behavioral testing in young children. By age 7, children were able to complete behavioral testing, and data indicated that high-frequency mHealth pure-tone screen with tympanometry was the superior tool for children 7 years and older. For children 3 to 6 years of age, DPOAE plus tympanometry performed the best, both for complete data and multiply imputed data, which better approximates accuracy for children with missing data. CONCLUSION(S): This study directly evaluated pure-tone, DPOAE, and tympanometry tools as part of school hearing screening in rural Alaskan children (3 to 18+ years). Results from this study indicate that tympanometry is a key component in the hearing screening protocol, particularly in environments with higher prevalence of infection-related hearing loss. DPOAE is the preferred hearing screening tool when evaluating children younger than 7 years of age (below 2nd grade in the United States) due to the frequency of missing data with behavioral testing in this age group. For children 7 years and older, the addition of high frequencies to pure-tone screening increased the accuracy of screening, likely due to improved identification of hearing loss from noise exposure. The lack of a consistent reference standard in the literature makes comparing across studies challenging. In our study with a reference standard inclusive of otoscopy, tympanometry, and high frequencies, less than ideal sensitivities were found even for the most sensitive screening protocols, suggesting more investigation is necessary to ensure screening programs are appropriately identifying noise- and infection-related hearing loss in rural, low-resource settings.Copyright © 2023 The Authors. Ear & Hearing is published on behalf of the American Auditory Society, by Wolters Kluwer Health, Inc.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1097%2fAUD.0000000000001336,SFX,36907833 [https://www.ncbi.nlm.nih.gov/pubmed/?term=36907833]
81,Ovid Technologies,Embase,639973354,Conductive Hearing Loss Estimated From Wideband Acoustic Immittance Measurements in Ears With Otitis Media With Effusion.,"Ear and hearing. 44(4) (pp 721-731), 2023. Date of Publication: 01 Jul 2023.","Merchant G.R.

Neely S.T.",,"(Merchant) Center for Hearing Research, Boys Town National Research Hospital, Omaha, NE, United States",NLM (Medline),"OBJECTIVES: Previous work has shown that wideband acoustic immittance (WAI) is sensitive to the volume of effusion present in ears with otitis media with effusion (OME). Prior work also demonstrates that the volume of the effusion appears to drive, or at least play a significant role in, how much conductive hearing loss (CHL) a child has due to a given episode of OME. Given this association, the goal of this work was to determine how well CHL could be estimated directly from WAI in ears with OME. DESIGN: Sixty-three ears from a previously published study on OME (ages 9 months to 11 years, 2 months) were grouped based on effusion volume (full, partial, or clear) determined during tympanostomy tube placement surgery and compared with age-matched normal control ears. Audiometric thresholds were obtained for a subset of the 34 ears distributed across the four groups. An electrical-analog model of ear-canal acoustics and middle-ear mechanics was fit to the measured WAI from individual ears. Initial estimates of CHL were derived from either (1) average absorbance or (2) the model component thought to represent damping in the ossicular chain. RESULT(S): The analog model produced good fits for all effusion-volume groups. The two initial CHL estimates were both well correlated (87% and 81%) with the pure-tone average hearing thresholds used to define the CHL. However, in roughly a third of the ears (11/34), the estimate based on damping was too large by nearly a factor of two. This observation motivated improved CHL estimates. CONCLUSION(S): Our CHL estimation method can estimate behavioral audiometric thresholds (CHL) within a margin of error that is small enough to be clinically meaningful. The importance of this finding is increased by the challenges associated with behavioral audiometric testing in pediatric populations, where OME is the most common. In addition, the discovery of two clusters in the damping-related CHL estimate suggests the possible existence of two distinctly different types of ears: pressure detectors and power detectors.Copyright © 2022 Wolters Kluwer Health, Inc. All rights reserved.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1097%2fAUD.0000000000001317,SFX,36607739 [https://www.ncbi.nlm.nih.gov/pubmed/?term=36607739]
82,Ovid Technologies,Embase,2025049715,Hearing recovery prediction and prognostic factors of idiopathic sudden sensorineural hearing loss: a retrospective analysis with a deep neural network model.,"Brazilian Journal of Otorhinolaryngology. 89(4) (no pagination), 2023. Article Number: 101273. Date of Publication: 01 Jul 2023.","Uhm T.W.

Yi S.

Choi S.W.

Oh S.J.

Kong S.K.

Lee I.W.

Lee H.M.","Uhm, Tae Woong; ORCID: https://orcid.org/0000-0003-1354-2186

Yi, Seongbaek; ORCID: https://orcid.org/0000-0003-4084-9757

Choi, Sung Won; ORCID: https://orcid.org/0000-0002-7463-7720

Oh, Se Joon; ORCID: https://orcid.org/0000-0001-8910-0064

Kong, Soo Keun; ORCID: https://orcid.org/0000-0002-6783-3766

Lee, Il Woo; ORCID: https://orcid.org/0000-0001-9561-6585

Lee, Hyun Min; ORCID: https://orcid.org/0000-0001-6306-5256","(Uhm, Yi) Department of Statistics, Pukyong National University, Busan, South Korea

(Choi, Oh, Kong) Department of Otorhinolaryngology-Head and Neck Surgery, Pusan National University College of Medicine, Pusan National University Hospital, Busan, South Korea

(Lee, Lee) Department of Otorhinolaryngology-Head and Neck Surgery, Pusan National University College of Medicine, Pusan National University Yangsan Hospital, Gyeongnam, Yangsan, South Korea",Elsevier Editora Ltda,"Objective: Idiopathic Sudden Sensorineural Hearing Loss (ISSHL) is an otologic emergency, and an early prediction of prognosis may facilitate proper treatment. Therefore, we investigated the prognostic factors for predicting the recovery in patients with ISSHL treated with combined treatment method using machine learning models. Method(s): We retrospectively reviewed the medical records of 298 patients with ISSHL at a tertiary medical institution between January 2015 and September 2020. Fifty-two variables were analyzed to predict hearing recovery. Recovery was defined using Siegel's criteria, and the patients were categorized into recovery and non-recovery groups. Recovery was predicted by various machine learning models. In addition, the prognostic factors were analyzed using the difference in the loss function. Result(s): There were significant differences in variables including age, hypertension, previous hearing loss, ear fullness, duration of hospital admission, initial hearing level of the affected and unaffected ears, and post-treatment hearing level between recovery and non-recovery groups. The deep neural network model showed the highest predictive performance (accuracy, 88.81%; area under the receiver operating characteristic curve, 0.9448). In addition, initial hearing level of affected and non-affected ear, post-treatment (2-weeks) hearing level of affected ear were significant factors for predicting the prognosis. Conclusion(s): The deep neural network model showed the highest predictive performance for recovery in patients with ISSHL. Some factors with prognostic value were identified. Further studies using a larger patient population are warranted. Level of Evidence: Level 4.Copyright © 2023 Associacao Brasileira de Otorrinolaringologia e Cirurgia Cervico-Facial",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed25&DO=10.1016%2fj.bjorl.2023.04.001,SFX,37307713 [https://www.ncbi.nlm.nih.gov/pubmed/?term=37307713]
