ORN,VN,DB,AN,TI,DP,YR,PH,AU,MA,SO,MO,OL,AB,CP,JN,VO,IP,PG,FTURL,XL,PE,OC,CA,PS,URL
11,Ovid Technologies,APA PsycInfo,2022-80152-001,Age-related decline of speech perception. [References].,"Jun 22, 2022",2022,"First Posting: Jun 2022

Accepted: May 2022

First Submitted: Mar 2022.","Hoppe, Ulrich

Hocke, Thomas

Iro, Heinrich","Hoppe, Ulrich: ulrich.hoppe@uk-erlangen.de","Frontiers in Aging Neuroscience. Vol.14, 2022, ArtID 891202.",Jun,,"Hearing loss is one of the most common disorders worldwide. It affects communicative abilities in all age groups. However, it is well known that elderly people suffer more frequently from hearing loss. Two different model approaches were employed: A generalised linear model and a random forest regression model were used to quantify the relationship between pure-tone hearing loss, age, and speech perception. Both models were applied to a large clinical data set of 19,801 ears, covering all degrees of hearing loss. They allow the estimation of age-related decline in speech recognition for different types of audiograms. Our results show that speech scores depend on the specific type of hearing loss and life decade. We found age effects for all degrees of hearing loss. A deterioration in speech recognition of up to 25 percentage points across the whole life span was observed for constant pure-tone thresholds. The largest decrease was 10 percentage points per life decade. This age-related decline in speech recognition cannot be explained by elevated hearing thresholds as measured by pure-tone audiometry. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.
HOLDER: Hoppe, Hocke and Iro
YEAR: 2022",Frontiers in Aging Neuroscience,14,,,Click here for full text options,SFX,11,"Frontiers Research Foundation, Switzerland",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc21&DO=10.3389%2ffnagi.2022.891202
12,Ovid Technologies,APA PsycInfo,2022-69797-001,Disrupted topological organization of resting-state functional brain networks in age-related hearing loss. [References].,"May 20, 2022",2022,"First Posting: May 2022

Accepted: Apr 2022

First Submitted: Mar 2022.","Yong, Wei

Song, Jiajie

Xing, Chunhua

Xu, Jin-Jing

Xue, Yuan

Yin, Xindao

Wu, Yuanqing

Chen, Yu-Chen","Wu, Yuanqing: cnnxdd@163.com; Chen, Yu-Chen: chenyuchen1989@126.com","Frontiers in Aging Neuroscience. Vol.14, 2022, ArtID 907070.",May,,"Purpose: Age-related hearing loss (ARHL), associated with the function of speech perception decreases characterized by bilateral sensorineural hearing loss at high frequencies, has become an increasingly critical public health problem. This study aimed to investigate the topological features of the brain functional network and structural dysfunction of the central nervous system in ARHL using graph theory. Methods: Forty-six patients with ARHL and forty-five age, sex, and education-matched healthy controls were recruited to undergo a resting-state functional magnetic resonance imaging (fMRI) scan in this study. Graph theory was applied to analyze the topological properties of the functional connectomes by studying the local and global organization of neural networks. Results: Compared with healthy controls, the patient group showed increased local efficiency (Eloc) and clustering coefficient (Cp) of the small-world network. Besides, the degree centrality (Dc) and nodal efficiency (Ne) values of the left inferior occipital gyrus (IOG) in the patient group showed a decrease in contrast with the healthy control group. In addition, the intra-modular interaction of the occipital lobe module and the inter-modular interaction of the parietal occipital module decreased in the patient group, which was positively correlated with Dc and Ne. The intra-modular interaction of the occipital lobe module decreased in the patient group, which was negatively correlated with the Eloc. Conclusion: Based on fMRI and graph theory, we indicate the aberrant small-world network topology in ARHL and dysfunctional interaction of the occipital lobe and parietal lobe, emphasizing the importance of dysfunctional left IOG. These results suggest that early diagnosis and treatment of patients with ARHL is necessary, which can avoid the transformation of brain topology and decreased brain function. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","STATEMENT: This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.
HOLDER: Yong, Song, Xing, Xu, Xue, Yin, Wu and Chen
YEAR: 2022",Frontiers in Aging Neuroscience,14,,,Click here for full text options,SFX,9,"Frontiers Research Foundation, Switzerland",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc21&DO=10.3389%2ffnagi.2022.907070
13,Ovid Technologies,APA PsycInfo,2021-26970-001,Assessment of hearing screening programmes across 47 countries or regions I: Provision of newborn hearing screening. [References].,Nov 2021,2021,"Accepted: Feb 2021

Revised: Jan 2021

First Submitted: May 2020.","Busse, Andrea M. L

Mackey, Allison R

Hoeve, Hans L. J

Goedegebure, Andre

Carr, Gwen

Uhlen, Inger M

Simonsz, Huibert J","Busse, Andrea M. L.: a.busse@erasmusmc.nl","International Journal of Audiology. Vol.60,(11), 2021, pp. 821-830.",Nov,,"Objectives: Newborn hearing screening (NHS) varies regarding number and type of tests, location, age, professionals and funding. We compared the provision of existing screening programmes. Design: A questionnaire containing nine domains: demography, administration, existing screening, coverage, tests, diagnosis, treatment, cost and adverse effects, was presented to hearing screening experts. Responses were verified. Clusters were identified based on number of screening steps and use of OAE or aABR, either for all infants or for well and high-risk infants (dual-protocol). Study sample: Fifty-two experts completed the questionnaire sufficiently: 40 European countries, Russia, Malawi, Rwanda, India and China. Results: It took considerable effort to find experts for all countries with sufficient time and knowledge. Data essential for evaluation are often not collected. Infants are first screened in maternity wards in most countries. Human development index and health expenditure were high among countries with dual protocols, three screening steps, including aABR, and low among countries without NHS and countries using OAE for all infants. Nationwide implementation of NHS took 6 years, on average. Conclusion: The extent and complexity of NHS programmes are primarily related to health expenditure and HDI. Data collection should be improved to facilitate comparison of NHS programmes across borders. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of British Society of Audiology, International Society of Audiology, and Nordic Audiological Society. This is an Open Access article distributed under the terms of the Creative Commons Attribution-NonCommercial-NoDerivatives License (http://creativecommons.org/licenses/by-nc-nd/4.0/), which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited, and is not altered, transformed, or built upon in any way.
HOLDER: The Authors
YEAR: 2021",International Journal of Audiology,60,11,821-830,Click here for full text options,SFX,,"Informa Healthcare, US",EUSREEN Foundation.,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc20&DO=10.1080%2f14992027.2021.1886350
14,Ovid Technologies,APA PsycInfo,2019-33408-008,Speech development for children with impaired hearing.DP  - 2021,,2021,,"Seal, Brenda C",,"Hull, Raymond H [Ed]. (2021). Introduction to aural rehabilitation: Serving children and adults with hearing loss., 3rd ed. (pp. 161-189). xii, 513pp. San Diego, CA, US: Plural Publishing Inc.; US.",,,"This chapter provides a brief description on speech development for children with impaired hearing. Daniel Ling's Speech and the Hearing-Impaired Child: Theory and Practice (1976) had a strong influence on speech practices of the last quarter of the 20th century. This replacement chapter honors his legacy with many of his insights that remain relevant today and with revised information from the 21st century. In the area of communication, the authors generally report two areas: speech perception and speech production. Audiologists usually document speech perception and speech-language pathologists (SLPs) usually document speech production. Ling also designed two speech production tests to determine a child's speech performance and speech potential. The Phonetic Level Evaluation is a repeat-after-me test divided into (1) vocal quality or suprasegments, with varied duration, intensity, and pitch patterns assessed with consonant-vowel syllables; and then segments, concentrating on (2) vowel and diphthong productions and (3) with three consonants steps, representing a developmental progression of consonants in three steps; and, finally, two stages of consonant blends or clusters: (4) world-initial consonant blends and (5) word-final consonant blends. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",,,,,161-189,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc20&AN=2019-33408-008
15,Ovid Technologies,APA PsycInfo,2021-11380-001,Mismatched response predicts behavioral speech discrimination outcomes in infants with hearing loss and normal hearing. [References].,Mar-Apr 2021,2021,"Accepted: Dec 2020

First Submitted: Mar 2020.","Uhler, Kristin

Hunter, Sharon

Gilley, Phillip M","Uhler, Kristin: kristin.uhler@cuanschutz.edu","Infancy. Vol.26,(2), 2021, pp. 327-348.",Mar-Apr,,"Children with hearing loss (HL) remain at risk for poorer language abilities than normal hearing (NH) children despite targeted interventions; reasons for these differences remain unclear. In NH children, research suggests speech discrimination is related to language outcomes, yet we know little about it in children with HL under the age of 2 years. We utilized a vowel contrast, /a-i/, and a consonant-vowel contrast, /ba-da/, to examine speech discrimination in 47 NH infants and 40 infants with HL. At Mean age = 3 months, EEG recorded from 11 scalp electrodes was used to compute the time-frequency mismatched response (TF-MMRSE) to the contrasts; at Mean age =9 months, behavioral discrimination was assessed using a head turn task. A machine learning (ML) classifier was used to predict behavioral discrimination when given an arbitrary TF-MMRSE as input, achieving accuracies of 73% for exact classification and 92% for classification within a distance of one class. Linear fits revealed a robust relationship regardless of hearing status or speech contrast. TF-MMRSE responses in the delta (1-3.5 Hz), theta (3.5-8 Hz), and alpha (8-12 Hz) bands explained the most variance in behavioral task performance. Our findings demonstrate the feasibility of using TF-MMRSE to predict later behavioral speech discrimination. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: Published by Wiley Periodicals LLC on behalf of International Congress of Infant Studies. This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.
HOLDER: The Authors-Infancy
YEAR: 2021",Infancy,26,2,327-348,Click here for full text options,SFX,,"Lawrence Erlbaum, US; Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc20&DO=10.1111%2finfa.12386
16,Ovid Technologies,APA PsycInfo,2021-35406-001,Audiometric profiles and patterns of benefit: A data-driven analysis of subjective hearing difficulties and handicaps. [References].,"Apr 4, 2021",2021,"Accepted: Mar 2021

Revised: Mar 2021

First Submitted: Apr 2020.","Sanchez-Lopez, Raul

Dau, Torsten

Whitmer, William M",,"International Journal of Audiology. 2021, pp. No Pagination Specified.",Apr,,"Abstract Objective Hearing rehabilitation attempts to compensate for auditory dysfunction, reduce hearing difficulties and minimise participation restrictions that can lead to social isolation. However, there is no systematic approach to assess the quality of the intervention at an individual level that might help to evaluate the need of further hearing rehabilitation in the hearing care clinic. Design A data-driven analysis on subjective data reflecting hearing disabilities and handicap was chosen to explore ""benefit patterns"" as a result of rehabilitation in different audiometric groups. The method was based on (1) dimensionality reduction; (2) stratification; (3) archetypal analysis; (4) clustering; (5) item importance estimation. Study sample 572 hearing-aid users completed questionnaires of hearing difficulties (speech, spatial and qualities hearing scale; SSQ) and hearing handicap (HHQ). Results The data-driven approach revealed four benefit profiles that were different for each audiometric group. The groups with low degree of high-frequency hearing loss (HLHF) showed a priority for rehabilitating hearing handicaps, whereas the groups with HLHF > 50 dB HL showed a priority for improvements in speech understanding. Conclusions The patterns of benefit and the stratification approach might guide the clinical intervention strategy and improve the efficacy and quality of service in the hearing care clinic. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: The Authors
YEAR: 2021",International Journal of Audiology,,,No Pagination Specified,Click here for full text options,SFX,,"Informa Healthcare, US",,First Posting,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc20&DO=10.1080%2f14992027.2021.1905890
17,Ovid Technologies,APA PsycInfo,2020-72284-001,Maximising the ability of stimulus-frequency otoacoustic emissions to predict hearing status and thresholds using machine-learning models. [References].,Apr 2021,2021,"Accepted: Sep 2020

Revised: Sep 2020

First Submitted: Apr 2020.","Liu, Yin

Xu, Runyi

Gong, Qin","Gong, Qin: gongqin@mail.tsinghua.edu.cn","International Journal of Audiology. Vol.60,(4), 2021, pp. 263-273.",Apr,,"Objective: This study aimed to maximise the ability of stimulus-frequency otoacoustic emissions (SFOAEs) to predict hearing status and thresholds based on machine-learning models. Design: SFOAE data and audiometric thresholds were collected at octave frequencies from 0.5 to 8 kHz. Support vector machine, k-nearest neighbour, back propagation neural network, decision tree, and random forest algorithms were used to build classification models for status identification and to develop regression models for threshold prediction. Study sample: About 230 ears with normal hearing and 737 ears with sensorineural hearing loss. Results: All classification models yielded areas under the receiver operating characteristic curve of 0.926-0.994 at 0.5-8 kHz, superior to the previous SFOAE study. The regression models produced lower standard errors (8.1-12.2 dB, mean absolute errors: 5.53-8.97 dB) as compared to those for distortion-product and transient-evoked otoacoustic emissions previously reported (8.6-19.2 dB). Conclusions: SFOAEs using machine-learning approaches offer promising tools for the prediction of hearing capabilities, at least at 0.5-4 kHz. Future research may focus on further improvements in accuracy and reductions in test time to improve clinical utility. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: British Society of Audiology, International Society of Audiology, and Nordic Audiological Society
YEAR: 2020",International Journal of Audiology,60,4,263-273,Click here for full text options,SFX,,"Informa Healthcare, US",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1080%2f14992027.2020.1821252
18,Ovid Technologies,APA PsycInfo,2020-20726-001,"Field test of the Rapid Assessment of Hearing Loss survey protocol in Ntcheu district, Malawi. [References].",Aug 2020,2020,"Accepted: Feb 2020

Revised: Jan 2020

First Submitted: Oct 2019.","Bright, Tess

Mulwafu, Wakisa

Phiri, Mwanaisha

Jiang, Fan

Swanepoel, De Wet

Kuper, Hannah

Mactaggart, Islay

Yip, Jennifer L. Y

Polack, Sarah","Bright, Tess: tess.bright@lshtm.ac.uk","International Journal of Audiology. Vol.59,(8), 2020, pp. 574-582.",Aug,,"Objective: (1) To test the feasibility of the Rapid Assessment of Hearing Loss (RAHL) survey protocol in Malawi (Ntcheu); (2) To estimate the prevalence and probable causes of hearing loss (adults 50 +). Design: Cross-sectional population-based survey. Study sample: Clusters (n = 38) were selected using probability-proportionate-to-size-sampling. Within each cluster, 30 people aged 50 + were selected using compact-segment-sampling. All participants completed smartphone-based audiometry (hearTest). Prevalence was estimated using WHO definitions (PTA of thresholds 0.5, 1, 2, 4 kHz in the better ear of > 25 dB HL (any) and > 40 dB HL (>= moderate)). Otoscopy and questionnaire were used to assess probable causes. Participants with hearing loss and/or ear disease were asked about care-seeking and barriers. Results: Four teams completed the survey in 24 days. 1080 of 1153 (93.7%) participants were examined. The median time to complete the protocol was 24 min/participant. Prevalence of hearing loss was 35.9% (95% CI = 31.6-40.2) (any level); and 10.0% (95% CI = 7.9-12.5) (>= moderate). The majority was classified as probable sensorineural. Nearly one third of people (30.9%) needed diagnostic audiology services and possible hearing aid fitting. Hearing aid coverage was < 1%. Lack of perceived need was a key barrier. Conclusion: The RAHL is simple, fast and provides information about the magnitude and probable causes of hearing loss to plan services. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","HOLDER: British Society of Audiology, International Society of Audiology, and Nordic Audiological Society
YEAR: 2020",International Journal of Audiology,59,8,574-582,Click here for full text options,SFX,,"Informa Healthcare, US",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1080%2f14992027.2020.1739764
19,Ovid Technologies,APA PsycInfo,2020-89373-001,Factors influencing classification of frequency following responses to speech and music stimuli. [References].,Dec 2020,2020,"First Posting: Oct 2020

Accepted: Oct 2020

Revised: Sep 2020

First Submitted: Jun 2019.","Losorelli, Steven

Kaneshiro, Blair

Musacchia, Gabriella A

Blevins, Nikolas H

Fitzgerald, Matthew B","Losorelli, Steven: slosorelli@stanford.edu; Kaneshiro, Blair: blairbo@ccrma.stanford.edu; Musacchia, Gabriella A.: gmusacchia@pacific.edu; Blevins, Nikolas H.: nblevins@stanford.edu; Fitzgerald, Matthew B.: fitzmb@stanford.edu","Hearing Research. Vol.398, 2020, ArtID 108101.",Dec,,"Successful mapping of meaningful labels to sound input requires accurate representation of that sound's acoustic variances in time and spectrum. For some individuals, such as children or those with hearing loss, having an objective measure of the integrity of this representation could be useful. Classification is a promising machine learning approach which can be used to objectively predict a stimulus label from the brain response. This approach has been previously used with auditory evoked potentials (AEP) such as the frequency following response (FFR), but a number of key issues remain unresolved before classification can be translated into clinical practice. Specifically, past efforts at FFR classification have used data from a given subject for both training and testing the classifier. It is also unclear which components of the FFR elicit optimal classification accuracy. To address these issues, we recorded FFRs from 13 adults with normal hearing in response to speech and music stimuli. We compared labeling accuracy of two cross-validation classification approaches using FFR data: (1) a more traditional method combining subject data in both the training and testing set, and (2) a ""leave-one-out"" approach, in which subject data is classified based on a model built exclusively from the data of other individuals. We also examined classification accuracy on decomposed and time-segmented FFRs. Our results indicate that the accuracy of leave-one-subject-out cross validation approaches that obtained in the more conventional cross-validation classifications while allowing a subject's results to be analysed with respect to normative data pooled from a separate population. In addition, we demonstrate that classification accuracy is highest when the entire FFR is used to train the classifier. Taken together, these efforts contribute key steps toward translation of classification-based machine learning approaches into clinical practice. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2020",Hearing Research,398,,,Click here for full text options,SFX,15,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1016%2fj.heares.2020.108101
20,Ovid Technologies,APA PsycInfo,2020-71372-015,Common configurations of real-ear aided response targets prescribed by NAL-NL2 for older adults with mild-to-moderate hearing loss. [References].,Sep 2020,2020,"Accepted: May 2020

Revised: Apr 2020

First Submitted: Feb 2020.","Jensen, Justin

Vyas, Dhruv

Urbanski, Dana

Garudadri, Harinath

Chipara, Octav

Wu, Yu-Hsiang","Jensen, Justin: justin-jensen@uiowa.edu","American Journal of Audiology. Vol.29,(3), 2020, pp. 460-475.",Sep,,"Purpose: This study investigates common real-ear aided response (REAR) configurations prescribed by the NAL-NL2 algorithm for older adults with hearing loss. Method: A data set that is representative of the older adult U.S. population with mild-to-moderate sensorineural hearing loss was constructed from the audiometric data of 934 adults (aged 55-85 years) from the National Health and Nutrition Examination Survey years 1999-2012. Two clustering approaches were implemented to generate common REAR configurations for eight frequencies (0.25, 0.5, 1, 2, 3, 4, 6, and 8 kHz) at three input levels (55, 65, and 75 dB SPL). (a) In the REAR-based clustering approach, the National Health and Nutrition Examination Survey audiograms were first converted to REAR targets and then clustered to generate common REAR configurations. (b) In the audiogram-based clustering approach, the audiograms were first clustered into common hearing loss profiles and then converted to REAR configurations. The trade-off between the number of available REAR configurations and the percentage of the U.S. population whose hearing loss could be fit by at least one of them (i.e., percent coverage) was evaluated. Hearing loss fit was defined as less than +/- 5-dB difference between an individual's REAR targets and those of the clustered REAR configuration. Results: Percent coverage increases with the number of available REAR configurations, with four configurations resulting in 75% population coverage. Overall, REAR-based clustering yielded 5 percentage points better coverage on average compared to audiogram-based clustering. Conclusions: The common REAR configurations can be used for programming the gain frequency responses in preconfigured over-the-counter hearing aids and provide clinically appropriate amplification settings for older adults with mild-to-moderate hearing loss. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","HOLDER: American Speech-Language-Hearing Association
YEAR: 2020",American Journal of Audiology,29,3,460-475,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1044%2f2020_AJA-20-00025
21,Ovid Technologies,APA PsycInfo,2020-20494-007,A novel method for classifying hearing impairment in epidemiological studies of aging: The Wisconsin Age-Related Hearing Impairment Classification Scale. [References].,Mar 2020,2020,"Accepted: Nov 2019

Revised: Oct 2019

First Submitted: Jul 2019.","Cruickshanks, Karen J

Nondahl, David M

Fischer, Mary E

Schubert, Carla R

Tweed, Ted S","Cruickshanks, Karen J.: kjcruick@wisc.edu","American Journal of Audiology. Vol.29,(1), 2020, pp. 59-67.",Mar,,"Purpose: Longitudinal population-based cohort data were used to develop a standardized classification system for age-related hearing impairment using thresholds for frequencies (0.5-8 kHz) typically measured in cohort studies. Method: Audiometric testing data collected in the Epidemiology of Hearing Loss Study from participants (n = 1,369) with four visits (1993-1995, 1998-2000, 2003-2005, and 2009-2010) were included (10,952 audiograms). Cluster analyses (Wald's method) were used to identify audiometric patterns. Maximum allowable threshold values were defined for each cluster to create an ordered scale. Progression was defined as a two-step change. Results: An eight-step scale was developed to capture audiogram shape and severity of hearing impairment. Of the 1,094 participants classified as having normal hearing based on a pure-tone average, only 25% (n = 277) were classified as Level 1 (all thresholds <= 20 dB HL) on the new scale, whereas 17% (n = 182) were Levels 4-6. During the 16-year follow-up, 64.9% of those at Level 1 progressed. There was little regression using this scale. Conclusions: This is the first scale developed from population-based longitudinal cohort data to capture audiogram shape across time. This simple, standardized scale is easy to apply, reduces misclassification of normal hearing, and may be a useful method for identifying risk factors for early, preclinical, age-related changes in hearing. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: American Speech-Language-Hearing Association
YEAR: 2020",American Journal of Audiology,29,1,59-67,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1044%2f2019_AJA-19-00021
22,Ovid Technologies,APA PsycInfo,2019-08837-001,Cognitively inspired feature extraction and speech recognition for automated hearing loss testing. [References].,"Aug 15, 2019",2019,"First Posting: Feb 2019

Accepted: Oct 2018

First Submitted: Apr 2018.","Nisar, Shibli

Tariq, Muhammad

Adeel, Ahsan

Gogate, Mandar

Hussain, Amir","Adeel, Ahsan: ahsan.adeel@deepci.org","Cognitive Computation. Vol.11,(4), 2019, pp. 489-502.",Aug,,"Hearing loss, a partial or total inability to hear, is one of the most commonly reported disabilities. A hearing test can be carried out by an audiologist to assess a patient's auditory system. However, the procedure requires an appointment, which can result in delays and practitioner fees. In addition, there are often challenges associated with the unavailability of equipment and qualified practitioners, particularly in remote areas. This paper presents a novel idea that automatically identifies any hearing impairment based on a cognitively inspired feature extraction and speech recognition approach. The proposed system uses an adaptive filter bank with weighted Mel-frequency cepstral coefficients for feature extraction. The adaptive filter bank implementation is inspired by the principle of spectrum sensing in cognitive radio that is aware of its environment and adapts to statistical variations in the input stimuli by learning from the environment. Comparative performance evaluation demonstrates the potential of our automated hearing test method to achieve comparable results to the clinical ground truth, established by the expert audiologist's tests. The overall absolute error of the proposed model when compared with the expert audiologist test is less than 4.9 dB and 4.4 dB for the pure tone and speech audiometry tests, respectively. The overall accuracy achieved is 96.67% with a hidden Markov model (HMM). The proposed method potentially offers a second opinion to audiologists, and serves as a cost-effective pre-screening test to predict hearing loss at an early stage. In future work, authors intend to explore the application of advanced deep learning and optimization approaches to further enhance the performance of the automated testing prototype considering imperfect datasets with real-world background noise. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: Springer Science+Business Media, LLC, part of Springer Nature
YEAR: 2019",Cognitive Computation,11,4,489-502,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc18&DO=10.1007%2fs12559-018-9607-4
23,Ovid Technologies,APA PsycInfo,2019-41279-008,Recovery from sudden sensorineural hearing loss may be linked to chronic stress levels and steroid treatment resistance. [References].,"Jun 10, 2019",2019,"Accepted: Jan 2019

Revised: Nov 2018

First Submitted: Aug 2018.","Ajduk, Jakov

Kosec, Andro

Kelava, Iva

Ries, Mihael

Greguric, Tomislav

Kalogjera, Livije","Kosec, Andro: andro.kosec@yahoo.com","American Journal of Audiology. Vol.28,(2), 2019, pp. 315-321.",Jun,,"Purpose: This article investigates the possible connections between the level of chronic stress and success of steroid therapy in patients with sudden sensorineural hearing loss (SSNHL). Method: A single-center, retrospective, longitudinal cohort study on 55 patients in a tertiary referral otology center was examined. Patients diagnosed with SSNHL between 2014 and 2017 were asked to complete a Measure of Perceived Stress (Brajac, Tkalcic, Dragojevic, & Gruber, 2003) questionnaire. Inclusion criteria were patients > 18 years of age, SSNHL diagnosed within 4 previous weeks, completed steroid treatment, and complete documentation. Results: There were 30 patients (55%) that showed significant improvement in their pure-tone audiogram (PTA) hearing threshold average (>= 15 dB) after steroid treatment. Two-step cluster analysis identified 3 clusters based on average PTA hearing threshold recovery and average Measure of Perceived Stress scores. The difference between pretreatment and posttreatment hearing levels was significantly higher in the cluster with moderate stress compared to clusters with mild and high stress levels (Kruskal-Wallis test, Friedman test, p < .001). There were no significant differences in average PTA hearing threshold recovery after steroid therapy between groups of patients with mild and severe stress. Conclusion: Patients with moderate stress levels show significantly better results after steroid treatment for SSNHL than patients with low or high stress levels. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: American Speech-Language-Hearing Association
YEAR: 2019",American Journal of Audiology,28,2,315-321,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc18&DO=10.1044%2f2019_AJA-18-0127
24,Ovid Technologies,APA PsycInfo,2019-74466-001,Cortical thickness of left Heschl's gyrus correlates with hearing acuity in adults-A surface-based morphometry study. [References].,Dec 2019,2019,"First Posting: Oct 2019

Accepted: Oct 2019

Revised: Oct 2019

First Submitted: Jul 2019.","Neuschwander, Pia

Hanggi, Jurgen

Zekveld, Adriana A

Meyer, Martin","Neuschwander, Pia: pia.neuschwander@psychologie.uzh.ch","Hearing Research. Vol.384, 2019, ArtID 107823.",Dec,,"To date, research examining the relationship between brain structure and hearing acuity is sparse, especially given the context of a broad age range. To investigate this relationship, we applied an automated surface-based morphometry (SBM) approach (FreeSurfer) in this study to re-examine a sample of normal-hearing (n = 17) and hearing-impaired (n = 17) age- and education-matched adults, aged between 20 and 63 years (Alfandari et al., 2018). The SBM approach allows the disentanglement of cortical surface area (CSA) from cortical thickness (CT), the 2 independent constituents of cortical volume (CV). We extend the findings of Alfandari and colleagues by showing several clusters in auditory-related areas as well as in the left and right angular gyrus that showed reduced CT, CSA and CV in hearing-impaired compared to normal-hearing listeners. Nevertheless, none of the clusters found correlated significantly with hearing acuity, measured by pure-tone thresholds, in the 2 groups. An additional vertex-wise correlation analysis between hearing acuity and morphometric parameters over all participants revealed a single significant cluster encompassing the left Heschl's gyrus. Higher hearing thresholds were associated with a thinner cortex within this cluster. Our results imply that hearing impairment is associated with reduced thickness in primary and secondary auditory cortex regions, those regions especially involved in perceiving and processing relevant speech cues. This decrease was observed not only in older but also in younger and middle-aged adults, independent of age-related decline in the cognitive domain and age-dependent whole-brain atrophy. Further, the results show the value added when considering CV, CT and CSA separately, relative to previous studies which have solely relied on voxel-based morphometry to investigate brain structure and hearing acuity across the lifespan. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2019",Hearing Research,384,,,Click here for full text options,SFX,12,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc18&DO=10.1016%2fj.heares.2019.107823
