author,title,abstract,date,search_term
LucianoSJ,Dispositivo de Alarme de Problemas no Setor de Tecnologia Através de Controle Audiométrico Baseado em Arduíno,"# Dispositivo de Alarme de Problemas no Setor de Tecnologia Através de Controle Audiométrico Baseado em Arduíno
Versão 3.0
## Objetivo do projeto
O sistema fará o monitoramento do sensor de áudio e enviará a leitura para uma planilha do Excel, que analisará os dados colhidos comparando com os dados de arquivos anteriores e enviará uma mensagem ao responsável caso ultrapasse os valores preestabel

## Principais características
Monitora o nível do som no ambiente
Detecção de problemas que gerem ruídos

## Testes com decibelímetro virtual
![](https://user-images.githubusercontent.com/42394231/101193539-79d67400-363b-11eb-81a6-966843990680.PNG)

## Protótipo de projeto
![](https://user-images.githubusercontent.com/42394231/101193568-85c23600-363b-11eb-8897-3490080eca44.jpg)

Luciano Santos de Jesus, São Paulo, 2020

https://www.codeproject.com/Articles/LucianoSJ#Article
",2020,audiometric
SravanthiSabbella,SELF AUDIOMETRIC TEST,"# SELF AUDIOMETRIC TEST
## Technologies Used

- [HTML](https://developer.mozilla.org/en-US/docs/Web/HTML)
- [CSS](https://developer.mozilla.org/en-US/docs/Web/CSS)
- [Bootstrap](https://getbootstrap.com/)
- [JavaScript](https://developer.mozilla.org/en-US/docs/Web/JavaScript)

## How to Run

1. **Clone the repository:**
   ```bash
   git clone https://github.com/Sravanthi-188/Self-Audiometric-Test.git
2. **Clone the repository:**
   ```bash
   cd Self-Audiometric-Test
## Open the project in your web browser:
* #### Locate the index.html file in the project directory.
* #### Right-click on index.html.
* #### Choose ""Open with"" and select your preferred web browser.",2024,audiometric
Yurko Prokopets,AudiogramDatabase,None,2019,audiometric
bcm9,plot_audiogram,"# plot_audiogram
### MATLAB function to plot audiometric thresholds from excel spreadsheet. Main code: plot_audiogram.m

### plot_audiogram(nplots,plotdinv,errbartype):

* nplots = single (1) or subplots (2)
* plotdinv = overlay individual data (1) or not (0)
* errbartype= no (0), stdev (1) or SEM (2) errorbars

### Example:

Organize data in excel spreadsheet as in audio_data_example. 

Add or remove rows (participants) and columns (frequencys) as necessary.

To plot mean + SDs in a single plot without individual data, type in command line: plot_audiogram(1,0,1)
![](example_data_plot.png)



To plot mean + SEMs in a subplots with individual data, type in command line: plot_audiogram(2,1,2)
![](example_data_plot2.png)

Select excel spreadsheet.


Y-Axis Limits:

To change y-limits, edit ylim([-15 115]) in code.",2022,audiometric
Morag Lewis,ThreADD,"# ThreADD

These scripts were written to compare the average pure tone thresholds of people separated into groups by genotype and sex for a list of input variants. Required input files include the pure tone thresholds and the variant calls. 

The first script (ThreADD.pl) does the comparisons and outputs a list of variants which pass the user-supplied minimum threshold and maximum standard deviation (adjusted by frequency). It can also output graphs without doing comparisons, in which case it will either output a graph for every input variant, or it will output a graph for every input variant within a specific gene.

The second script (ThreADD_permute.pl) carries out the same comparisons followed by a permutation test. Only variants which pass both the comparison test and the permutation test are output as graphs.

![threadd](https://user-images.githubusercontent.com/29064421/216606662-2bc22822-ea6c-4e36-a7a5-ff4bad661e22.png)

The diagram is taken from a poster to be presented at the Association for Research in Otolaryngology Midwinter Meeting 2023. A paper describing the work is in progress.

ThreADD.pl takes as input:
1. A tab-separated file containing thresholds in the following format:
   - A header line starting ""SEX"" and containing sex, person ID, secondary ID, collection date, age at collection, noise history, right ear thresholds (for 8 pure tones in Hz), space, left ear thresholds (for the same 8 pure tones). 
   - Values for the SEX column can be anything, but only ""M"" and ""F"" values will be used when assigning individuals to sex-specific groups. All IDs which are neither ""M"" nor ""F"" will be assigned to the ""N"" group, which is not used for sex-specific comparison.
   - Any unavailable threshold values should be ""NA"". Any other unavailable values should be ""."". The script only uses sex, age and ID in addition to the tone thresholds.
   - The default 8 tones are 0.25, 0.5, 1, 2, 3, 4, 6 and 8kHz. If the first tone is 125Hz, then the script switches to use 0.125, 0.25, 0.5, 1, 2, 4, 6 and 8kHz. No other options are provided.
2. A vcf file with variants. The IDs in the vcf header should correspond to the IDs in the threshold file, but it is not a problem if there are extra IDs in either file. 
   - Note that this script does not handle multiallelic sites, but vcf files can be ""flattened"" like so:
     - G   A,C     0/1     0/2     1/2
     - becomes:
     - G   A       0/1     0/v     1/v
     - G   C       0/v     0/1     v/1
     - ""v"" here means any allele which is neither the reference nor the alternate
   - ""Minority calls"" (referred to in comments) are calls which are not simple ones, eg (0/1, 1/1), and indicate a failed call
   -  The script will handle mitochondrial variants, but expects them to be marked ""HET1"", ""HOM1"", ""WT"" or ""FAIL"" (for heteroplasmic, homoplasmic, wildtype or fail)
   - If variants are plotted, a gene name from the VCF file will be used as a title for the plot. A VEP-annotated vcf file will work, or you can provide your own names in the INFO field. The script expects values to be separated by ""|"", and the gene name and Ensembl ID should be in the fourth and fifth entry.
     - For example:
     - 1       1485777 rs1622213       G       A       100.5 PASS    CSQ=A|splice_region_variant|LOW|ATAD3B|ENSG00000160072
3. A desired minimum threshold difference, in dB
4. A maximum permitted standard deviation. This is adjusted by the script to allow for more variability at high frequencies (+10) and less at low frequencies (-5).
5. (Optional) A gene name (eg ATAD3B) or ""gengr"". 
   - In the case of a gene name being input, the script will generate graphs for every variant in that gene in the file.
   - In the case of ""gengr"", the script will generate graphs for all variants in the file. No comparisons will be carried out. 
   - In both cases, the set threshold and standard deviation still need to be entered, but will not be used.

The output is a list of variants which pass the required settings, and can be used as input for ThreADD_permute.pl. If a gene name or ""gengr"" is supplied as the fifth argument, image files with the graphs in will also be output.
Please note that ImageMagick is required for the image generation.
If graphs are generated without testing thresholds (eg by inputting a gene name or ""gengr"" as the fifth argument), the output text file instead contains details of each variant for which a graph was generated, its filename and the participant IDs in each grouping (""0_1_F"" means female participants with a 0/1 genotype, ie heterozygotes).
If any group is plotted which contains only one participant, the ""average"" age of that group is not reported to protect privacy. Instead, a range is reported (eg 67 years becomes 65-70y, and 80 years becomes 80-85y).

ThreADD_permute.pl takes as input:
1. A tab-separated file containing thresholds in the following format:
   - A header line starting ""SEX"" and containing sex, person ID, secondary ID, collection date, age at collection, noise history, right ear thresholds (for 8 pure tones in Hz), space, left ear thresholds (for the same 8 pure tones)
   - Values for the SEX column can be anything, but only ""M"" and ""F"" values will be used when assigning individuals to sex-specific groups. All IDs which are neither ""M"" nor ""F"" will be assigned to the ""N"" group, which is not used for sex-specific comparison.
   - Any unavailable threshold values should be ""NA"". Any other unavailable values should be ""."". The script only uses sex, age and ID in addition to the tone thresholds.
   - The default 8 tones are 0.25, 0.5, 1, 2, 3, 4, 6 and 8kHz. If the first tone is 125Hz, then the script switches to use 0.125, 0.25, 0.5, 1, 2, 4, 6 and 8kHz. No other options are provided.
2. A vcf file with variants. The IDs in the vcf header should correspond to the IDs in the threshold file, but it is not a problem if there are extra IDs in either file. 
   - Note that this script does not handle multiallelic sites, but vcf files can be ""flattened"" like so:
     - G   A,C     0/1     0/2     1/2
     - becomes:
     - G   A       0/1     0/v     1/v
     - G   C       0/v     0/1     v/1
     - ""v"" here means any allele which is neither the reference nor the alternate
   - ""Minority calls"" (referred to in comments) are calls which are not simple ones, eg (0/1, 1/1), and indicate a failed call
   -  The script will handle mitochondrial variants, but expects them to be marked ""HET1"", ""HOM1"", ""WT"" or ""FAIL"" (for heteroplasmic, homoplasmic, wildtype or fail)
   - If variants are plotted, a gene name from the VCF file will be used as a title for the plot. A VEP-annotated vcf file will work, or you can provide your own names in the INFO field. The script expects values to be separated by ""|"", and the gene name and Ensembl ID should be in the fourth and fifth entry.
     - For example:
     - 1       1485777 rs1622213       G       A       100.5 PASS    CSQ=A|splice_region_variant|LOW|ATAD3B|ENSG00000160072
3. A desired minimum threshold difference, in dB
4. A maximum permitted standard deviation. This is adjusted by the script to allow for more variability at high frequencies (+10) and less at low frequencies (-5).
5. A file of random numbers, one per line, with no duplicates. This is used to seed the randomisation of the assignment of individuals to groups in the permutation, and the number of lines in the file dictates how many permutations are carried out.

The output is a text file containing details of the variants which passed the permutation filter, the filename of the graph generated, the number of permutations which resulted in a similar average threshold difference, the gene name and the participant IDs in each grouping (""0_1_F"" means female participants with a 0/1 genotype, ie heterozygotes).
If any group is plotted which contains only one participant, the ""average"" age of that group is not reported to protect privacy. Instead, a range is reported (eg 67 years becomes 65-70y, and 80 years becomes 80-85y).
Also output are image files, one per filtered variant, showing the audiograms with averages, and also showing individual thresholds for those groups which were sufficiently different to pass the initial filter (the set threshold and standard deviation).",2023,audiometric
2e-garcia,JAMA-OTO-Smoking,"JAMA-OTO-Smoking

Morales, E. E. G., Ting, J., Gross, A. L., Betz, J. F., Jiang, K., Du, S., ... & Deal, J. A. (2022). Association of cigarette smoking patterns over 30 years with audiometric Hearing impairment and speech-in-noise perception: the atherosclerosis risk in communities study. JAMA Otolaryngology–Head & Neck Surgery, 148(3), 243-251.",2022,audiometric
woheller69,audiometry,"<pre>Send a coffee to woheller69@t-online.de 
<a href= ""https://www.paypal.com/signin""><img  align=""left"" src=""https://www.paypalobjects.com/webstatic/de_DE/i/de-pp-logo-150px.png""></a></pre>


| **RadarWeather** | **Gas Prices** | **Smart Eggtimer** | 
|:---:|:---:|:---:|
| [<img src=""https://github.com/woheller69/weather/blob/main/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.weather/)| [<img src=""https://github.com/woheller69/spritpreise/blob/main/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.spritpreise/) | [<img src=""https://github.com/woheller69/eggtimer/blob/main/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.eggtimer/) |
| **Bubble** | **hEARtest** | **GPS Cockpit** |
| [<img src=""https://github.com/woheller69/Level/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.level/) | [<img src=""https://github.com/woheller69/audiometry/blob/new/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.audiometry/) | [<img src=""https://github.com/woheller69/gpscockpit/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.gpscockpit/) |
| **Audio Analyzer** | **LavSeeker** | **TimeLapseCam** |
| [<img src=""https://github.com/woheller69/audio-analyzer-for-android/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.audio_analyzer_for_android/) |[<img src=""https://github.com/woheller69/lavatories/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.lavatories/) | [<img src=""https://github.com/woheller69/TimeLapseCamera/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.TimeLapseCam/) |
| **Arity** | **omWeather** | **solXpect** |
| [<img src=""https://github.com/woheller69/arity/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.arity/) | [<img src=""https://github.com/woheller69/omweather/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.omweather/) | [<img src=""https://github.com/woheller69/solXpect/blob/main/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.solxpect/) |
| **gptAssist** |  |  |
| [<img src=""https://github.com/woheller69/gptassist/blob/master/fastlane/metadata/android/en-US/images/icon.png"" width=""50"">](https://f-droid.org/packages/org.woheller69.gptassist/) |  |  |


# hEARtest
------------------------------------------------

<img src=""fastlane/metadata/android/en-US/images/phoneScreenshots/01.png"" width=""150""/> <img src=""fastlane/metadata/android/en-US/images/phoneScreenshots/02.png"" width=""150""/> <img src=""fastlane/metadata/android/en-US/images/phoneScreenshots/03.png"" width=""150""/> <img src=""fastlane/metadata/android/en-US/images/phoneScreenshots/04.png"" width=""150""/> <img src=""fastlane/metadata/android/en-US/images/phoneScreenshots/05.png"" width=""150""/>

Quick and Simple Hearing Evaluation

<a href=""https://f-droid.org/packages/org.woheller69.audiometry""><img alt=""Get it on F-Droid"" src=""https://fdroid.gitlab.io/artwork/badge/get-it-on.png"" height=""100""></a>

This app can evaluate your hearing capabilities. 
The term dB HL describes your hearing loss in decibels.

The table below shows a common way to classify hearing loss
(Source: Clark, J. G. (1981). Uses and abuses of hearing loss classification. Asha, 23, 493–500.)


| **Degree of hearing loss** | **Hearing loss range (dB HL)** | 
|:---:|:------------------------------:|
|Normal|–10 to 15|
|Slight|16 to 25|
|Mild|26 to 40|
|Moderate|41 to 55|
|Moderately severe|56 to 70|
|Severe|71 to 90|
|Profound|91+|


First your earphones must be calibrated. 

Important: Earphones must not have integrated volume control or loudness, equalizers, etc.

You can either perform a full test which requires one or better several persons
between the ages of 18 and 35 with normal hearing. Or you can perform a simple calibration at 1000Hz only (assuming good hearing at
this frequency). In this case it is assumed that the earphones are linear across the frequency range and calibration values for the 
other frequencies are then calculated using the ISO226:2003 standard.
Whenever you hear a beep simply touch the screen. You can pause / continue with a long click and speed up with a double click.
If you have several persons available for calibration simply press ""Add Calibration"" and an average value of existing calibrations
will be calculated. You may also delete the whole calibration.

After that you can perform tests and view them in test results.

You can then also perform tests at single frequencies.
There you can manually select ear, frequency, and sound amplitude by clicking on the buttons.

Backup/restore is also available.

## License

This app is published under GNU GPL V3 License.

The app uses:
Zip4j (https://github.com/srikanth-lingala/zip4j) which is licensed under Apache License Version 2.0
AndroidX libraries (https://github.com/androidx/androidx) which is licensed under Apache License Version 2.0
MPAndroidChart (https://github.com/PhilJay/MPAndroidChart) which is licensed under Apache License Version 2.0
Material Design Icons (https://material.io/resources/icons/) which are licensed under Apache License Version 2.0

The original version of this code is published under MIT license, Copyright (c) 2014 Reece Stevens.

https://github.com/ReeceStevens/ut_ewh_audiometer_2014",2023,audiometry
drwaseemsheikh,audiometry,"# audiometry

Audiometry is an open-source application framework based on WPF and .NET to create hearing test related applications. The framework is built using the Model-View-ViewModel (MVVM) software architectural pattern.

Audiometry can store, process, and visualize data corresponding to tuning fork tests including Weber, Rinne, Schwabach, absolute bone conduction, Teal, and Gelle; speech audiometry; pure-tone audiometry (PTA) including air conduction masked, air conduction unmasked, bone conduction masked, bone conduction unmasked, air conduction aided, loudness level, and sound field; impedance audiometry; bithermal caloric test; and advanced tests including alternate binaural loudness balance (ABLB), short increment sensitivity index (SISI), tone decay, and Stenger.

The application framework is extensible and can be used to develop new hearing test applications by extending the current functionality.

Audiometry is independent of specific hearing test hardware thus making it possible to be used with a wide variety of hearing test hardware.

Audiometry provides a unified and uniform interface for storing, processing, and visualizing data from a wide range of hearing tests that traditionally rely on different hardware and software to process and store data.

# Installation

``Audiometry`` can be installed on a Windows 7 or Windows 10 machine. To install the application, run the AudiometryInstaller.msi in the installer folder of the repository.

# Documentation

A description of the software can be found at https://github.com/drwaseemsheikh/audiometry/blob/master/docs/full_paper.pdf.
API docs can be found at https://drwaseemsheikh.github.io/audiometry/.
The JOSS paper is available at [![DOI](https://joss.theoj.org/papers/10.21105/joss.02016/status.svg)](https://doi.org/10.21105/joss.02016).",2020,audiometry
PeerHerholz,audiometry_mri,"Ain't no sound loud enough - audiometry-like measurements for the assessment of acoustic MRI noise
==================================================================================================

.. image:: https://img.shields.io/github/issues-pr/C0C0AN/audiometry_mri.svg
    :alt: PRs
    :target: https://github.com/C0C0AN/audiometry_mri/pulls/

.. image:: https://img.shields.io/github/contributors/C0C0AN/audiometry_mri.svg
    :alt: Contributors
    :target: https://GitHub.com/C0C0AN/audiometry_mri/graphs/contributors/

.. image:: https://img.shields.io/github/commit-activity/m/C0C0AN/audiometry_mri?style=plastic
    :alt: Commits
    :target: https://github.com/C0C0AN/audiometry_mri/commits/master

.. image:: http://hits.dwyl.io/C0C0AN/audiometry_mri.svg
    :alt: Hits
    :target: http://hits.dwyl.io/C0C0AN/audiometry_mri

.. image:: https://img.shields.io/badge/License-BSD%203--Clause-blue.svg
    :alt: License
    :target: https://opensource.org/licenses/BSD-3-Clause
    
.. image:: https://img.shields.io/badge/Supported%20by-%20CONP%2FPCNO-red
    :alt: support_conp
    :target: https://conp.ca/

Description
===========
ANSL is a toolbox (and hopefully soon BIDS app) for conducting audiometry like measurements in MRI settings. In more detail, it includes adjustable `short experiments <https://github.com/C0C0AN/audiometry_mri/scripts_stimulation>`_ targeting hearing thresholds by presenting a range of frequencies in ascending and descending loudness, the automated analysis of `recorded responses <https://github.com/C0C0AN/audiometry_mri/scripts_analyses>`_, `tutorials regarding stimuli <https://github.com/C0C0AN/audiometry_mri/scripts_stimulation>`_ and plotting functionalities, e.g. plotting hearing thresholds on top of scanner and stimuli frequencies to visualize possible interaction effects (graphic above), plotting mean hearing thresholds across different scanner settings (graphic below) and plotting loudness increase and decrease trials in different scanner settings (graphic further down).

.. image:: data/ansl_example_all_line.png
    :alt: examples_all
    :scale: 50 %


Overview of functionality
=========================
As mentioned above, ANSL is divided into three sections that include respective functions:

Audiometry measurements
_________


Visualization
______________


Utilities
________


.. image:: data/ansl_example_all.png
    :alt: examples_all
    :scale: 50 %

Documentation
=============

A documentation is currently in the works and will be available soon. Sorry for any inconvenience this might cause.

How to report errors
____________________
Running into any bugs :beetle:? Check out the `open issues <https://github.com/CoCoAN/audiometry_mri/issues>`_ to see if we're already working on it. If not, open up a new issue and we will check it out when we can!

How to contribute
_________________
Thank you for considering contributing to our project! Before getting involved, please review our `Code of Conduct <https://github.com/CoCoAN/audiometry_mri/blob/master/CODE_OF_CONDUCT.rst>`_. Next, you can review `open issues <https://github.com/CoCoAN/audiometry_mri/issues>`_ that we are looking for help with. If you submit a new pull request please be as detailed as possible in your comments. Please also have a look at our `contribution guidelines <https://github.com/CoCoAN/audiometry_mri/blob/master/CONTRIBUTING.rst>`_.

Acknowledgements
================
If you intend to or already used ANSL, we would be very happy if you cite this github repo, till we have ""something"" out there!








Please feel free to contact me wrt any question or idea via mail (herholz dot peer at gmail dot com), twitter (`@peeherholz <https://twitter.com/PeerHerholz?lang=eng>`_) or the brainhack slack/mattermost team (@peerherholz).


Support
=======
This work is supported in part by funding provided by `Brain Canada <https://braincanada.ca/>`_, in partnership with `Health Canada <https://www.canada.ca/en/health-canada.html>`_, for the `Canadian Open Neuroscience Platform initiative <https://conp.ca/>`_.

.. image:: https://conp.ca/wp-content/uploads/elementor/thumbs/logo-2-o5e91uhlc138896v1b03o2dg8nwvxyv3pssdrkjv5a.png
    :alt: logo_conp
    :target: https://conp.ca/",2021,audiometry
aryathulasi,audiometry,# audiometry,2018,audiometry
https://github.com/claushansen,audiometry-project,"Welcome to our Appcelerator Titanium Mobile Project

This project is a part of an assignment on EAL - Erhvervsakademiet Lillebælt.
Fall 2015


----------------------------------
People participating:
Carsten Wentzel
Claus Hansen
Morten Halling
Per Hoffmann
Peter Wentzel
Welcome to our Appcelerator Titanium Mobile Project

This project is a part of an assignment on EAL - Erhvervsakademiet Lillebælt.
Fall 2015


----------------------------------
People participating:
Carsten Wentzel
Claus Hansen
Morten Halling
Per Hoffmann
Peter Wentzel
Welcome to our Appcelerator Titanium Mobile Project

This project is a part of an assignment on EAL - Erhvervsakademiet Lillebælt.
Fall 2015


----------------------------------
People participating:
Carsten Wentzel
Claus Hansen
Morten Halling
Per Hoffmann
Peter Wentzel
Welcome to our Appcelerator Titanium Mobile Project

This project is a part of an assignment on EAL - Erhvervsakademiet Lillebælt.
Fall 2015


----------------------------------
People participating:
Carsten Wentzel
Claus Hansen
Morten Halling
Per Hoffmann
Peter Wentzel",2016,audiometry
